File,Signature,StartLine,EndLine,Suspiciousness
org.jfree.data.category.DefaultIntervalCategoryDataset,"DefaultIntervalCategoryDataset(Comparable[],Comparable[],Number[][],Number[][])",130,212,1.0
org.jfree.data.general.DatasetUtilities,findMinimumRangeValue(CategoryDataset),993,1048,0.91667527
org.jfree.data.general.DatasetUtilities,findMaximumRangeValue(CategoryDataset),1112,1166,0.8684045
org.jfree.chart.renderer.category.LineAndShapeRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",691,830,0.8474099
org.jfree.data.general.DatasetUtilities,"findStackedRangeBounds(CategoryDataset,KeyToGroupMap)",1285,1347,0.8367658
org.jfree.data.general.DatasetUtilities,"createCategoryDataset(Comparable[],Comparable[],double[][])",388,448,0.8308266
org.jfree.chart.renderer.category.WaterfallBarRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",266,422,0.8230062
org.jfree.chart.axis.CategoryAxis,"getCategorySeriesMiddle(Comparable,Comparable,CategoryDataset,double,Rectangle2D,RectangleEdge)",654,689,0.8105583
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",140,341,0.8100637
org.jfree.chart.renderer.category.IntervalBarRenderer,"drawInterval(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,IntervalCategoryDataset,int,int)",142,276,0.80261385
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",314,421,0.77589506
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,"drawHorizontalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int)",411,550,0.7749909
org.jfree.data.category.DefaultIntervalCategoryDataset,"getStartValue(int,int)",418,447,0.7746363
org.jfree.data.general.DatasetUtilities,"iterateCategoryRangeBounds(CategoryDataset,boolean)",784,830,0.76489335
org.jfree.chart.renderer.category.ScatterRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",343,420,0.76399374
org.jfree.chart.renderer.category.StackedBarRenderer3D,"createStackedValueList(CategoryDataset,Comparable,double,boolean)",302,360,0.75513816
org.jfree.data.general.DatasetUtilities,findMaximumStackedRangeValue(CategoryDataset),1386,1420,0.7488413
org.jfree.data.category.DefaultIntervalCategoryDataset,getColumnCount(),680,691,0.74714005
org.jfree.data.gantt.TaskSeriesCollection,"getSubIntervalCount(Comparable,Comparable)",472,489,0.7452154
org.jfree.data.category.DefaultCategoryDataset,equals(Object),368,406,0.723352
org.jfree.data.category.DefaultIntervalCategoryDataset,getSeriesCount(),214,228,0.7230972
org.jfree.data.jdbc.JDBCCategoryDataset,"executeQuery(Connection,String)",191,313,0.7197796
org.jfree.data.category.DefaultIntervalCategoryDataset,getRowKeys(),644,661,0.7188695
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,"drawVerticalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int)",552,773,0.71866274
org.jfree.data.category.DefaultIntervalCategoryDataset,setCategoryKeys(Comparable[]),325,351,0.71726054
org.jfree.data.general.DatasetUtilities,"createCategoryDataset(Comparable,KeyedValues)",450,474,0.7156649
org.jfree.chart.renderer.category.LayeredBarRenderer,"drawHorizontalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int)",208,334,0.7105187
org.jfree.data.category.DefaultIntervalCategoryDataset,"DefaultIntervalCategoryDataset(Number[][],Number[][])",95,108,0.70963836
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,"calculateBarW0(CategoryPlot,PlotOrientation,Rectangle2D,CategoryAxis,CategoryItemRendererState,int,int)",175,226,0.7074253
org.jfree.chart.plot.CategoryPlot,getLegendItems(),1754,1785,0.70554596
org.jfree.data.general.DatasetUtilities,findMinimumStackedRangeValue(CategoryDataset),1349,1384,0.70504683
org.jfree.chart.renderer.category.CategoryStepRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",247,342,0.70123994
org.jfree.chart.renderer.category.LayeredBarRenderer,"drawVerticalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int)",336,468,0.6991723
org.jfree.chart.renderer.category.StatisticalBarRenderer,"drawHorizontalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int)",215,362,0.6949632
org.jfree.chart.renderer.category.StatisticalBarRenderer,"drawVerticalItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int)",364,510,0.6949632
org.jfree.data.category.DefaultIntervalCategoryDataset,getRowCount(),693,703,0.6941221
org.jfree.data.general.DatasetUtilities,findMaximumDomainValue(XYDataset),936,991,0.6843996
org.jfree.data.category.DefaultIntervalCategoryDataset,"getValue(Comparable,Comparable)",353,376,0.68403
org.jfree.data.general.DatasetUtilities,"findStackedRangeBounds(CategoryDataset,double)",1240,1283,0.6794981
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"getLegendItem(int,int)",1228,1278,0.6768553
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,"initialise(Graphics2D,Rectangle2D,CategoryPlot,int,PlotRenderingInfo)",307,365,0.67540574
org.jfree.data.general.DatasetUtilities,findMaximumRangeValue(XYDataset),1168,1226,0.67520964
org.jfree.chart.renderer.category.StackedBarRenderer3D,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",362,418,0.674421
org.jfree.data.category.DefaultIntervalCategoryDataset,"getEndValue(int,int)",471,495,0.6730049
org.jfree.data.gantt.TaskSeriesCollection,"getStartValue(Comparable,Comparable)",351,372,0.67003155
org.jfree.data.gantt.TaskSeriesCollection,"getEndValue(Comparable,Comparable)",388,409,0.67003155
org.jfree.data.general.DatasetUtilities,findMinimumRangeValue(XYDataset),1050,1110,0.6700083
org.jfree.data.gantt.TaskSeriesCollection,"getPercentComplete(Comparable,Comparable,int)",586,608,0.6602776
org.jfree.chart.urls.StandardCategoryURLGenerator,"generateURL(CategoryDataset,int,int)",136,170,0.6599999
org.jfree.chart.plot.MultiplePiePlot,"draw(Graphics2D,Rectangle2D,Point2D,PlotState,PlotRenderingInfo)",332,455,0.6585744
org.jfree.chart.renderer.category.LineRenderer3D,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",491,607,0.6572856
org.jfree.data.general.DatasetUtilities,"createCategoryDataset(String,String,Number[][])",359,386,0.657064
org.jfree.data.xy.DefaultWindDataset,"DefaultWindDataset(List,Object[][][])",101,166,0.65547824
org.jfree.data.general.DatasetUtilities,"createPieDatasetForColumn(CategoryDataset,int)",224,242,0.65358484
org.jfree.chart.plot.SpiderWebPlot,"drawRadarPoly(Graphics2D,Rectangle2D,Point2D,PlotRenderingInfo,int,int,double,double)",1258,1371,0.6526169
org.jfree.chart.plot.SpiderWebPlot,"getPlotValue(int,int)",1373,1396,0.65203977
org.jfree.data.category.DefaultIntervalCategoryDataset,setSeriesKeys(Comparable[]),267,286,0.65170234
org.jfree.chart.demo.BarChartDemo1,createDataset(),81,123,0.65107936
org.jfree.data.category.DefaultIntervalCategoryDataset,"setStartValue(int,Comparable,Number)",497,528,0.6446415
org.jfree.data.category.DefaultIntervalCategoryDataset,"setEndValue(int,Comparable,Number)",530,561,0.6446415
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,"createItemArray(CategoryDataset,int,int)",99,136,0.64127874
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,"createItemArray(CategoryDataset,int,int)",99,136,0.64127874
org.jfree.data.gantt.TaskSeriesCollection,"getStartValue(Comparable,Comparable,int)",506,529,0.6383171
org.jfree.data.gantt.TaskSeriesCollection,"getEndValue(Comparable,Comparable,int)",546,569,0.6383171
org.jfree.chart.renderer.category.LevelRenderer,"calculateBarW0(CategoryPlot,PlotOrientation,Rectangle2D,CategoryAxis,CategoryItemRendererState,int,int)",218,266,0.6353158
org.jfree.chart.renderer.category.BarRenderer,"calculateBarW0(CategoryPlot,PlotOrientation,Rectangle2D,CategoryAxis,CategoryItemRendererState,int,int)",552,600,0.6353158
org.jfree.chart.renderer.category.GanttRenderer,"drawTasks(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,GanttCategoryDataset,int,int)",259,385,0.63239187
org.jfree.chart.renderer.AbstractRenderer,"getItemStroke(int,int)",1077,1090,0.62980396
org.jfree.chart.renderer.AbstractRenderer,"getItemShape(int,int)",1396,1409,0.62980396
org.jfree.chart.renderer.category.StackedAreaRenderer,"drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int)",172,368,0.6292793
org.jfree.data.category.DefaultIntervalCategoryDataset,equals(Object),705,735,0.6283233
org.jfree.data.xy.MatrixSeries,zeroAll(),189,204,0.6279672
org.jfree.data.general.DatasetUtilities,findCumulativeRangeBounds(CategoryDataset),1503,1544,0.6267633
