File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.cli.HelpFormatter,"printUsage(PrintWriter,int,String,Options)",571,634,1.0
org.apache.commons.cli.MissingOptionException,createMessage(List<?>),72,95,0.95958894
org.apache.commons.cli.PatternOptionBuilder,parsePattern(String),144,206,0.85559225
org.apache.commons.cli.Option.Builder,valueSeparator(char),930,955,0.8518109
org.apache.commons.cli.Parser,"parse(Options,String[],Properties,boolean)",126,245,0.8423325
org.apache.commons.cli.OptionGroup,addOption(Option),45,58,0.84116024
org.apache.commons.cli.Parser,"processOption(String,ListIterator<String>)",367,400,0.82620573
org.apache.commons.cli.Parser,processProperties(Properties),247,307,0.8262057
org.apache.commons.cli.DefaultParser,handleProperties(Properties),135,185,0.8262057
org.apache.commons.cli.DefaultParser,"parse(Options,String[],Properties,boolean)",84,133,0.8106942
org.apache.commons.cli.Option.Builder,build(),991,1004,0.7320548
org.apache.commons.cli.Options,addOptionGroup(OptionGroup),63,88,0.72838914
org.apache.commons.cli.Options,getOptionGroups(),90,98,0.7190878
org.apache.commons.cli.HelpFormatter,"appendOptionGroup(StringBuffer,OptionGroup)",636,672,0.6936334
org.apache.commons.cli.Options,helpOptions(),187,195,0.6877949
org.apache.commons.cli.OptionGroup,getNames(),60,68,0.68598455
org.apache.commons.cli.HelpFormatter,"renderOptions(StringBuffer,int,Options,int,int)",777,877,0.6811934
org.apache.commons.cli.OptionGroup,getOptions(),70,77,0.6693675
org.apache.commons.cli.OptionGroup,toString(),134,178,0.622972
org.apache.commons.cli.AmbiguousOptionException,"createMessage(String,Collection<String>)",60,87,0.5974488
org.apache.commons.cli.HelpFormatter,setOptionComparator(Comparator<Option>),386,396,0.5707219
org.apache.commons.cli.OptionGroup,setSelected(Option),79,106,0.544251
org.apache.commons.cli.Parser,updateRequiredOptions(Option),402,429,0.5249582
org.apache.commons.cli.DefaultParser,updateRequiredOptions(Option),617,641,0.5249582
org.apache.commons.cli.Options,getOptionGroup(Option),297,307,0.49599573
org.apache.commons.cli.MissingOptionException,MissingOptionException(List),47,58,0.49599573
org.apache.commons.cli.AlreadySelectedException,"AlreadySelectedException(OptionGroup,Option)",50,64,0.49599573
org.apache.commons.cli.HelpFormatter.OptionComparator,"compare(Option,Option)",1077,1091,0.48704702
org.apache.commons.cli.MissingOptionException,getMissingOptions(),60,70,0.4767029
org.apache.commons.cli.AlreadySelectedException,getOptionGroup(),66,75,0.4767029
org.apache.commons.cli.AlreadySelectedException,getOption(),77,86,0.4767029
org.apache.commons.cli.OptionGroup,isRequired(),124,132,0.4767029
org.apache.commons.cli.DefaultParser,handleConcatenatedOptions(String),643,693,0.42096147
org.apache.commons.cli.PosixParser,"flatten(Options,String[],boolean)",58,175,0.42096147
org.apache.commons.cli.PosixParser,"processOptionToken(String,boolean)",211,236,0.42096147
org.apache.commons.cli.PosixParser,"burstToken(String,boolean)",238,293,0.42096147
org.apache.commons.cli.DefaultParser,handleUnknownToken(String),334,355,0.41313452
org.apache.commons.cli.OptionGroup,setRequired(boolean),116,122,0.41039535
org.apache.commons.cli.CommandLine,getOptionValues(String),161,181,0.3978873
org.apache.commons.cli.GnuParser,"flatten(Options,String[],boolean)",33,114,0.37270623
org.apache.commons.cli.HelpFormatter,"printHelp(String,String,Options,String)",426,439,0.37186012
org.apache.commons.cli.HelpFormatter,"printHelp(String,String,Options,String,boolean)",441,456,0.37186012
org.apache.commons.cli.HelpFormatter,"printHelp(int,String,String,Options,String)",458,472,0.37186012
org.apache.commons.cli.HelpFormatter,"printHelp(int,String,String,Options,String,boolean)",474,494,0.37186012
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter,int,String,String,Options,int,int,String)",496,518,0.37186012
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean)",521,569,0.37186012
org.apache.commons.cli.CommandLine,getOptionProperties(String),250,286,0.36918023
org.apache.commons.cli.Parser,"processArgs(Option,ListIterator<String>)",324,365,0.36892486
org.apache.commons.cli.PosixParser,"processNonOptionToken(String,boolean)",193,209,0.36892486
org.apache.commons.cli.Options,getMatchingOptions(String),226,254,0.36624902
org.apache.commons.cli.DefaultParser,handleToken(String),215,254,0.36487925
org.apache.commons.cli.DefaultParser,handleOption(Option),596,615,0.36487925
org.apache.commons.cli.CommandLine,addOption(Option),344,352,0.349632
org.apache.commons.cli.Option,processValue(String),440,484,0.349632
org.apache.commons.cli.Option,add(String),486,504,0.349632
org.apache.commons.cli.Option.Builder,numberOfArgs(int),861,871,0.34072545
org.apache.commons.cli.Option,addValue(String),697,711,0.3291162
