File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.jscomp.SyntacticScopeCreator.DefaultRedeclarationHandler,"onRedeclaration(Scope,String,Node,Node,Node,Node)",190,227,1.0
com.google.javascript.jscomp.ReplaceMessages,"getNewValueNode(JsMessage,Node)",87,121,0.9911875
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,"declareNameInScope(FlowScope,Node,JSType)",151,175,0.93708295
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,tryFoldRegularExpressionConstructor(Node),791,850,0.8811655
com.google.javascript.jscomp.DataFlowAnalysis,"computeEscaped(Scope,Set<Var>,AbstractCompiler)",536,579,0.8585259
com.google.javascript.jscomp.AbstractCommandLineRunner,doRun(),499,547,0.8573322
com.google.javascript.jscomp.CommandLineRunner,"initConfigFromFlags(String[],PrintStream)",382,452,0.82202286
com.google.javascript.jscomp.NodeUtil,isLatin(String),1666,1690,0.7863278
com.google.javascript.jscomp.LocaleUtil,getLocaleFromStandardLocaleString(String),34,63,0.7733431
com.google.javascript.jscomp.PerformanceTracker,"PerformanceTracker(Node,boolean)",57,60,0.75469816
com.google.javascript.jscomp.CoalesceVariableNames,enterScope(NodeTraversal),93,126,0.74490005
com.google.javascript.jscomp.Compiler,parseInputs(),992,1130,0.72999763
com.google.javascript.rhino.TokenStream,getToken(),333,854,0.7240816
com.google.javascript.jscomp.MappingWriter,escapeString(String),197,202,0.72339106
com.google.javascript.jscomp.AbstractCommandLineRunner,"processResults(Result,JSModule[],B)",549,661,0.7079729
com.google.javascript.jscomp.MappingWriter,"appendTo(Appendable,String)",328,390,0.7056966
com.google.javascript.jscomp.MappingWriter,"appendMappingTo(Mapping,Appendable)",123,160,0.68950194
com.google.javascript.jscomp.JsMessageExtractor,extractMessages(Iterable<JSSourceFile>),106,147,0.68626106
com.google.javascript.jscomp.MaybeReachingVariableUse,"MaybeReachingVariableUse(ControlFlowGraph<Node>,Scope,AbstractCompiler)",50,59,0.6819329
com.google.javascript.jscomp.LiveVariablesAnalysis,markAllParametersEscaped(),278,287,0.681438
com.google.javascript.jscomp.Compiler,"parseSyntheticCode(String,String)",1154,1158,0.6744286
com.google.javascript.jscomp.MustBeReachingVariableDef,"MustBeReachingVariableDef(ControlFlowGraph<Node>,Scope,AbstractCompiler)",52,59,0.67134845
com.google.javascript.jscomp.CodeGenerator,escapeToDoubleQuotedJsString(String),874,879,0.66829675
com.google.javascript.jscomp.LiveVariablesAnalysis,"LiveVariablesAnalysis(ControlFlowGraph<Node>,Scope,AbstractCompiler)",116,122,0.66341066
com.google.javascript.jscomp.CodeGenerator,"jsString(String,CharsetEncoder)",839,867,0.65804857
com.google.javascript.jscomp.CodeGenerator,identifierEscape(String),952,972,0.6565258
com.google.javascript.jscomp.MaybeReachingVariableUse,"addToUseIfLocal(String,Node,ReachingUses)",239,252,0.6482938
com.google.javascript.jscomp.CodeGenerator,"strEscape(String,char,String,String,String,CharsetEncoder)",888,950,0.64635456
com.google.javascript.jscomp.DefaultPassConfig,getChecks(),158,319,0.64222944
com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions(CompilerOptions),135,179,0.63402754
com.google.javascript.jscomp.TightenTypes.ConcreteSlot,addConcreteType(ConcreteType),286,294,0.6156
com.google.javascript.jscomp.AbstractCommandLineRunner,"createJsModules(List<String>,List<String>)",310,399,0.614567
com.google.javascript.rhino.ScriptRuntime,"escapeString(String,char)",249,313,0.61047345
com.google.javascript.jscomp.Compiler,parseTestCode(String),1160,1169,0.6093113
com.google.javascript.jscomp.PerformanceTracker.CodeSizeEstimatePrinter,CodeSizeEstimatePrinter(boolean),150,158,0.60793984
com.google.javascript.jscomp.MaybeReachingVariableUse,"removeFromUseIfLocal(String,ReachingUses)",254,267,0.60338104
com.google.javascript.jscomp.Compiler,"init(List<JSSourceFile>,List<JSSourceFile>,CompilerOptions)",238,249,0.6024983
com.google.javascript.jscomp.MustBeReachingVariableDef,"addToDefIfLocal(String,Node,Node,MustDef)",300,338,0.5979169
com.google.javascript.jscomp.CompilerInput,regenerateDependencyInfoIfNecessary(),167,213,0.59743845
com.google.javascript.jscomp.LiveVariablesAnalysis,"addToSetIfLocal(Node,BitSet)",266,276,0.5970605
com.google.javascript.jscomp.Compiler,"initModules(List<JSSourceFile>,List<JSModule>,CompilerOptions)",266,301,0.5925331
com.google.javascript.jscomp.AliasStrings,"shouldReplaceWithAlias(String,StringInfo)",288,321,0.59243155
com.google.javascript.jscomp.Compiler,"toSource(CodeBuilder,int,Node)",1286,1340,0.58721876
com.google.javascript.jscomp.deps.DepsFileParser,parseLine(String),113,158,0.58625007
com.google.javascript.jscomp.JSModuleGraph,coalesceDuplicateFiles(),242,273,0.5822403
com.google.javascript.jscomp.parsing.JsDocInfoParser,parse(),128,794,0.5768625
com.google.javascript.jscomp.NodeUtil,isValidPropertyName(String),1692,1706,0.57605153
com.google.javascript.jscomp.Compiler,"compile(JSSourceFile[],JSSourceFile[],CompilerOptions)",433,442,0.5757103
com.google.javascript.jscomp.ProcessClosurePrimitives,"processRequireCall(NodeTraversal,Node,Node)",234,274,0.57339555
com.google.javascript.jscomp.Normalize,"parseAndNormalizeSyntheticCode(AbstractCompiler,String,String)",82,94,0.5699954
com.google.javascript.jscomp.AbstractCommandLineRunner,"openExternExportsStream(B,String)",709,731,0.5679563
com.google.javascript.jscomp.Compiler,"compile(JSSourceFile,JSSourceFile,CompilerOptions)",418,421,0.56314623
