File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.codec.language.Caverphone,caverphone(String),44,142,1.0
org.apache.commons.codec.language.Metaphone,metaphone(String),72,315,0.58428365
org.apache.commons.codec.net.RFC1522Codec,decodeText(String),99,146,0.39648122
org.apache.commons.codec.binary.Base64,"decode(byte[],int,int)",392,467,0.3600559
org.apache.commons.codec.binary.Base32,"decode(byte[],int,int)",261,354,0.3600559
org.apache.commons.codec.binary.Base64,toIntegerBytes(BigInteger),714,743,0.258433
org.apache.commons.codec.digest.DigestUtils,getDigest(String),72,91,0.25801474
org.apache.commons.codec.binary.Base32,"Base32(int,byte[],boolean)",212,259,0.24282382
org.apache.commons.codec.binary.Base64,Base64(int),199,219,0.22308895
org.apache.commons.codec.binary.Base64,"Base64(int,byte[])",221,245,0.22308895
org.apache.commons.codec.binary.Base64,"Base64(int,byte[],boolean)",247,297,0.22308895
org.apache.commons.codec.binary.Base32,"Base32(int,byte[])",191,210,0.22308895
org.apache.commons.codec.binary.BaseNCodec,containsAlphabetOrPad(byte[]),405,424,0.21904476
org.apache.commons.codec.language.DoubleMetaphone,"doubleMetaphone(String,boolean)",78,191,0.19717133
org.apache.commons.codec.binary.BaseNCodecOutputStream,"write(byte,int,int)",56,89,0.19717133
org.apache.commons.codec.binary.BaseNCodecInputStream,"read(byte,int,int)",61,121,0.19717133
org.apache.commons.codec.language.Caverphone,encode(Object),144,161,0.19675305
org.apache.commons.codec.language.Caverphone,encode(String),163,171,0.19675305
org.apache.commons.codec.binary.StringUtils,"getBytesUnchecked(String,String)",132,160,0.19675305
org.apache.commons.codec.binary.Base64,"encode(byte[],int,int)",309,390,0.17743646
org.apache.commons.codec.binary.Base32,"encode(byte[],int,int)",356,459,0.17743646
org.apache.commons.codec.language.Caverphone,Caverphone(),37,42,0.1770182
org.apache.commons.codec.binary.Hex,encode(byte[]),235,254,0.1770182
org.apache.commons.codec.binary.Hex,encode(Object),256,281,0.1770182
org.apache.commons.codec.language.DoubleMetaphone,isSilentStart(String),901,915,0.17339227
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String[])",1006,1024,0.17339227
org.apache.commons.codec.language.Caverphone,"isCaverphoneEqual(String,String)",173,183,0.172974
org.apache.commons.codec.language.RefinedSoundex,getMappingCode(char),149,163,0.172974
org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer,"copyData(int,int)",222,226,0.1536574
org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer,"copyData(int,int)",240,244,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String)",943,950,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String,String)",952,959,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String,String,String)",961,969,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String,String,String,String)",971,980,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String,String,String,String,String)",982,992,0.1536574
org.apache.commons.codec.language.DoubleMetaphone,"contains(String,int,int,String,String,String,String,String,String)",994,1004,0.1536574
org.apache.commons.codec.binary.BaseNCodec,"readResults(byte[],int,int)",194,217,0.1536574
org.apache.commons.codec.net.BCodec,"encode(String,String)",92,113,0.04351393
org.apache.commons.codec.net.QCodec,isEncodeBlanks(),293,300,0.04351393
org.apache.commons.codec.net.QCodec,setEncodeBlanks(boolean),302,310,0.04351393
org.apache.commons.codec.net.URLCodec,getEncoding(),341,350,0.04351393
org.apache.commons.codec.net.Utils,digit16(byte),31,47,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha256Hex(byte[]),312,325,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha256Hex(InputStream),327,342,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha256Hex(String),344,357,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha384Hex(byte[]),406,419,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha384Hex(InputStream),421,436,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha384Hex(String),438,451,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha512Hex(byte[]),500,513,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha512Hex(InputStream),515,530,0.04351393
org.apache.commons.codec.digest.DigestUtils,sha512Hex(String),532,545,0.04351393
org.apache.commons.codec.language.Metaphone,encode(Object),354,371,0.04351393
org.apache.commons.codec.language.Metaphone,encode(String),373,381,0.04351393
org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(String),280,378,0.04351393
org.apache.commons.codec.language.Soundex,encode(Object),133,151,0.04351393
org.apache.commons.codec.language.Soundex,encode(String),153,164,0.04351393
org.apache.commons.codec.language.Soundex,"getMappingCode(String,int)",166,194,0.04351393
org.apache.commons.codec.language.Soundex,soundex(String),243,276,0.04351393
org.apache.commons.codec.language.RefinedSoundex,encode(Object),118,136,0.04351393
org.apache.commons.codec.language.RefinedSoundex,encode(String),138,147,0.04351393
org.apache.commons.codec.language.RefinedSoundex,soundex(String),165,201,0.04351393
org.apache.commons.codec.language.DoubleMetaphone,encode(Object),193,206,0.04351393
org.apache.commons.codec.language.DoubleMetaphone,"isDoubleMetaphoneEqual(String,String)",218,230,0.04351393
org.apache.commons.codec.language.DoubleMetaphone,"isDoubleMetaphoneEqual(String,String,boolean)",232,247,0.04351393
org.apache.commons.codec.EncoderException,EncoderException(),37,45,0.04351393
org.apache.commons.codec.EncoderException,"EncoderException(String,Throwable)",58,75,0.04351393
org.apache.commons.codec.EncoderException,EncoderException(Throwable),77,89,0.04351393
org.apache.commons.codec.StringEncoderComparator,"compare(Object,Object)",58,84,0.04351393
org.apache.commons.codec.binary.Hex,"encodeHex(byte[],boolean)",101,115,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesIso8859_1(String),36,50,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesUsAscii(String),52,66,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesUtf16(String),68,82,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesUtf16Be(String),84,98,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesUtf16Le(String),100,114,0.04351393
org.apache.commons.codec.binary.StringUtils,getBytesUtf8(String),116,130,0.04351393
org.apache.commons.codec.binary.StringUtils,"newString(byte[],String)",166,194,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringIso8859_1(byte[]),196,209,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringUsAscii(byte[]),211,224,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringUtf16(byte[]),226,239,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringUtf16Be(byte[]),241,254,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringUtf16Le(byte[]),256,269,0.04351393
org.apache.commons.codec.binary.StringUtils,newStringUtf8(byte[]),271,284,0.04351393
org.apache.commons.codec.binary.Base64,Base64(boolean),180,197,0.04351393
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean)",591,604,0.04351393
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean,boolean)",606,622,0.04351393
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean,boolean,int)",624,657,0.04351393
org.apache.commons.codec.binary.Base32,Base32(boolean),166,175,0.04351393
org.apache.commons.codec.binary.BaseNCodec,"BaseNCodec(int,int,int,int)",128,141,0.04351393
org.apache.commons.codec.net.BCodec,BCodec(),54,59,0.023779055
org.apache.commons.codec.net.BCodec,getEncoding(),74,76,0.023779055
org.apache.commons.codec.net.BCodec,doEncoding(byte[]),78,83,0.023779055
org.apache.commons.codec.net.BCodec,encode(String),115,130,0.023779055
org.apache.commons.codec.net.BCodec,decode(String),132,151,0.023779055
org.apache.commons.codec.net.BCodec,encode(Object),153,173,0.023779055
org.apache.commons.codec.net.BCodec,getDefaultCharset(),200,207,0.023779055
org.apache.commons.codec.net.QCodec,QCodec(),109,114,0.023779055
org.apache.commons.codec.net.QCodec,getEncoding(),129,131,0.023779055
org.apache.commons.codec.net.QCodec,doEncoding(byte[]),133,146,0.023779055
org.apache.commons.codec.net.QCodec,"encode(String,String)",174,195,0.023779055
org.apache.commons.codec.net.QCodec,encode(String),197,212,0.023779055
org.apache.commons.codec.net.QCodec,decode(String),214,235,0.023779055
org.apache.commons.codec.net.QCodec,encode(Object),237,257,0.023779055
org.apache.commons.codec.net.QCodec,getDefaultCharset(),284,291,0.023779055
org.apache.commons.codec.net.URLCodec,URLCodec(),98,103,0.023779055
org.apache.commons.codec.net.URLCodec,"encodeUrl(BitSet,byte[])",115,152,0.023779055
org.apache.commons.codec.net.URLCodec,decodeUrl(byte[]),154,185,0.023779055
org.apache.commons.codec.net.URLCodec,encode(byte[]),187,196,0.023779055
org.apache.commons.codec.net.URLCodec,"encode(String,String)",212,228,0.023779055
org.apache.commons.codec.net.URLCodec,encode(String),230,249,0.023779055
org.apache.commons.codec.net.URLCodec,"decode(String,String)",252,269,0.023779055
org.apache.commons.codec.net.URLCodec,decode(String),271,291,0.023779055
org.apache.commons.codec.net.URLCodec,encode(Object),293,315,0.023779055
org.apache.commons.codec.net.URLCodec,getDefaultCharset(),352,359,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,QuotedPrintableCodec(),92,97,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,"encodeQuotedPrintable(int,ByteArrayOutputStream)",110,124,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,"encodeQuotedPrintable(BitSet,byte[])",126,160,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,decodeQuotedPrintable(byte[]),162,197,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,encode(byte[]),199,213,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,decode(byte[]),215,232,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,encode(String),234,260,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,"decode(String,String)",262,281,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,decode(String),283,304,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,encode(Object),306,328,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,getDefaultCharset(),355,362,0.023779055
org.apache.commons.codec.net.QuotedPrintableCodec,"encode(String,String)",364,386,0.023779055
org.apache.commons.codec.net.RFC1522Codec,"encodeText(String,String)",64,97,0.023779055
org.apache.commons.codec.digest.DigestUtils,getBytesUtf8(String),61,70,0.023779055
org.apache.commons.codec.digest.DigestUtils,md5Hex(byte[]),193,202,0.023779055
org.apache.commons.codec.digest.DigestUtils,md5Hex(InputStream),204,216,0.023779055
org.apache.commons.codec.digest.DigestUtils,md5Hex(String),218,227,0.023779055
org.apache.commons.codec.digest.DigestUtils,shaHex(byte[]),547,556,0.023779055
org.apache.commons.codec.digest.DigestUtils,shaHex(InputStream),558,570,0.023779055
org.apache.commons.codec.digest.DigestUtils,shaHex(String),572,581,0.023779055
org.apache.commons.codec.language.SoundexUtils,"difference(StringEncoder,String,String)",58,86,0.023779055
org.apache.commons.codec.language.SoundexUtils,"differenceEncoded(String,String)",88,121,0.023779055
org.apache.commons.codec.language.Metaphone,Metaphone(),65,70,0.023779055
org.apache.commons.codec.language.ColognePhonetic,encode(Object),380,387,0.023779055
org.apache.commons.codec.language.ColognePhonetic,encode(String),389,391,0.023779055
org.apache.commons.codec.language.ColognePhonetic,"isEncodeEqual(String,String)",393,395,0.023779055
org.apache.commons.codec.language.Soundex,"difference(String,String)",60,81,0.023779055
org.apache.commons.codec.language.Soundex,getMaxLength(),196,204,0.023779055
org.apache.commons.codec.language.Soundex,setMaxLength(int),232,241,0.023779055
org.apache.commons.codec.language.RefinedSoundex,"difference(String,String)",92,116,0.023779055
org.apache.commons.codec.language.DoubleMetaphone,DoubleMetaphone(),61,66,0.023779055
org.apache.commons.codec.language.DoubleMetaphone,doubleMetaphone(String),68,76,0.023779055
org.apache.commons.codec.language.DoubleMetaphone,encode(String),208,216,0.023779055
org.apache.commons.codec.EncoderException,EncoderException(String),47,56,0.023779055
org.apache.commons.codec.StringEncoderComparator,StringEncoderComparator(),41,48,0.023779055
org.apache.commons.codec.StringEncoderComparator,StringEncoderComparator(StringEncoder),50,56,0.023779055
org.apache.commons.codec.binary.BaseNCodecOutputStream,"BaseNCodecOutputStream(OutputStream,BaseNCodec,boolean)",37,41,0.023779055
org.apache.commons.codec.binary.BaseNCodecOutputStream,close(),124,139,0.023779055
org.apache.commons.codec.binary.Hex,encodeHex(byte[]),88,99,0.023779055
org.apache.commons.codec.binary.Hex,"encodeHex(byte[],char[])",117,138,0.023779055
org.apache.commons.codec.binary.Hex,encodeHexString(byte[]),140,151,0.023779055
org.apache.commons.codec.binary.Hex,Hex(),174,180,0.023779055
org.apache.commons.codec.binary.Hex,decode(byte[]),193,211,0.023779055
org.apache.commons.codec.binary.BinaryCodec,encode(byte[]),72,82,0.023779055
org.apache.commons.codec.binary.BinaryCodec,encode(Object),84,99,0.023779055
org.apache.commons.codec.binary.BinaryCodec,decode(Object),101,125,0.023779055
org.apache.commons.codec.binary.BinaryCodec,decode(byte[]),127,137,0.023779055
org.apache.commons.codec.binary.BinaryCodec,toByteArray(String),139,152,0.023779055
org.apache.commons.codec.binary.BinaryCodec,fromAscii(char[]),159,184,0.023779055
org.apache.commons.codec.binary.BinaryCodec,fromAscii(byte[]),186,211,0.023779055
org.apache.commons.codec.binary.BinaryCodec,toAsciiBytes(byte[]),224,253,0.023779055
org.apache.commons.codec.binary.BinaryCodec,toAsciiChars(byte[]),255,283,0.023779055
org.apache.commons.codec.binary.BinaryCodec,toAsciiString(byte[]),285,295,0.023779055
org.apache.commons.codec.binary.BaseNCodecInputStream,"BaseNCodecInputStream(InputStream,BaseNCodec,boolean)",37,41,0.023779055
org.apache.commons.codec.binary.Base32InputStream,"Base32InputStream(InputStream,boolean)",51,62,0.023779055
org.apache.commons.codec.binary.Base32InputStream,"Base32InputStream(InputStream,boolean,int,byte[])",64,82,0.023779055
org.apache.commons.codec.binary.Base32OutputStream,Base32OutputStream(OutputStream),41,49,0.023779055
org.apache.commons.codec.binary.Base32OutputStream,"Base32OutputStream(OutputStream,boolean)",51,62,0.023779055
org.apache.commons.codec.binary.Base32OutputStream,"Base32OutputStream(OutputStream,boolean,int,byte[])",64,82,0.023779055
org.apache.commons.codec.binary.StringUtils,"newIllegalStateException(String,UnsupportedEncodingException)",162,164,0.023779055
org.apache.commons.codec.binary.Base64OutputStream,Base64OutputStream(OutputStream),46,54,0.023779055
org.apache.commons.codec.binary.Base64OutputStream,"Base64OutputStream(OutputStream,boolean)",56,67,0.023779055
org.apache.commons.codec.binary.Base64OutputStream,"Base64OutputStream(OutputStream,boolean,int,byte[])",69,87,0.023779055
org.apache.commons.codec.binary.Base64,Base64(),166,178,0.023779055
org.apache.commons.codec.binary.Base64,isUrlSafe(),299,307,0.023779055
org.apache.commons.codec.binary.Base64,encodeBase64(byte[]),528,537,0.023779055
org.apache.commons.codec.binary.Base64,encodeBase64String(byte[]),539,552,0.023779055
org.apache.commons.codec.binary.Base64,encodeBase64URLSafe(byte[]),554,565,0.023779055
org.apache.commons.codec.binary.Base64,encodeBase64URLSafeString(byte[]),567,578,0.023779055
org.apache.commons.codec.binary.Base64,encodeBase64Chunked(byte[]),580,589,0.023779055
org.apache.commons.codec.binary.Base64,decodeInteger(byte[]),685,695,0.023779055
org.apache.commons.codec.binary.Base64,encodeInteger(BigInteger),697,712,0.023779055
org.apache.commons.codec.binary.Base32,Base32(),155,164,0.023779055
org.apache.commons.codec.binary.Base32,Base32(int),177,189,0.023779055
org.apache.commons.codec.binary.Base64InputStream,"Base64InputStream(InputStream,boolean)",56,67,0.023779055
org.apache.commons.codec.binary.Base64InputStream,"Base64InputStream(InputStream,boolean,int,byte[])",69,87,0.023779055
org.apache.commons.codec.binary.BaseNCodec,encode(Object),250,265,0.023779055
org.apache.commons.codec.binary.BaseNCodec,encodeToString(byte[]),267,276,0.023779055
org.apache.commons.codec.binary.BaseNCodec,encode(byte[]),328,345,0.023779055
org.apache.commons.codec.binary.BaseNCodec,encodeAsString(byte[]),347,356,0.023779055
org.apache.commons.codec.binary.BaseNCodec,getEncodedLength(byte[]),426,443,0.023779055
org.apache.commons.codec.DecoderException,DecoderException(),35,43,0.019734874
org.apache.commons.codec.DecoderException,"DecoderException(String,Throwable)",56,73,0.019734874
org.apache.commons.codec.DecoderException,DecoderException(Throwable),75,87,0.019734874
org.apache.commons.codec.net.BCodec,decode(Object),175,198,0.019734874
org.apache.commons.codec.net.QCodec,decode(Object),259,282,0.019734874
org.apache.commons.codec.net.URLCodec,decode(Object),317,339,0.019734874
org.apache.commons.codec.net.QuotedPrintableCodec,decode(Object),330,353,0.019734874
org.apache.commons.codec.digest.DigestUtils,getSha256Digest(),104,116,0.019734874
org.apache.commons.codec.digest.DigestUtils,getSha384Digest(),118,130,0.019734874
org.apache.commons.codec.digest.DigestUtils,getSha512Digest(),132,144,0.019734874
org.apache.commons.codec.digest.DigestUtils,md5(byte[]),157,166,0.019734874
org.apache.commons.codec.digest.DigestUtils,md5(InputStream),168,180,0.019734874
org.apache.commons.codec.digest.DigestUtils,md5(String),182,191,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha(byte[]),229,238,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha(InputStream),240,252,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha(String),254,263,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha256(byte[]),265,278,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha256(InputStream),280,295,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha256(String),297,310,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha384(byte[]),359,372,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha384(InputStream),374,389,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha384(String),391,404,0.019734874
org.apache.commons.codec.digest.DigestUtils,sha512(byte[]),453,466,0.019734874
