File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.collections4.map.AbstractReferenceMap,doReadObject(ObjectInputStream),1009,1048,1.0
org.apache.commons.collections4.map.AbstractHashedMap,doReadObject(ObjectInputStream),1238,1271,0.8765064
org.apache.commons.collections4.map.AbstractReferenceMap,doWriteObject(ObjectOutputStream),975,1007,0.7415862
org.apache.commons.collections4.map.MultiKeyMap,readObject(ObjectInputStream),895,906,0.73404723
org.apache.commons.collections4.functors.PrototypeFactory.PrototypeSerializationFactory,create(),167,202,0.72349226
org.apache.commons.collections4.map.AbstractHashedMap,doWriteObject(ObjectOutputStream),1208,1236,0.7025939
org.apache.commons.collections4.list.AbstractLinkedList,doReadObject(ObjectInputStream),609,626,0.6772328
org.apache.commons.collections4.keyvalue.MultiKey,readResolve(),271,280,0.6624613
org.apache.commons.collections4.list.AbstractLinkedList,doWriteObject(ObjectOutputStream),592,607,0.6554062
org.apache.commons.collections4.queue.UnmodifiableQueue,readObject(ObjectInputStream),87,98,0.6362683
org.apache.commons.collections4.queue.CircularFifoQueue,readObject(ObjectInputStream),125,147,0.62535113
org.apache.commons.collections4.keyvalue.MultiKey,equals(Object),210,229,0.5879992
org.apache.commons.collections4.map.MultiKeyMap,"removeMultiKey(Object,Object,Object)",324,348,0.5814488
org.apache.commons.collections4.map.MultiKeyMap,"removeMultiKey(Object,Object)",192,215,0.5810262
org.apache.commons.collections4.keyvalue.MultiKey,"MultiKey(K[],boolean)",133,169,0.58061296
org.apache.commons.collections4.map.LRUMap,doReadObject(ObjectInputStream),509,520,0.5790592
org.apache.commons.collections4.map.MultiKeyMap.isEqualKey(AbstractHashedMap,"HashEntry<MultiKey<? extends K>,V>,Object,Object,Object,Object,Object)",682,703,0.57843727
org.apache.commons.collections4.map.MultiKeyMap,"removeMultiKey(Object,Object,Object,Object)",466,491,0.5762068
org.apache.commons.collections4.map.MultiKeyMap.isEqualKey(AbstractHashedMap,"HashEntry<MultiKey<? extends K>,V>,Object,Object,Object,Object)",523,542,0.57589245
org.apache.commons.collections4.map.MultiKeyMap,"removeMultiKey(Object,Object,Object,Object,Object)",619,646,0.5733835
org.apache.commons.collections4.map.MultiKeyMap.isEqualKey(AbstractHashedMap,"HashEntry<MultiKey<? extends K>,V>,Object,Object,Object)",376,393,0.57141024
org.apache.commons.collections4.map.MultiKeyMap.isEqualKey(AbstractHashedMap,"HashEntry<MultiKey<? extends K>,V>,Object,Object)",239,254,0.56316936
org.apache.commons.collections4.set.UnmodifiableNavigableSet,readObject(ObjectInputStream),169,180,0.5618496
org.apache.commons.collections4.set.UnmodifiableSortedSet,readObject(ObjectInputStream),140,151,0.5618496
org.apache.commons.collections4.map.MultiKeyMap,"containsKey(Object,Object,Object)",278,297,0.55710787
org.apache.commons.collections4.map.MultiKeyMap,"containsKey(Object,Object,Object,Object)",418,438,0.553357
org.apache.commons.collections4.map.MultiKeyMap,"containsKey(Object,Object)",148,166,0.55331266
