File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.compress.archivers.ArchiveStreamFactory,"createArchiveInputStream(String,InputStream)",181,255,1.0
org.apache.commons.compress.archivers.ArchiveStreamFactory,createArchiveInputStream(InputStream),312,405,0.99999994
org.apache.commons.compress.archivers.ArchiveStreamFactory,setEntryEncoding(String),163,179,0.97067076
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,ArjArchiveInputStream(InputStream),75,84,0.83746445
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,JarArchiveInputStream(InputStream),35,42,0.80512136
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,"JarArchiveInputStream(InputStream,String)",44,53,0.80512136
org.apache.commons.compress.archivers.Lister,main(String[]),37,61,0.7667155
org.apache.commons.compress.archivers.ArchiveStreamFactory,"createArchiveOutputStream(String,OutputStream)",257,310,0.76540124
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,"createArchiveEntry(File,String)",546,558,0.7584863
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator,"createCallable(ZipArchiveEntry,InputStreamSupplier)",149,179,0.75848585
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,"ArjArchiveInputStream(InputStream,String)",51,73,0.75258154
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,getNextZipEntry(),193,296,0.7236435
org.apache.commons.compress.archivers.ArchiveStreamFactory,ArchiveStreamFactory(),131,136,0.71809113
org.apache.commons.compress.archivers.ArchiveStreamFactory,ArchiveStreamFactory(String),138,150,0.71809113
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream,"JarArchiveOutputStream(OutputStream,String)",44,54,0.70940757
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream,writeTo(ZipArchiveOutputStream),105,120,0.6765542
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,ZipArchiveInputStream(InputStream),144,150,0.664699
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,readMainHeader(),158,213,0.6566331
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,DumpArchiveInputStream(InputStream),81,90,0.6440456
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,"DumpArchiveInputStream(InputStream,String)",92,146,0.6440456
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,getNextEntry(),221,315,0.641884
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,getNextArEntry(),75,166,0.63876057
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"addRawArchiveEntry(ZipArchiveEntry,InputStream)",530,558,0.63876057
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream,addArchiveEntry(ZipArchiveEntryRequest),88,103,0.63876057
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,"CpioArchiveInputStream(InputStream,String)",110,123,0.6379713
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,"CpioArchiveInputStream(InputStream,int,String)",140,156,0.6379713
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,"matches(byte[],int)",65,77,0.6375171
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,putArchiveEntry(ArchiveEntry),256,319,0.6279297
org.apache.commons.compress.compressors.pack200.Pack200Utils,"normalize(File,File,Map<String,String>)",106,157,0.62452465
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readEncodedHeader(DataInputStream,Archive,byte[])",264,296,0.6197713
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,"TarArchiveOutputStream(OutputStream,String)",103,111,0.6197713
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,"TarArchiveOutputStream(OutputStream,int,String)",122,132,0.6197713
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,"TarArchiveOutputStream(OutputStream,int,int,String)",144,162,0.6197713
org.apache.commons.compress.compressors.CompressorStreamFactory,CompressorStreamFactory(boolean),151,165,0.6029119
org.apache.commons.compress.compressors.CompressorStreamFactory,setDecompressConcatenated(boolean),167,189,0.6029119
org.apache.commons.compress.archivers.ArchiveStreamFactory,getEntryEncoding(),152,161,0.58398765
org.apache.commons.compress.archivers.sevenz.SevenZFile,readHeaders(byte[]),157,206,0.58197767
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,"TarArchiveInputStream(InputStream,String)",88,97,0.58197767
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,"TarArchiveInputStream(InputStream,int,String)",108,118,0.58197767
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,"TarArchiveInputStream(InputStream,int,int,String)",130,145,0.58197767
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,getNextTarEntry(),241,323,0.58197767
org.apache.commons.compress.archivers.zip.ZipFile,getUnixSymlink(ZipArchiveEntry),429,458,0.58197767
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,"ZipArchiveInputStream(InputStream,String)",152,159,0.58197767
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,"ZipArchiveInputStream(InputStream,String,boolean)",161,169,0.58197767
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,"ZipArchiveInputStream(InputStream,String,boolean,boolean)",171,191,0.58197767
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,"createArchiveEntry(File,String)",216,223,0.57981604
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,"createArchiveEntry(File,String)",523,530,0.57981604
org.apache.commons.compress.archivers.zip.ZipFile,getInputStream(ZipArchiveEntry),386,427,0.57981604
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator,"addArchiveEntry(ZipArchiveEntry,InputStreamSupplier)",124,136,0.57981604
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createArchiveEntry(File,String)",1435,1453,0.57981604
org.apache.commons.compress.archivers.zip.ZipArchiveEntryRequest,"createZipArchiveEntryRequest(ZipArchiveEntry,InputStreamSupplier)",47,55,0.57981604
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,readLocalFileHeader(),215,268,0.5739117
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,getNextEntry(),313,335,0.5739117
org.apache.commons.compress.compressors.CompressorStreamFactory,createCompressorInputStream(InputStream),191,248,0.55767816
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,CpioArchiveInputStream(InputStream),98,108,0.55308837
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,"CpioArchiveInputStream(InputStream,int)",125,138,0.55308837
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator,writeTo(ZipArchiveOutputStream),182,214,0.5430468
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,"CpioArchiveOutputStream(OutputStream,short)",99,111,0.54225755
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,"CpioArchiveOutputStream(OutputStream,short,int)",113,129,0.54225755
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,"CpioArchiveOutputStream(OutputStream,short,int,String)",131,163,0.54225755
