File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.csv.CSVParser,initializeHeader(),351,388,1.0
org.apache.commons.csv.CSVRecord,get(String),81,111,0.8182175
org.apache.commons.csv.CSVFormat,validate(),630,672,0.7495003
org.apache.commons.csv.CSVFormat,equals(Object),321,388,0.58103
org.apache.commons.csv.CSVRecord,putIn(M),173,187,0.5197958
org.apache.commons.csv.CSVFormat,"CSVFormat(char,Character,Quote,Character,Character,boolean,boolean,String,String,String[],boolean)",270,319,0.46299997
org.apache.commons.csv.CSVFormat,withCommentStart(Character),689,706,0.46299997
org.apache.commons.csv.CSVFormat,withDelimiter(char),708,723,0.46299997
org.apache.commons.csv.CSVFormat,withEscape(Character),738,753,0.46299997
org.apache.commons.csv.CSVFormat,withIgnoreEmptyLines(boolean),777,788,0.46299997
org.apache.commons.csv.CSVFormat,withIgnoreSurroundingSpaces(boolean),790,801,0.46299997
org.apache.commons.csv.CSVFormat,withNullString(String),803,821,0.46299997
org.apache.commons.csv.CSVFormat,withQuoteChar(Character),836,851,0.46299997
org.apache.commons.csv.CSVFormat,withQuotePolicy(Quote),853,864,0.46299997
org.apache.commons.csv.CSVFormat,withRecordSeparator(String),878,889,0.46299997
org.apache.commons.csv.CSVFormat,withSkipHeaderRecord(boolean),891,903,0.46299997
org.apache.commons.csv.CSVFormat,withHeader(String),755,775,0.4629999
org.apache.commons.csv.CSVParser,nextRecord(),450,499,0.4557801
org.apache.commons.csv.CSVParser,"CSVParser(Reader,CSVFormat)",224,249,0.41757926
org.apache.commons.csv.CSVParser,getRecords(),312,326,0.36852974
org.apache.commons.csv.CSVFormat,getHeader(),435,442,0.33053026
org.apache.commons.csv.CSVFormat,hashCode(),517,535,0.33053026
org.apache.commons.csv.CSVFormat,toString(),592,628,0.33053026
org.apache.commons.csv.CSVParser,"parse(String,CSVFormat)",160,178,0.2959204
org.apache.commons.csv.CSVPrinter,printComment(String),278,321,0.2959204
org.apache.commons.csv.CSVFormat,format(Object),390,406,0.2959204
org.apache.commons.csv.CSVFormat,withRecordSeparator(char),866,876,0.2959204
org.apache.commons.csv.CSVRecord,"CSVRecord(String[],Map<String,Integer>,String,long)",51,57,0.28870058
org.apache.commons.csv.Lexer,"Lexer(CSVFormat,ExtendedBufferedReader)",60,69,0.25049973
org.apache.commons.csv.CSVParser,"parse(File,CSVFormat)",135,158,0.25049973
org.apache.commons.csv.CSVParser,"parse(URL,Charset,CSVFormat)",180,206,0.25049973
org.apache.commons.csv.CSVParser,getRecords(T),328,349,0.25049973
org.apache.commons.csv.CSVPrinter,"CSVPrinter(Appendable,CSVFormat)",45,66,0.25049973
org.apache.commons.csv.CSVFormat,newFormat(char),258,268,0.25049973
org.apache.commons.csv.CSVFormat,withCommentStart(char),674,687,0.25049973
org.apache.commons.csv.CSVFormat,withEscape(char),725,736,0.25049973
org.apache.commons.csv.CSVFormat,withQuoteChar(char),823,834,0.25049973
org.apache.commons.csv.Lexer,readEndOfLine(int),357,369,0.23718756
org.apache.commons.csv.CSVParser,getHeaderMap(),287,296,0.2125002
org.apache.commons.csv.CSVRecord,toMap(),208,215,0.2125002
org.apache.commons.csv.CSVParser,addRecordValue(),251,259,0.17067052
org.apache.commons.csv.CSVPrinter,print(Object),90,108,0.17067052
org.apache.commons.csv.CSVPrinter,"printAndQuote(Object,CharSequence,int,int)",169,276,0.17067052
org.apache.commons.csv.CSVPrinter,println(),323,335,0.17067052
org.apache.commons.csv.CSVRecord,isConsistent(),132,140,0.16707954
org.apache.commons.csv.CSVFormat,getSkipHeaderRecord(),508,515,0.16707954
org.apache.commons.csv.CSVRecord,toList(),198,206,0.1634507
org.apache.commons.csv.CSVRecord,toString(),217,220,0.1634507
org.apache.commons.csv.CSVParser,getCurrentLineNumber(),273,285,0.12524986
org.apache.commons.csv.CSVParser,getRecordNumber(),298,310,0.12524986
org.apache.commons.csv.CSVParser,iterator(),394,448,0.12524986
org.apache.commons.csv.CSVPrinter,"print(Object,CharSequence,int,int)",110,124,0.12524986
org.apache.commons.csv.CSVPrinter,"printAndEscape(CharSequence,int,int)",129,163,0.12524986
org.apache.commons.csv.CSVRecord,getRecordNumber(),123,130,0.12524986
org.apache.commons.csv.CSVFormat,isCommentingEnabled(),537,546,0.12524986
org.apache.commons.csv.CSVFormat,parse(Reader),575,590,0.12524986
org.apache.commons.csv.CSVPrinter,printRecords(Object[]),389,407,0.118030034
org.apache.commons.csv.CSVFormat,isNullHandling(),557,564,0.04542067
org.apache.commons.csv.Lexer,nextToken(Token),71,164,0.045420665
org.apache.commons.csv.Lexer,parseEncapsulatedToken(Token),219,288,0.045420665
org.apache.commons.csv.Lexer,trimTrailingSpaces(StringBuilder),347,355,0.045420665
