File,Signature,StartLine,EndLine,Suspiciousness
com.google.gson.internal.bind.TypeAdapters,"newTypeHierarchyFactory(Class<T1>,TypeAdapter<T1>)",820,840,1.0
com.google.gson.GsonBuilder,"registerTypeHierarchyAdapter(Class<?>,Object)",478,505,0.8174998
com.google.gson.TreeTypeAdapter.SingleTypeFactory,"SingleTypeFactory(Object,TypeToken<?>,boolean,Class<?>)",115,127,0.8174998
com.google.gson.GsonBuilder,create(),532,549,0.7155107
com.google.gson.TreeTypeAdapter.SingleTypeFactory,"create(Gson,TypeToken<T>)",129,138,0.7155107
com.google.gson.TreeTypeAdapter,"newTypeHierarchyFactory(Class<?>,Object)",99,106,0.6463138
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,"createBoundField(Gson,Field,String,TypeToken<?>,boolean,boolean)",100,128,0.6366438
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,TypeAdapter<TT>)",777,788,0.63349026
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,Class<TT>,TypeAdapter<? super TT>)",790,803,0.63349026
com.google.gson.internal.bind.TypeAdapters,"newFactoryForMultipleTypes(Class<TT>,Class<? extends TT>,TypeAdapter<? super TT>)",805,818,0.63349026
com.google.gson.reflect.TypeToken,TypeToken(),52,65,0.6103311
com.google.gson.internal.ConstructorConstructor,"newDefaultImplementationConstructor(Type,Class<? super T>)",123,198,0.5574776
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,"write(JsonWriter,T)",43,69,0.53011924
com.google.gson.internal.bind.TypeAdapters,"newFactory(TypeToken<TT>,TypeAdapter<TT>)",767,775,0.5269656
com.google.gson.internal.ConstructorConstructor,"newUnsafeAllocator(Type,Class<? super T>)",200,215,0.49516836
com.google.gson.Gson,longAdapter(LongSerializationPolicy),306,326,0.4914712
com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter,"write(JsonWriter,Map<K,V>)",198,243,0.49147117
com.google.gson.Gson,"getDelegateAdapter(TypeAdapterFactory,TypeToken<T>)",377,448,0.49147117
com.google.gson.Gson,doubleAdapter(boolean),250,272,0.48693568
com.google.gson.Gson,floatAdapter(boolean),274,296,0.48693568
com.google.gson.TypeAdapter,nullSafe(),145,202,0.48693565
com.google.gson.Gson,"Gson(Excluder,FieldNamingStrategy,Map<Type,InstanceCreator<?>>,boolean,boolean,boolean,boolean,boolean,boolean,LongSerializationPolicy,List<TypeAdapterFactory>)",183,248,0.45552555
com.google.gson.GsonBuilder,enableComplexMapKeySerialization(),161,240,0.45552552
com.google.gson.Gson,Gson(),142,181,0.45552552
com.google.gson.GsonBuilder,"registerTypeAdapter(Type,Object)",430,463,0.45099002
com.google.gson.stream.JsonReader,nextUnquotedValue(),1036,1099,0.44079626
com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter,"Adapter(Gson,Type,TypeAdapter<K>,Type,TypeAdapter<V>,ObjectConstructor<? extends Map<K,V>>)",150,158,0.4249766
com.google.gson.internal.bind.CollectionTypeAdapterFactory.Adapter,"Adapter(Gson,Type,TypeAdapter<E>,ObjectConstructor<? extends Collection<E>>)",64,70,0.4249766
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,"TypeAdapterRuntimeTypeWrapper(Gson,TypeAdapter<T>,Type)",32,36,0.4249766
com.google.gson.internal.bind.ArrayTypeAdapter,"ArrayTypeAdapter(Gson,TypeAdapter<E>,Class<E>)",57,61,0.4249766
com.google.gson.internal.bind.TypeAdapters.EnumTypeAdapter,EnumTypeAdapter(Class<T>),722,739,0.4222742
com.google.gson.stream.JsonReader,nextDouble(),891,934,0.4080042
com.google.gson.stream.JsonReader,nextLong(),936,987,0.4080042
