File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseAposName(),1984,2087,1.0
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleOddName(int),1905,1977,0.9330485
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,"parseEscapedName(int[],int,int,int,int)",1805,1903,0.9304623
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"_prependOrWriteCharacterEscape(char,int)",1627,1713,0.9126486
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"_prependOrWriteCharacterEscape(char[],int,int,char,int)",1715,1797,0.9126486
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeCustomStringSegment2(char[],int,int)",1358,1418,0.88866574
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,"addName(int[],int,int)",2138,2251,0.88341695
com.fasterxml.jackson.core.json.UTF8JsonGenerator,_writePPFieldName(SerializableString),382,408,0.8541696
com.fasterxml.jackson.core.JsonFactory,"createGenerator(OutputStream,JsonEncoding)",987,1020,0.83054256
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,"_addSymbol(char[],int,int,int,int)",487,524,0.82908374
com.fasterxml.jackson.core.json.JsonWriteContext,writeFieldName(String),147,160,0.821147
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_parseNumber2(boolean,int)",1005,1133,0.8171412
com.fasterxml.jackson.core.JsonGenerator,writeObjectId(Object),1087,1100,0.8033856
com.fasterxml.jackson.core.JsonGenerator,writeObjectRef(Object),1102,1113,0.8033856
com.fasterxml.jackson.core.JsonGenerator,writeTypeId(Object),1115,1128,0.8033856
com.fasterxml.jackson.core.JsonGenerator,writeNumber(short),960,971,0.7824003
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,_writeString(String),900,927,0.77254814
com.fasterxml.jackson.core.JsonGenerator,writeArrayFieldStart(String),1286,1302,0.7631966
com.fasterxml.jackson.core.JsonGenerator,writeObjectFieldStart(String),1304,1320,0.7631966
com.fasterxml.jackson.core.JsonGenerator,copyCurrentStructure(JsonParser),1436,1498,0.7573145
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,writeFieldName(SerializableString),107,116,0.7543127
com.fasterxml.jackson.core.util.MinimalPrettyPrinter,writeObjectFieldValueSeparator(JsonGenerator),84,96,0.7525512
com.fasterxml.jackson.core.util.MinimalPrettyPrinter,writeObjectEntrySeparator(JsonGenerator),98,110,0.7525512
com.fasterxml.jackson.core.util.DefaultPrettyPrinter,writeObjectFieldValueSeparator(JsonGenerator),266,284,0.7525512
com.fasterxml.jackson.core.util.DefaultPrettyPrinter,writeObjectEntrySeparator(JsonGenerator),286,301,0.7525512
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,"_readBinary(Base64Variant,OutputStream,byte[])",480,606,0.7467075
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeStringSegments(String,boolean)",1142,1179,0.7464902
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeSegmentedRaw(char[],int,int)",662,700,0.74621594
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,_verifyValueWrite(String),756,790,0.7405023
com.fasterxml.jackson.core.json.UTF8JsonGenerator,writeFieldName(String),171,220,0.7405023
com.fasterxml.jackson.core.json.UTF8JsonGenerator,writeFieldName(SerializableString),222,257,0.7405023
com.fasterxml.jackson.core.json.UTF8JsonGenerator,_writePPFieldName(String),338,380,0.7405023
com.fasterxml.jackson.core.json.UTF8JsonGenerator,_verifyValueWrite(String),961,998,0.7405023
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"_appendCharacterEscape(char,int)",1799,1854,0.7386207
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeStringSegments(char[],int,int)",1181,1199,0.7386207
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeStringSegment(char[],int,int)",1207,1249,0.7386207
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"_writeStringSegment2(char[],int,int)",1251,1293,0.7386207
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,close(),841,882,0.7201692
com.fasterxml.jackson.core.json.UTF8JsonGenerator,close(),1044,1084,0.7201692
com.fasterxml.jackson.core.JsonGenerator,copyCurrentEvent(JsonParser),1353,1434,0.71983725
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_skipString(),1627,1673,0.7176895
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_parseName2(int,int,int)",1271,1324,0.7139937
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_readBinary(Base64Variant,OutputStream,byte[])",420,544,0.7123704
com.fasterxml.jackson.core.JsonGenerator,canOmitFields(),582,590,0.71094376
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"_writePPFieldName(String,boolean)",260,286,0.7106533
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"_writePPFieldName(SerializableString,boolean)",288,311,0.71065325
com.fasterxml.jackson.core.JsonGenerator,writeNullField(String),1193,1204,0.6892053
