File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeBinary(Base64Variant,byte[],int,int)",807,841,1.0
com.fasterxml.jackson.dataformat.xml.XmlFactory,hasXMLFormat(InputAccessor),682,778,0.7367661
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getBinaryValue(Base64Variant),887,905,0.677878
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextTextValue(),630,739,0.6380069
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,byte[],int,int)",399,412,0.6302104
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,close(),1162,1202,0.5827754
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeString(String),580,615,0.5718931
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextToken(),470,622,0.5647204
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,Class<T>)",191,200,0.52913827
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,TypeReference<T>)",202,211,0.52913827
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,JavaType)",213,225,0.52913827
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"startWrappedValue(QName,QName)",365,388,0.5084341
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,initGenerator(),185,213,0.497559
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(Object,JsonGenerator,SerializerProvider)",151,227,0.48981118
com.fasterxml.jackson.dataformat.xml.XmlFactory,writeObject(ObjectOutputStream),220,228,0.4849557
com.fasterxml.jackson.dataformat.xml.XmlFactory,readResolve(),182,206,0.46238402
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawUTF8String(byte[],int,int)",657,662,0.443041
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeUTF8String(byte[],int,int)",664,669,0.443041
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,"serializeAsField(Object,JsonGenerator,SerializerProvider)",74,152,0.44234514
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_handleEndObject(),545,566,0.43708023
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"finishWrappedValue(QName,QName)",390,407,0.43506756
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFieldsFiltered(Object,JsonGenerator,SerializerProvider)",229,303,0.42589378
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeString(char[],int,int)",617,650,0.42268932
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_reportUnimplementedStax2(String),1233,1244,0.4225911
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(char[],int,int,IOContext,boolean)",563,582,0.415967
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_initStartElement(),456,487,0.40032262
com.fasterxml.jackson.dataformat.xml.XmlMapper,"writeValue(XMLStreamWriter,Object)",227,240,0.39723518
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,"modifyDeserializer(DeserializationConfig,BeanDescription,JsonDeserializer<?>)",80,108,0.39401296
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,addVirtualWrapping(Set<String>),298,326,0.3898611
com.fasterxml.jackson.dataformat.xml.XmlFactory,readObject(ObjectInputStream),208,218,0.38908687
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_handleStartObject(),530,542,0.38590798
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRawValue(String),677,699,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawValue(String,int,int)",701,723,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawValue(char[],int,int)",725,746,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRaw(String),753,765,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(String,int,int)",767,779,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(char[],int,int)",781,793,0.38334358
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"_initWithRootName(ToXmlGenerator,QName)",179,204,0.3818348
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(ObjectCodec,int,int,XMLInputFactory,XMLOutputFactory,String)",104,125,0.37870952
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getValueAsString(String),791,835,0.36658055
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(byte[],int,int,IOContext)",584,600,0.3633768
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(BigDecimal),1044,1088,0.35840517
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"serializeValue(JsonGenerator,Object)",79,116,0.34887457
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"serializeValue(JsonGenerator,Object,JavaType,JsonSerializer<Object>)",119,156,0.34887457
com.fasterxml.jackson.dataformat.xml.XmlFactory,createGenerator(OutputStream),442,445,0.34810236
com.fasterxml.jackson.dataformat.xml.XmlFactory,copy(),148,159,0.3467909
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,String,boolean)",264,280,0.3448124
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,char[],int,int,boolean)",282,299,0.3448124
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeBoolean(boolean),874,901,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(int),931,958,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(long),960,986,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(double),988,1014,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(float),1016,1042,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(BigInteger),1090,1121,0.3333178
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNull(),903,929,0.33331776
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,_asXmlGenerator(JsonGenerator),219,232,0.32658228
com.fasterxml.jackson.dataformat.xml.XmlFactory,createGenerator(XMLStreamWriter),506,519,0.3244409
com.fasterxml.jackson.dataformat.xml.XmlFactory,_createXmlWriter(OutputStream),615,624,0.32301494
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,"serialize(Object,JsonGenerator,SerializerProvider)",102,120,0.3153408
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeEndObject(),513,527,0.30985618
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.Lf2SpacesIndenter,"writeIndentation(XMLStreamWriter2,int)",513,523,0.30395785
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRepeatedFieldName(),409,419,0.30224746
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"FromXmlParser(IOContext,int,int,ObjectCodec,XMLStreamReader)",177,189,0.30036873
com.fasterxml.jackson.dataformat.xml.XmlFactory,createParser(XMLStreamReader),484,504,0.29810312
com.fasterxml.jackson.dataformat.xml.XmlFactory,createParser(String),420,434,0.2915625
com.fasterxml.jackson.dataformat.xml.XmlFactory,"createGenerator(OutputStream,JsonEncoding)",447,456,0.28561088
com.fasterxml.jackson.dataformat.xml.XmlFactory,"createGenerator(File,JsonEncoding)",466,476,0.28561088
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,"changeProperties(SerializationConfig,BeanDescription,List<BeanPropertyWriter>)",32,72,0.2842895
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_collectUntilTag(),369,419,0.27896833
com.fasterxml.jackson.dataformat.xml.XmlFactory,_initializeXmlWriter(XMLStreamWriter),637,647,0.2752813
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_next(),307,367,0.2740052
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_skipUntilTag(),421,435,0.2740052
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(InputStream,IOContext)",527,543,0.2740052
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(Reader,IOContext)",545,561,0.2740052
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer,"deserialize(JsonParser,DeserializationContext)",33,61,0.26810184
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.Lf2SpacesIndenter,"writeIndentation(JsonGenerator,int)",525,535,0.26210806
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,repeatStartElement(),225,246,0.26132178
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_handleRepeatElement(),489,526,0.26132178
com.fasterxml.jackson.dataformat.xml.XmlFactory,_createXmlWriter(Writer),626,635,0.26052347
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(ObjectCodec,XMLInputFactory,XMLOutputFactory)",98,102,0.2599196
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(XmlFactory,ObjectCodec)",127,138,0.2599196
com.fasterxml.jackson.dataformat.xml.XmlFactory,getFormatName(),363,373,0.25859588
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeStartElement(XMLStreamWriter2,String,String)",234,247,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeEndElement(XMLStreamWriter2,int)",249,262,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,boolean)",301,313,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,int)",315,327,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,long)",329,341,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,double)",343,355,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,float)",357,369,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,BigInteger)",371,383,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafElement(XMLStreamWriter2,String,String,BigDecimal)",385,397,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"writeLeafNullElement(XMLStreamWriter2,String,String)",414,424,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,writePrologLinefeed(XMLStreamWriter2),426,431,0.2554408
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.NopIndenter,"writeIndentation(XMLStreamWriter2,int)",452,452,0.2554408
