File,Signature,StartLine,EndLine,Suspiciousness
org.jsoup.parser.TokenQueue,consumeCssIdentifier(),365,376,1.0
org.jsoup.helper.HttpConnection.Base,header(String),358,367,1.0
org.jsoup.Jsoup,"parse(URL,int)",163,184,0.8653586
org.jsoup.helper.HttpConnection.Response.execute(Connection,"Request,Response)",709,802,0.8653586
org.jsoup.nodes.Element,"getElementsByAttributeValueMatching(String,String)",888,902,0.78991497
org.jsoup.nodes.Element,getElementsMatchingText(String),963,977,0.78991497
org.jsoup.nodes.Element,getElementsMatchingOwnText(String),989,1003,0.78991497
org.jsoup.nodes.Node,absUrl(String),159,190,0.7180047
org.jsoup.helper.HttpConnection.Response.writePost(Connection,"Request,OutputStream,String)",1072,1122,0.64447784
org.jsoup.nodes.Document,charset(Charset),214,242,0.619898
org.jsoup.parser.HtmlTreeBuilder,"inSpecificScope(String[],String[],String[])",466,486,0.5954946
org.jsoup.helper.HttpConnection,ignoreHttpErrors(boolean),181,184,0.5783196
org.jsoup.helper.HttpConnection.Request,ignoreHttpErrors(),605,607,0.5783196
org.jsoup.helper.HttpConnection.Request,ignoreHttpErrors(boolean),617,620,0.5783196
org.jsoup.examples.Wikipedia,main(String[]),14,22,0.50640935
org.jsoup.safety.Whitelist,preserveRelativeLinks(boolean),376,394,0.50640935
org.jsoup.safety.Whitelist,"addProtocols(String,String,String)",396,440,0.50640935
org.jsoup.HttpStatusException,"HttpStatusException(String,int,String)",12,16,0.50640935
org.jsoup.Jsoup,connect(String),61,74,0.50640935
org.jsoup.Jsoup,"parse(File,String,String)",76,89,0.50640935
org.jsoup.Jsoup,"parse(InputStream,String,String)",106,119,0.50640935
org.jsoup.Jsoup,"parse(InputStream,String,String,Parser)",121,136,0.50640935
org.jsoup.helper.HttpConnection,connect(String),72,76,0.50640935
org.jsoup.helper.HttpConnection,connect(URL),78,82,0.50640935
org.jsoup.helper.HttpConnection.Response.createConnection(Connection,Request),886,916,0.50640935
"org.jsoup.helper.HttpConnection.Response.setupFromConnection(HttpURLConnection,Connection",Response),988,1005,0.50640935
org.jsoup.helper.HttpConnection.Response,createHeaderMap(HttpURLConnection),1007,1029,0.50640935
org.jsoup.helper.StringUtil,"resolve(URL,String)",184,200,0.43439272
org.jsoup.safety.Whitelist,basic(),94,127,0.43096578
