File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.jxpath.ri.parser.XPathParser,LocationPath(),437,509,1.0
org.apache.commons.jxpath.ri.parser.XPathParser,PathExpr(),1172,1247,1.0
org.apache.commons.jxpath.ri.parser.XPathParser,NCName(),29,147,0.8795339
org.apache.commons.jxpath.ri.parser.XPathParser,PrimaryExpr(),925,1000,0.8795339
org.apache.commons.jxpath.ri.parser.XPathParser,NodeTest(ArrayList),597,760,0.8437236
org.apache.commons.jxpath.ri.parser.XPathParser,ArgumentList(),1035,1127,0.8437236
org.apache.commons.jxpath.ri.parser.XPathParser,UnaryExpr(),1541,1620,0.8437236
org.apache.commons.jxpath.ri.parser.XPathParser,WildcardName(),1673,1794,0.8437236
org.apache.commons.jxpath.ri.compiler.CoreFunction,functionSubstring(EvalContext),485,530,0.7505893
org.apache.commons.jxpath.ri.compiler.CoreFunction,computeContextDependent(),140,189,0.7088343
org.apache.commons.jxpath.ri.compiler.CoreFunction,computeValue(EvalContext),212,279,0.7088343
org.apache.commons.jxpath.ri.parser.XPathParser,CoreFunctionName(),175,305,0.59522307
org.apache.commons.jxpath.ri.compiler.CoreFunction,getFunctionName(),57,119,0.55941284
org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,"compute(Object,Object)",56,84,0.54980195
org.apache.commons.jxpath.ri.InfoSetUtil,doubleValue(Object),94,124,0.54980195
org.apache.commons.jxpath.ri.InfoSetUtil,booleanValue(Object),126,154,0.54980195
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,"doStepNoPredicatesStandard(EvalContext,NodePointer,Step[],int)",229,271,0.43685362
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,"doStepNoPredicatesPropertyOwner(EvalContext,PropertyOwnerPointer,Step[],int)",169,227,0.4073762
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,"equal(Object,Object)",130,161,0.40038052
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"createAttribute(JXPathContext,QName)",529,557,0.38406262
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,"createAttribute(JXPathContext,QName)",417,443,0.38406262
org.apache.commons.jxpath.ri.axes.ChildContext,getSingleNodePointer(),59,82,0.38406262
org.apache.commons.jxpath.ri.EvalContext,getNodeSet(),207,227,0.38406262
org.apache.commons.jxpath.ri.EvalContext,toString(),238,242,0.38406262
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"createChild(JXPathContext,QName,int)",488,519,0.3840626
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,"createChild(JXPathContext,QName,int)",377,407,0.3840626
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,"doStepPredicatesStandard(EvalContext,NodePointer,Step[],int)",327,403,0.3840626
org.apache.commons.jxpath.servlet.HttpSessionHandler,"setProperty(Object,String,Object)",61,72,0.35975567
org.apache.commons.jxpath.servlet.JXPathServletContexts,"getRequestContext(ServletRequest,ServletContext)",112,151,0.35975567
