File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.lang3.StringUtils,"replaceEach(String,String[],String[],boolean,int)",3928,4105,1.0
org.apache.commons.lang3.mutable.MutableFloat,equals(Object),242,277,0.9908456
org.apache.commons.lang3.ClassUtils,"isAssignable(Class<?>,Class<?>,boolean)",527,625,0.9278157
org.apache.commons.lang3.mutable.MutableDouble,equals(Object),242,275,0.87228745
org.apache.commons.lang3.builder.EqualsBuilder,"reflectionEquals(Object,Object,boolean,Class<?>,String[])",355,428,0.8431297
org.apache.commons.lang3.CharSet,equals(Object),257,278,0.7953542
org.apache.commons.lang3.time.FastDateFormat,equals(Object),972,994,0.79250145
org.apache.commons.lang3.builder.IDKey,equals(Object),58,74,0.76100796
org.apache.commons.lang3.CharRange,equals(Object),201,218,0.6972416
org.apache.commons.lang3.ClassUtils,"getPublicMethod(Class<?>,String,Class<?>)",828,878,0.69558334
org.apache.commons.lang3.mutable.MutableObject,equals(Object),78,105,0.6904024
org.apache.commons.lang3.text.ExtendedMessageFormat,applyPattern(String),139,209,0.6869852
org.apache.commons.lang3.ArrayUtils,"add(Object,int,Object,Class<?>)",4267,4298,0.6808474
org.apache.commons.lang3.builder.EqualsBuilder,"reflectionEquals(Object,Object,boolean,Class<?>)",326,353,0.67471224
org.apache.commons.lang3.text.StrTokenizer,"tokenize(char[],int,int)",608,647,0.6709091
org.apache.commons.lang3.CharSet,hashCode(),280,289,0.663657
org.apache.commons.lang3.CharRange,hashCode(),220,228,0.663657
org.apache.commons.lang3.exception.ContextedRuntimeException,getMessage(),194,203,0.65230787
org.apache.commons.lang3.exception.ContextedException,getMessage(),194,203,0.65230787
org.apache.commons.lang3.time.FastDateFormat,"getInstance(String,TimeZone)",170,183,0.65220195
org.apache.commons.lang3.time.FastDateFormat,"getInstance(String,Locale)",185,197,0.65220195
org.apache.commons.lang3.time.FastDateFormat,"getInstance(String,TimeZone,Locale)",199,221,0.65220195
org.apache.commons.lang3.reflect.TypeUtils,"determineTypeArguments(Class<?>,ParameterizedType)",668,725,0.6516027
org.apache.commons.lang3.reflect.MemberUtils,"getObjectTransformationCost(Class<?>,Class<?>)",126,160,0.64974695
org.apache.commons.lang3.time.FastDateFormat.TimeZoneDisplayKey,equals(Object),1676,1692,0.63916314
org.apache.commons.lang3.exception.ExceptionUtils,"indexOf(Throwable,Class<?>,int,boolean)",390,426,0.6372657
org.apache.commons.lang3.mutable.MutableInt,equals(Object),223,237,0.6346448
org.apache.commons.lang3.mutable.MutableLong,equals(Object),223,237,0.6346448
org.apache.commons.lang3.mutable.MutableByte,equals(Object),233,247,0.6346448
org.apache.commons.lang3.mutable.MutableShort,equals(Object),233,247,0.6346448
org.apache.commons.lang3.mutable.MutableBoolean,equals(Object),142,156,0.6346448
org.apache.commons.lang3.math.NumberUtils,createNumber(String),426,602,0.63073003
org.apache.commons.lang3.concurrent.ConstantInitializer,equals(Object),94,114,0.6297407
org.apache.commons.lang3.AnnotationUtils,"equals(Annotation,Annotation)",92,129,0.61955756
org.apache.commons.lang3.time.FastDateFormat,hashCode(),996,1010,0.61188704
org.apache.commons.lang3.math.Fraction,equals(Object),829,848,0.5989881
org.apache.commons.lang3.Pair,equals(Object),51,64,0.5989881
org.apache.commons.lang3.text.StrBuilder,equals(Object),2575,2588,0.5989881
org.apache.commons.lang3.Range,equals(Object),311,331,0.5989881
org.apache.commons.lang3.Range.ComparableComparator,equals(Object),400,404,0.5989881
org.apache.commons.lang3.time.DurationFormatUtils.Token,equals(Object),618,643,0.5989881
org.apache.commons.lang3.time.FastDateFormat.Pair,equals(Object),1716,1736,0.5989881
org.apache.commons.lang3.time.FastDateFormat,"getDateInstance(int,TimeZone,Locale)",268,305,0.59284246
org.apache.commons.lang3.time.FastDateFormat,"getTimeInstance(int,TimeZone,Locale)",353,391,0.59284246
