File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.math.optimization.general.PowellOptimizer,PowellOptimizer(double),61,67,1.0
org.apache.commons.math.optimization.univariate.BrentOptimizer,BrentOptimizer(),40,48,0.86441004
org.apache.commons.math.optimization.general.NonLinearConjugateGradientOptimizer,doOptimize(),110,212,0.7784625
org.apache.commons.math.analysis.solvers.UnivariateRealSolverFactoryImpl,newBrentSolver(),47,51,0.77483666
org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegrator,"integrate(FirstOrderDifferentialEquations,double,double[],double,double[])",554,999,0.7712786
org.apache.commons.math.optimization.general.NonLinearConjugateGradientOptimizer,setLineSearchSolver(UnivariateRealSolver),82,90,0.7242968
org.apache.commons.math.distribution.AbstractContinuousDistribution,inverseCumulativeProbability(double),76,143,0.7094761
org.apache.commons.math.ode.events.EventState,evaluateStep(StepInterpolator),156,274,0.70548636
org.apache.commons.math.analysis.solvers.BrentSolver,"solve(UnivariateRealFunction,double,double,double,double,double,double)",233,345,0.68989867
org.apache.commons.math.optimization.direct.DirectSearchOptimizer,"optimize(MultivariateRealFunction,GoalType,double[])",256,310,0.6888112
org.apache.commons.math.optimization.MultiStartDifferentiableMultivariateRealOptimizer,"optimize(DifferentiableMultivariateRealFunction,GoalType,double[])",171,226,0.6402264
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer,"optimize(MultivariateRealFunction,GoalType,double[])",161,214,0.6384384
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer,getOptima(),165,197,0.6244227
org.apache.commons.math.analysis.solvers.UnivariateRealSolverFactoryImpl,newDefaultSolver(),35,39,0.6190297
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer,getOptimaValues(),199,223,0.5893176
org.apache.commons.math.optimization.fitting.CurveFitter,"fit(ParametricRealFunction,double[])",113,147,0.5816853
org.apache.commons.math.analysis.solvers.BrentSolver,BrentSolver(UnivariateRealFunction),50,62,0.5814001
org.apache.commons.math.optimization.MultiStartDifferentiableMultivariateVectorialOptimizer,"optimize(DifferentiableMultivariateVectorialFunction,double[],double[],double[])",175,236,0.579287
