File,Signature,StartLine,EndLine,Suspiciousness
org.mockito.Mockito,timeout(long),2125,2164,1.0
org.mockito.Mockito,after(long),2166,2204,1.0
org.mockito.Mockito,verifyNoMoreInteractions(Object),1613,1656,0.9331621
org.mockito.Mockito,spy(T),1287,1370,0.88371533
org.mockito.internal.verification.VerificationOverTimeImpl,"VerificationOverTimeImpl(long,long,VerificationMode,boolean,Timer)",40,58,0.7796081
org.mockito.Mockito,"verify(T,VerificationMode)",1556,1580,0.75156707
org.mockito.Mockito,ignoreStubs(Object),1937,2002,0.75156707
org.mockito.Mockito,inOrder(Object),1906,1935,0.7189932
org.mockito.exceptions.Reporter,mocksHaveToBePassedToVerifyNoMoreInteractions(),173,181,0.7036889
org.mockito.Mockito,verify(T),1525,1554,0.7036889
org.mockito.internal.verification.VerificationOverTimeImpl,"VerificationOverTimeImpl(long,long,VerificationMode,boolean)",25,38,0.6955638
org.mockito.internal.verification.VerificationOverTimeImpl,verify(VerificationData),60,99,0.6955638
org.mockito.exceptions.Reporter,inOrderRequiresFamiliarMock(),229,236,0.6711151
org.mockito.exceptions.Reporter,extraInterfacesCannotContainMockedType(Class<?>),572,578,0.6087506
org.mockito.exceptions.Reporter,mocksHaveToBePassedWhenCreatingInOrder(),220,227,0.60515815
org.mockito.internal.stubbing.answers.ReturnsElementsOf,ReturnsElementsOf(Collection<?>),37,43,0.5853211
org.mockito.exceptions.Reporter,extraInterfacesAcceptsOnlyInterfaces(Class<?>),565,570,0.5853211
org.mockito.internal.creation.cglib.AcrossJVMSerializationFeature,writeReplace(Object),70,138,0.55728006
org.mockito.exceptions.Reporter,"delegatedMethodHasWrongReturnType(Method,Method,Object,Object)",795,803,0.55728006
org.mockito.exceptions.Reporter,"delegatedMethodDoesNotExistOnDelegate(Method,Object,Object)",805,813,0.55728006
org.mockito.Mockito,doCallRealMethod(),1753,1786,0.55728006
org.mockito.exceptions.Reporter,atMostAndNeverShouldNotBeUsedWithTimeout(),650,659,0.5338506
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,"newDeepStubMock(GenericMetadataSupport,Object)",77,94,0.5247063
org.mockito.exceptions.Reporter,unfinishedVerificationException(Location),116,131,0.5047027
org.mockito.exceptions.Reporter,misplacedArgumentMatcher(List<LocalizedMatcher>),515,531,0.5047027
org.mockito.Mockito,times(int),2004,2018,0.5047027
