File,Signature,StartLine,EndLine,Suspiciousness
org.joda.time.tz.ZoneInfoCompiler,"compile(File,File[])",360,459,1.0
org.joda.time.DateTime,withZone(DateTimeZone),600,619,0.9841461
org.joda.time.DateTime,withZoneRetainFields(DateTimeZone),621,647,0.984119
org.joda.time.tz.DateTimeZoneBuilder.PrecalculatedZone,"create(String,boolean,ArrayList<Transition>,DSTZone)",1379,1482,0.8426314
org.joda.time.DateTimeZone,getDefault(),120,162,0.7762625
org.joda.time.tz.ZoneInfoCompiler,"test(String,DateTimeZone)",265,343,0.7427164
org.joda.time.tz.DateTimeZoneBuilder,"toDateTimeZone(String,boolean)",326,401,0.6842342
org.joda.time.LocalDate,toDate(),966,1007,0.6709726
org.joda.time.tz.DateTimeZoneBuilder,"writeTo(String,OutputStream)",435,448,0.66257405
org.joda.time.LocalDateTime,toDate(),752,798,0.6542214
org.joda.time.tz.DateTimeZoneBuilder,"writeTo(String,DataOutput)",450,475,0.6539164
org.joda.time.tz.ZoneInfoCompiler,printUsage(),139,145,0.652896
org.joda.time.DateMidnight,withChronology(Chronology),374,397,0.6392898
org.joda.time.DateTimeZone,forID(String),187,224,0.6225302
org.joda.time.DateTimeZone,forTimeZone(TimeZone),286,338,0.6071642
org.joda.time.tz.ZoneInfoCompiler,"writeZoneInfoMap(DataOutputStream,Map<String,DateTimeZone>)",161,205,0.60569125
org.joda.time.tz.DateTimeZoneBuilder,"readFrom(DataInput,String)",102,125,0.5679072
org.joda.time.DateTimeZone,getOffsetFromLocal(long),847,911,0.5636938
org.joda.time.DateTimeZone,"fixedOffsetZone(String,int)",341,366,0.56153905
org.joda.time.LocalDateTime,now(DateTimeZone),113,127,0.5574618
org.joda.time.tz.UTCProvider,getZone(String),40,49,0.55724084
org.joda.time.tz.ZoneInfoProvider,getZone(String),127,163,0.5562873
org.joda.time.Instant,toDateTimeISO(),291,316,0.5514286
org.joda.time.DateMidnight,now(DateTimeZone),91,105,0.5506192
org.joda.time.Instant,toMutableDateTimeISO(),337,362,0.54866153
org.joda.time.tz.ZoneInfoProvider,loadZoneData(String),217,242,0.5483852
org.joda.time.DateTime,now(DateTimeZone),92,105,0.547945
org.joda.time.MutableDateTime,now(DateTimeZone),109,122,0.54505926
org.joda.time.LocalDate,now(DateTimeZone),126,139,0.5389556
org.joda.time.LocalDateTime,now(),101,111,0.53862876
org.joda.time.DateMidnight,DateMidnight(DateTimeZone),160,172,0.53677946
org.joda.time.tz.DefaultNameProvider,"getNameSet(Locale,String,String)",52,96,0.5359268
org.joda.time.DateTimeZone,setDefault(DateTimeZone),164,184,0.53221285
org.joda.time.base.AbstractDateTime,toCalendar(Locale),252,277,0.5299983
org.joda.time.DateTime,DateTime(DateTimeZone),158,169,0.5263707
org.joda.time.MutableDateTime,MutableDateTime(DateTimeZone),175,186,0.52526945
org.joda.time.Instant,toDateTime(),272,289,0.52331644
org.joda.time.base.BaseDateTime,BaseDateTime(DateTimeZone),64,74,0.52030706
org.joda.time.tz.DateTimeZoneBuilder,"readFrom(InputStream,String)",87,100,0.51923615
org.joda.time.DateTime,now(),81,90,0.51801914
org.joda.time.Instant,toMutableDateTime(),318,335,0.51750124
org.joda.time.MutableDateTime,now(),98,107,0.5143133
org.joda.time.DateMidnight,now(),79,89,0.5132232
org.joda.time.DateTime,withEarlierOffsetAtOverlap(),649,667,0.51056695
org.joda.time.tz.DateTimeZoneBuilder,"buildFixedZone(String,String,int,int)",213,220,0.5100339
org.joda.time.tz.FixedDateTimeZone,equals(Object),87,99,0.506646
org.joda.time.format.DateTimeFormatterBuilder,appendTimeZoneId(),1023,1031,0.5059203
