File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.core.filter.FilteringParserDelegate,nextToken(),241,477,1.0
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_nextTokenWithBuffering(TokenFilterContext),668,837,0.98530036
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_nextToken2(),483,665,0.8980819
"com.fasterxml.jackson.core.filter.FilteringParserDelegate.FilteringParserDelegate(JsonParser,TokenFilter,TokenFilter","Inclusion,boolean)",111,127,0.7068558
com.fasterxml.jackson.core.JsonPointer,"forPath(JsonStreamContext,boolean)",190,278,0.64752257
com.fasterxml.jackson.core.util.JsonParserSequence,skipChildren(),158,187,0.61137295
com.fasterxml.jackson.core.filter.TokenFilter,filterStartArray(),92,117,0.5998998
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_decodeBase64(Base64Variant),2835,2963,0.58977956
com.fasterxml.jackson.core.filter.FilteringParserDelegate,skipChildren(),887,916,0.57869726
com.fasterxml.jackson.core.filter.TokenFilter,includeElement(int),169,195,0.57784176
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,writeStartArray(),164,197,0.57261986
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,close(),988,1046,0.5512594
com.fasterxml.jackson.core.filter.TokenFilterContext,closeArray(JsonGenerator),232,251,0.5464631
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_nextBuffered(TokenFilterContext),839,867,0.53981876
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeBase64(Base64Variant),3726,3849,0.53819907
com.fasterxml.jackson.core.JsonParser,ALLOW_TRAILING_COMMA(),247,353,0.53113085
com.fasterxml.jackson.core.base.ParserMinimalBase,skipChildren(),228,263,0.5140552
com.fasterxml.jackson.core.JsonFactory,"_createGenerator(Writer,IOContext)",1805,1837,0.51301223
com.fasterxml.jackson.core.JsonParser,isExpectedStartArrayToken(),1321,1340,0.5126472
com.fasterxml.jackson.core.filter.TokenFilterContext,closeObject(JsonGenerator),253,272,0.5107892
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextToken(),678,815,0.5099189
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,writeStartArray(Object),233,260,0.5086864
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,"writeStartArray(Object,int)",262,289,0.5086864
com.fasterxml.jackson.core.filter.TokenFilter,filterStartObject(),65,90,0.49635378
com.fasterxml.jackson.core.JsonFactory,"_createParser(DataInput,IOContext)",1773,1796,0.49565133
com.fasterxml.jackson.core.JsonPointer,appendIndex(int),417,439,0.4890378
com.fasterxml.jackson.core.JsonGenerator,writeTypePrefix(WritableTypeId),1914,1995,0.48770827
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,writeStartArray(int),199,231,0.48053148
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextFieldName(),1027,1142,0.48034072
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextFieldName(),925,1031,0.48034072
com.fasterxml.jackson.core.JsonParser,readValueAs(TypeReference<?>),2307,2338,0.4749665
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,_checkPropertyParentPath(),1028,1050,0.47365588
com.fasterxml.jackson.core.JsonFactory,"_createUTF8Generator(OutputStream,IOContext)",1839,1870,0.4715131
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextToken(),736,862,0.46894813
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser,nextToken(),582,709,0.46894813
"com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate.FilteringGeneratorDelegate(JsonGenerator,TokenFilter,TokenFilter","Inclusion,boolean)",100,119,0.4679775
com.fasterxml.jackson.core.JsonParser,readValueAs(Class<T>),2272,2305,0.46432617
com.fasterxml.jackson.core.JsonFactory,createNonBlockingByteArrayParser(),1220,1245,0.4642053
com.fasterxml.jackson.core.JsonFactory,createNonBlockingByteBufferParser(),1247,1272,0.4642053
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_filterContext(),1047,1052,0.46013045
com.fasterxml.jackson.core.filter.FilteringParserDelegate,getCurrentName(),189,197,0.4598698
com.fasterxml.jackson.core.filter.FilteringParserDelegate,currentName(),200,208,0.4598698
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextFieldName(SerializableString),941,1025,0.45647728
com.fasterxml.jackson.core.JsonGenerator,"writeStartArray(Object,int)",955,976,0.45543638
com.fasterxml.jackson.core.json.async.NonBlockingUtf8JsonParserBase,_startValueExpectComma(int),646,740,0.45334518
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser,nextFieldName(),789,892,0.45188826
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"ReaderBasedJsonParser(IOContext,int,Reader,ObjectCodec,CharsToNameCanonicalizer,char[],int,int,boolean)",122,157,0.44874477
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,_checkParentPath(boolean),1009,1026,0.44767612
com.fasterxml.jackson.core.JsonGenerator,copyCurrentStructure(JsonParser),2521,2580,0.44664666
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,"_isNextTokenNameMaybe(int,SerializableString)",1250,1318,0.44570252
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_isNextTokenNameMaybe(int,String)",1090,1155,0.44570252
