File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.databind.cfg.CoercionConfigs,"findCoercion(DeserializationConfig,LogicalType,Class<?>,CoercionInputShape)",148,250,1.0
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_deserializeFromString(JsonParser,DeserializationContext)",250,314,0.8980661
com.fasterxml.jackson.databind.deser.std.ObjectArrayDeserializer,"handleNonArray(JsonParser,DeserializationContext)",327,393,0.8965407
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkToStringCoercion(JsonParser,DeserializationContext,Class<?>,Object,CoercionInputShape)",1592,1606,0.8933486
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,"handleNonArray(JsonParser,DeserializationContext)",306,346,0.878354
com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer,"handleNonArray(JsonParser,DeserializationContext,Collection<String>)",271,332,0.85949504
com.fasterxml.jackson.databind.deser.std.CollectionDeserializer,"_deserializeFromString(JsonParser,DeserializationContext,String)",286,331,0.8576933
com.fasterxml.jackson.databind.cfg.CoercionConfigs,"findCoercionFromBlankString(DeserializationConfig,LogicalType,Class<?>,CoercionAction)",252,327,0.84970593
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkFromStringCoercion(DeserializationContext,String,LogicalType,Class<?>)",1507,1544,0.8478187
com.fasterxml.jackson.databind.DeserializationContext,"findCoercionAction(LogicalType,Class<?>,CoercionInputShape)",490,506,0.8370913
com.fasterxml.jackson.databind.DeserializationConfig,"findCoercionAction(LogicalType,Class<?>,CoercionInputShape)",1007,1024,0.8337071
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.CharacterDeserializer,"deserialize(JsonParser,DeserializationContext)",441,503,0.7950315
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkIntToFloatCoercion(JsonParser,DeserializationContext,Class<?>)",1608,1622,0.7840517
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkFloatToIntCoercion(JsonParser,DeserializationContext,Class<?>)",1546,1560,0.7812934
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseShortPrimitive(JsonParser,DeserializationContext)",626,694,0.77805376
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkCoercionFail(DeserializationContext,CoercionAction,Class<?>,Object,String)",1653,1667,0.7780474
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseBytePrimitive(JsonParser,DeserializationContext)",554,624,0.77413327
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseString(JsonParser,DeserializationContext,NullValueProvider)",1384,1457,0.77201504
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.BigIntegerDeserializer,"deserialize(JsonParser,DeserializationContext)",923,975,0.7700854
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.FloatDeserializer,"_parseFloat(JsonParser,DeserializationContext)",604,660,0.765559
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkIntToStringCoercion(JsonParser,DeserializationContext,Class<?>)",1562,1570,0.761347
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseInteger(JsonParser,DeserializationContext,Class<?>)",778,825,0.7610891
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.BigDecimalDeserializer,"deserialize(JsonParser,DeserializationContext)",997,1045,0.760091
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkFloatToStringCoercion(JsonParser,DeserializationContext,Class<?>)",1572,1580,0.7555936
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_coerceBooleanFromInt(JsonParser,DeserializationContext,Class<?>)",1624,1651,0.75536984
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseBoolean(JsonParser,DeserializationContext,Class<?>)",479,552,0.7551808
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.NumberDeserializer,"deserialize(JsonParser,DeserializationContext)",790,870,0.75488704
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseLong(JsonParser,DeserializationContext,Class<?>)",922,970,0.7528758
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkBooleanToStringCoercion(JsonParser,DeserializationContext,Class<?>)",1582,1590,0.751342
com.fasterxml.jackson.databind.deser.std.FromStringDeserializer,_deserializeFromEmptyString(DeserializationContext),241,261,0.74695706
com.fasterxml.jackson.databind.DeserializationConfig,"findCoercionFromBlankString(LogicalType,Class<?>,CoercionAction)",1026,1048,0.74549276
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.ByteDeserializer,"_parseByte(JsonParser,DeserializationContext)",277,336,0.7414892
com.fasterxml.jackson.databind.DeserializationContext,"findCoercionFromBlankString(LogicalType,Class<?>,CoercionAction)",508,529,0.74105805
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.ShortDeserializer,"_parseShort(JsonParser,DeserializationContext)",366,422,0.73547876
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseFloatPrimitive(JsonParser,DeserializationContext)",984,1050,0.7193427
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseDoublePrimitive(JsonParser,DeserializationContext)",1115,1181,0.7193427
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseLongPrimitive(JsonParser,DeserializationContext)",849,905,0.71716946
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.DoubleDeserializer,"_parseDouble(JsonParser,DeserializationContext)",702,760,0.7165408
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseIntPrimitive(JsonParser,DeserializationContext)",696,752,0.7158943
com.fasterxml.jackson.databind.deser.std.StdDeserializer,_findCoercionFromEmptyArray(DeserializationContext),2185,2188,0.69571155
com.fasterxml.jackson.databind.deser.std.EnumDeserializer,"_fromInteger(JsonParser,DeserializationContext,int)",297,335,0.67809075
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseBooleanPrimitive(JsonParser,DeserializationContext)",381,454,0.67759603
com.fasterxml.jackson.databind.deser.ValueInstantiator,"_createFromStringFallbacks(DeserializationContext,String)",431,467,0.6761762
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_deserializeFromArray(JsonParser,DeserializationContext)",181,223,0.6540578
com.fasterxml.jackson.databind.deser.std.StdDeserializer,_findCoercionFromEmptyString(DeserializationContext),2179,2182,0.6513202
com.fasterxml.jackson.databind.deser.BeanDeserializer,"_deserializeFromArray(JsonParser,DeserializationContext)",602,652,0.6314728
com.fasterxml.jackson.databind.cfg.MutableCoercionConfig,"setCoercion(CoercionInputShape,CoercionAction)",26,30,0.62583435
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_verifyNullForPrimitiveCoercion(DeserializationContext,String)",1733,1757,0.6170215
com.fasterxml.jackson.databind.deser.std.FactoryBasedEnumDeserializer,"deserialize(JsonParser,DeserializationContext)",120,207,0.6110477
com.fasterxml.jackson.databind.DeserializationContext,"reportBadCoercion(JsonDeserializer<?>,Class<?>,Object,String,Object)",1806,1820,0.60480976
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializerNR,"_deserializeNR(JsonParser,DeserializationContext,Scope)",215,328,0.60199153
com.fasterxml.jackson.databind.cfg.CoercionConfig,findAction(CoercionInputShape),36,38,0.58651096
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_deserializeFromEmptyString(JsonParser,DeserializationContext,CoercionAction,Class<?>,String)",316,345,0.58589166
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseDateFromArray(JsonParser,DeserializationContext)",1308,1335,0.5799628
com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer,"_deserializeContainerNoRecursion(JsonParser,DeserializationContext,JsonNodeFactory,ContainerStack,ContainerNode<?>)",525,656,0.5762076
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_verifyNumberForScalarCoercion(DeserializationContext,JsonParser)",1887,1898,0.56993955
com.fasterxml.jackson.databind.deser.std.EnumDeserializer,"_deserializeAltString(JsonParser,DeserializationContext,CompactStringObjectMap,String)",347,417,0.5671423
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer,"_deserializeFromArray(JsonParser,DeserializationContext)",498,537,0.5659024
com.fasterxml.jackson.databind.cfg.CoercionConfig,CoercionConfig(),23,28,0.56045514
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_verifyStringForScalarCoercion(DeserializationContext,String)",1832,1843,0.55327797
com.fasterxml.jackson.databind.cfg.CoercionConfigs,copy(),64,94,0.5465039
com.fasterxml.jackson.databind.DeserializationContext,"handleUnexpectedToken(JavaType,JsonToken,JsonParser,String,Object)",1476,1528,0.53897977
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,"deserializeWithType(JsonParser,DeserializationContext,TypeDeserializer)",303,355,0.5315538
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseDate(JsonParser,DeserializationContext)",1271,1305,0.527278
com.fasterxml.jackson.databind.deser.std.DateDeserializers.DateBasedDeserializer,"_parseDate(JsonParser,DeserializationContext)",173,202,0.51295036
com.fasterxml.jackson.databind.deser.std.CollectionDeserializer,"deserialize(JsonParser,DeserializationContext)",232,253,0.51167446
com.fasterxml.jackson.databind.cfg.CoercionConfigs,"CoercionConfigs(CoercionAction,MutableCoercionConfig,MutableCoercionConfig[],Map<Class<?>,MutableCoercionConfig>)",53,62,0.505239
com.fasterxml.jackson.databind.deser.SettableBeanProperty,"deserializeWith(JsonParser,DeserializationContext,Object)",552,587,0.49298137
com.fasterxml.jackson.databind.deser.std.StdDeserializer,_findCoercionFromBlankString(DeserializationContext),2191,2194,0.4910481
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,"deserialize(JsonParser,DeserializationContext)",238,301,0.48754752
com.fasterxml.jackson.databind.ObjectMapper,"treeToValue(TreeNode,Class<T>)",3390,3447,0.48672855
com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,"_deserialize(JsonParser,DeserializationContext)",80,131,0.48482597
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_failDoubleToIntCoercion(JsonParser,DeserializationContext,String)",1869,1876,0.480891
com.fasterxml.jackson.databind.ObjectMapper,"readValue(JsonParser,Class<T>)",2950,2976,0.47812715
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(BaseSettings,SubtypeResolver,SimpleMixInResolver,RootNameLookup,ConfigOverrides,CoercionConfigs,DatatypeFeatures)",110,130,0.47790626
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkFromStringCoercion(DeserializationContext,String)",1498,1505,0.4752456
com.fasterxml.jackson.databind.jsontype.impl.AsDeductionTypeDeserializer,"deserializeTypedFromObject(JsonParser,DeserializationContext)",97,149,0.47410414
com.fasterxml.jackson.databind.ObjectMapper,"ObjectMapper(JsonFactory,DefaultSerializerProvider,DefaultDeserializationContext)",635,690,0.4711734
com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer,"_fromInt(JsonParser,int,JsonNodeFactory)",705,722,0.4707443
com.fasterxml.jackson.databind.deser.std.FromStringDeserializer,"_deserializeEmbedded(Object,DeserializationContext)",223,234,0.46729842
com.fasterxml.jackson.databind.cfg.CoercionConfig,CoercionConfig(CoercionConfig),30,34,0.46467078
com.fasterxml.jackson.databind.deser.std.StdDeserializer,_coercedTypeDesc(Class<?>),1795,1810,0.4639305
com.fasterxml.jackson.databind.ObjectMapper,"ObjectMapper(ObjectMapper,JsonFactory)",599,633,0.46180645
com.fasterxml.jackson.databind.jsontype.impl.AsPropertyTypeDeserializer,"deserializeTypedFromObject(JsonParser,DeserializationContext)",95,146,0.46147475
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializerNR,"deserialize(JsonParser,DeserializationContext)",65,104,0.45767662
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer.Vanilla,"deserialize(JsonParser,DeserializationContext)",699,760,0.4564967
com.fasterxml.jackson.databind.deser.impl.FieldProperty,"deserializeAndSet(JsonParser,DeserializationContext,Object)",127,154,0.45428297
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,"deserialize(JsonParser,DeserializationContext,Object)",357,427,0.4528197
com.fasterxml.jackson.databind.deser.impl.FieldProperty,"deserializeSetAndReturn(JsonParser,DeserializationContext,Object)",156,184,0.4527028
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,SubtypeResolver,SimpleMixInResolver,RootNameLookup,ConfigOverrides,CoercionConfigs)",132,152,0.45228663
com.fasterxml.jackson.databind.cfg.MapperBuilder,withCoercionConfigDefaults(Consumer<MutableCoercionConfig>),321,329,0.451162
com.fasterxml.jackson.databind.deser.SettableBeanProperty,"deserialize(JsonParser,DeserializationContext)",523,550,0.4399042
com.fasterxml.jackson.databind.ObjectMapper,"readValue(URL,Class<T>)",3681,3705,0.4395381
com.fasterxml.jackson.databind.deser.std.MapEntryDeserializer,"deserialize(JsonParser,DeserializationContext)",175,235,0.43925637
com.fasterxml.jackson.databind.cfg.CoercionConfigs,findOrCreateCoercion(LogicalType),119,128,0.43861666
com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler,"_deserializeAndSet(JsonParser,DeserializationContext,Object,int,String)",378,406,0.43693256
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_checkTextualNull(DeserializationContext,String)",1669,1686,0.43433613
com.fasterxml.jackson.databind.ObjectMapper,"readValue(JsonParser,ResolvedType)",3003,3025,0.43377256
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_verifyNullForScalarCoercion(DeserializationContext,String)",1878,1885,0.43248773
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_coerceTextualNull(DeserializationContext,boolean)",1909,1915,0.4317898
com.fasterxml.jackson.databind.ObjectMapper,"convertValue(Object,Class<T>)",4438,4477,0.4312507
com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer,"_handleDuplicateField(JsonParser,DeserializationContext,JsonNodeFactory,String,ObjectNode,JsonNode,JsonNode)",340,382,0.42941248
com.fasterxml.jackson.databind.ObjectMapper,coercionConfigFor(LogicalType),2158,2166,0.42700636
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseDate(String,DeserializationContext)",1337,1366,0.42614275
com.fasterxml.jackson.databind.jsontype.impl.AsWrapperTypeDeserializer,"_deserialize(JsonParser,DeserializationContext)",76,128,0.42587548
com.fasterxml.jackson.databind.ObjectMapper,coercionConfigFor(Class<?>),2168,2176,0.42531806
com.fasterxml.jackson.databind.ObjectMapper,"_initForReading(JsonParser,JavaType)",4892,4922,0.4237616
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_parseBooleanFromInt(JsonParser,DeserializationContext)",1818,1830,0.42343292
com.fasterxml.jackson.databind.deser.impl.MethodProperty,"deserializeAndSet(JsonParser,DeserializationContext,Object)",118,145,0.42220455
com.fasterxml.jackson.databind.deser.std.FromStringDeserializer,"deserialize(JsonParser,DeserializationContext)",143,188,0.4221571
com.fasterxml.jackson.databind.ObjectMapper,"readValue(File,Class<T>)",3621,3639,0.42077646
com.fasterxml.jackson.databind.deser.DefaultDeserializationContext,"_unwrapAndDeserialize(JsonParser,JavaType,JsonDeserializer<Object>,Object)",328,367,0.4181875
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_coerceEmptyString(DeserializationContext,boolean)",1845,1867,0.4180427
com.fasterxml.jackson.databind.deser.impl.MethodProperty,"deserializeSetAndReturn(JsonParser,DeserializationContext,Object)",147,176,0.4173047
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,long,int,int,int,int,int)",161,176,0.41537645
com.fasterxml.jackson.databind.ObjectMapper,"readValue(File,JavaType)",3661,3679,0.41235325
com.fasterxml.jackson.databind.ObjectMapper,"readValue(JsonParser,TypeReference<T>)",2978,3001,0.41080233
com.fasterxml.jackson.databind.deser.std.StdDeserializer,_coercedTypeDesc(),1767,1793,0.4083523
com.fasterxml.jackson.databind.cfg.MapperBuilder,"withCoercionConfig(LogicalType,Consumer<MutableCoercionConfig>)",297,307,0.40547225
com.fasterxml.jackson.databind.cfg.MapperBuilder,"withCoercionConfig(Class<?>,Consumer<MutableCoercionConfig>)",309,319,0.4040609
com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler,"_deserialize(JsonParser,DeserializationContext,int,String)",340,360,0.3963402
com.fasterxml.jackson.databind.jsontype.impl.AsPropertyTypeDeserializer,"_deserializeTypedForId(JsonParser,DeserializationContext,TokenBuffer,String)",148,171,0.3948262
com.fasterxml.jackson.databind.ObjectMapper,"readValue(JsonParser,JavaType)",3027,3045,0.39280444
com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer,"_fromInt(JsonParser,DeserializationContext,JsonNodeFactory)",724,747,0.39041695
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"_coerceIntegral(JsonParser,DeserializationContext)",1694,1714,0.38742757
com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler,"_deserializeMissingToken(JsonParser,DeserializationContext,int,String)",363,376,0.38577613
com.fasterxml.jackson.databind.cfg.CoercionConfigs,findOrCreateCoercion(Class<?>),130,140,0.3855384
com.fasterxml.jackson.databind.util.TokenBuffer.Parser,getNumberValue(boolean),1900,1940,0.38496777
com.fasterxml.jackson.databind.ObjectMapper,"readValue(String,Class<T>)",3729,3742,0.3846001
com.fasterxml.jackson.databind.MappingIterator,"MappingIterator(JavaType,JsonParser,DeserializationContext,JsonDeserializer<?>,boolean,Object)",111,163,0.38435006
com.fasterxml.jackson.databind.ObjectMapper,"readValue(String,JavaType)",3759,3779,0.38355452
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,JsonNodeFactory)",210,222,0.38253468
com.fasterxml.jackson.databind.DeserializationContext,"wrongTokenException(JsonParser,JavaType,JsonToken,String)",1882,1899,0.38218603
com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(SerializerProvider,CollectionType,BeanDescription,boolean,TypeSerializer,JsonSerializer<Object>)",685,760,0.3819975
com.fasterxml.jackson.databind.ObjectMapper,"readValue(String,TypeReference<T>)",3744,3757,0.3814848
com.fasterxml.jackson.databind.DeserializationContext,"extractScalarFromObject(JsonParser,JsonDeserializer<?>,Class<?>)",920,944,0.380672
com.fasterxml.jackson.databind.deser.DeserializerCache,"_createDeserializer2(DeserializationContext,DeserializerFactory,JavaType,BeanDescription)",362,416,0.37768912
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,ContextAttributes)",282,294,0.3762436
com.fasterxml.jackson.databind.ObjectMapper,coercionConfigDefaults(),2145,2156,0.37241137
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,BaseSettings)",196,208,0.37217194
com.fasterxml.jackson.databind.cfg.CoercionConfigs,CoercionConfigs(),48,51,0.3703786
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,LinkedNode<DeserializationProblemHandler>)",239,252,0.36787504
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,ConstructorDetector)",225,237,0.36787406
com.fasterxml.jackson.databind.DeserializationConfig,"DeserializationConfig(DeserializationConfig,PropertyName)",254,266,0.36787406
