File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,setDefaultUseWrapper(boolean),88,104,1.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findRootName(AnnotatedClass),90,104,0.9353554
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,"findNamespace(MapperConfig<?>,Annotated)",112,125,0.89730364
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findWrapperName(Annotated),66,88,0.8785733
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,_findXmlName(Annotated),219,226,0.8418047
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"serializePolymorphic(JsonGenerator,Object,JavaType,JsonSerializer<Object>,TypeSerializer)",179,231,0.8301649
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,"isOutputAsText(MapperConfig<?>,Annotated)",143,151,0.8248522
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,"isOutputAsAttribute(MapperConfig<?>,Annotated)",133,141,0.79553753
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,close(),1294,1334,0.77278674
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextTextValue(),880,985,0.76862544
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextToken(),673,862,0.7527666
com.fasterxml.jackson.dataformat.xml.XmlMapper,setXMLTextElementName(String),251,264,0.7368207
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,"modifyDeserializer(DeserializationConfig,BeanDescription,JsonDeserializer<?>)",80,110,0.7226093
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,_constructIntrospector(),129,131,0.6460899
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,JacksonXmlAnnotationIntrospector(),42,44,0.6460899
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,JacksonXmlAnnotationIntrospector(boolean),46,48,0.6460899
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,"isOutputAsCData(MapperConfig<?>,Annotated)",153,160,0.6460899
com.fasterxml.jackson.dataformat.xml.XmlMapper,setDefaultUseWrapper(boolean),266,281,0.6460899
com.fasterxml.jackson.dataformat.xml.XmlMapper,"XmlMapper(XmlFactory,JacksonXmlModule)",152,190,0.6438699
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"addVirtualWrapping(Set<String>,boolean)",425,463,0.6388718
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFieldsFiltered(Object,JsonGenerator,SerializerProvider)",239,314,0.59512717
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,"updateProperties(DeserializationConfig,BeanDescription,List<BeanPropertyDefinition>)",31,78,0.5563989
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_next(),414,512,0.5467598
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,toStax2Base64Variant(Base64Variant),123,136,0.53196317
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,"changeProperties(SerializationConfig,BeanDescription,List<BeanPropertyWriter>)",32,72,0.5308354
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"serializeValue(JsonGenerator,Object,JavaType,JsonSerializer<Object>)",126,177,0.50799733
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRawValue(String),721,743,0.4988076
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawValue(String,int,int)",745,767,0.4988076
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawValue(char[],int,int)",769,790,0.4988076
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,JacksonXmlModule(),55,58,0.47574344
com.fasterxml.jackson.dataformat.xml.XmlMapper,XmlMapper(JacksonXmlModule),148,150,0.47574344
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,Class<T>)",330,339,0.47574344
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,TypeReference<T>)",341,350,0.47574344
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,JavaType)",352,364,0.47574344
com.fasterxml.jackson.dataformat.xml.util.Stax2JacksonReaderAdapter,Stax2JacksonReaderAdapter(XMLStreamReader),22,25,0.47574344
com.fasterxml.jackson.dataformat.xml.util.Stax2JacksonReaderAdapter,wrapIfNecessary(XMLStreamReader),27,33,0.47574344
com.fasterxml.jackson.dataformat.xml.util.Stax2JacksonReaderAdapter,next(),36,50,0.47574344
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getReadCapabilities(),345,348,0.47574344
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,_configureParser(JsonParser),148,172,0.47247484
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"FromXmlParser(IOContext,int,int,ObjectCodec,XMLStreamReader)",254,298,0.4714352
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,"serializeAsField(Object,JsonGenerator,SerializerProvider)",74,152,0.47008735
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,setupModule(SetupContext),60,80,0.46511704
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"_findRootName(MapperConfig<?>,Class<?>)",71,96,0.46507493
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(Object,JsonGenerator,SerializerProvider)",161,237,0.46433175
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,"_findSoleTextProp(DeserializationConfig,Iterator<SettableBeanProperty>)",112,138,0.44233674
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,isExpectedStartArrayToken(),556,585,0.4345093
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.Base64Mapper,map(Base64Variant),155,164,0.43351194
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,getWriteCapabilities(),334,337,0.43351194
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,sanitizeXmlTypeName(String),71,121,0.43127757
com.fasterxml.jackson.dataformat.xml.deser.XmlDeserializationContext,"extractScalarFromObject(JsonParser,JsonDeserializer<?>,Class<?>)",98,124,0.42732358
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,initialize(),164,211,0.4159362
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRaw(String),797,809,0.4157719
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(String,int,int)",811,823,0.4157719
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(char[],int,int)",825,837,0.4157719
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(ObjectCodec,int,int,XMLInputFactory,XMLOutputFactory,String)",105,130,0.40611482
com.fasterxml.jackson.dataformat.xml.XmlFactory,_initializeXmlReader(XMLStreamReader),708,720,0.40511233
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_collectUntilTag(),514,559,0.3955948
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findIsTextAnnotation(MapperConfig<?>,AnnotationIntrospector,AnnotatedMember)",39,52,0.39134035
com.fasterxml.jackson.dataformat.xml.XmlFactory,hasXMLFormat(InputAccessor),742,838,0.36964846
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"serializeValue(JsonGenerator,Object)",74,117,0.36834377
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findNameForSerialization(Annotated),168,181,0.36202562
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findNameForDeserialization(Annotated),183,196,0.36202562
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,"createContextual(DeserializationContext,BeanProperty)",73,79,0.3597681
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,"deserialize(JsonParser,DeserializationContext)",87,97,0.3597681
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,"deserialize(JsonParser,DeserializationContext,Object)",99,109,0.3597681
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeString(String),620,659,0.35915408
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,readResolve(),39,48,0.3454111
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"XmlBeanSerializerBase(XmlBeanSerializerBase,Set<String>,Set<String>)",126,134,0.34070984
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_skipAndCollectTextUntilTag(),566,598,0.34047025
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.Pair,"isOutputAsText(MapperConfig<?>,Annotated)",74,82,0.3351206
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,isIndexedType(JavaType),9,30,0.32999787
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,_asXmlGenerator(JsonGenerator),320,334,0.32742035
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.Pair,"Pair(AnnotationIntrospector,AnnotationIntrospector)",34,48,0.32514736
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.Pair,"instance(AnnotationIntrospector,AnnotationIntrospector)",50,52,0.32514736
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"_serializeUnwrappedObjectNode(ToXmlGenerator,Object,JsonSerializer<Object>)",300,318,0.3247946
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,"createContextual(DeserializationContext,BeanProperty)",67,110,0.3232922
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"_initWithRootName(ToXmlGenerator,QName)",254,276,0.319205
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.Lf2SpacesIndenter,"writeIndentation(JsonGenerator,int)",541,551,0.3160234
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,"XmlTextDeserializer(BeanDeserializerBase,int)",52,58,0.31422174
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,setXMLTextElementName(String),106,121,0.314112
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(char[],int,int,IOContext,boolean)",610,635,0.31288692
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(byte[],int,int,IOContext)",637,659,0.31288692
com.fasterxml.jackson.dataformat.xml.deser.XmlDeserializationContext,"readRootValue(JsonParser,JavaType,JsonDeserializer<Object>,Object)",80,94,0.312124
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,_serializeXmlNull(JsonGenerator),233,245,0.312124
com.fasterxml.jackson.dataformat.xml.XmlFactory,XmlFactory(XmlFactoryBuilder),145,159,0.30330876
com.fasterxml.jackson.dataformat.xml.XmlFactory,readResolve(),210,232,0.30330876
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,writeRootValueSeparator(JsonGenerator),146,150,0.2982018
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,XmlBeanSerializerBase(BeanSerializerBase),62,106,0.29477057
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"isOutputAsText(MapperConfig<?>,Annotated)",53,56,0.2928891
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_handleEndObject(),585,606,0.28633413
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,skipAttributes(),377,406,0.27614647
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.Pair,"findNamespace(MapperConfig<?>,Annotated)",54,62,0.26879776
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findNamespaceAnnotation(MapperConfig<?>,AnnotationIntrospector,AnnotatedMember)",9,22,0.26879776
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findIsAttributeAnnotation(MapperConfig<?>,AnnotationIntrospector,AnnotatedMember)",24,37,0.26879776
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findIsCDataAnnotation(MapperConfig<?>,AnnotationIntrospector,AnnotatedMember)",54,67,0.26879776
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"_findNamespace(MapperConfig<?>,AnnotationIntrospector,AnnotatedClass)",105,117,0.26879776
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,isExpectedNumberIntToken(),587,647,0.2665402
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_handleEOF(),1358,1374,0.26411623
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer,"serialize(Object,JsonGenerator,SerializerProvider)",130,147,0.26278904
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,"serialize(Object,JsonGenerator,SerializerProvider)",114,132,0.26278904
