File,Signature,StartLine,EndLine,Suspiciousness
nl.altindag.ssl.util.CertificateExtractingClient,"CertificateExtractingClient(boolean,Proxy,PasswordAuthentication,int)",72,96,1.0
nl.altindag.ssl.util.CertificateExtractorUtils,CertificateExtractorUtils(),59,70,0.9614991
nl.altindag.ssl.SSLFactory.Builder,build(),765,804,0.90635955
nl.altindag.ssl.SSLFactory.Builder,withTrustingAllCertificatesWithoutValidation(),708,712,0.8129072
nl.altindag.ssl.util.SSLSocketUtils,createUnsafeSslSocketFactory(),42,47,0.8055938
nl.altindag.ssl.util.TrustManagerUtils.TrustManagerBuilder,build(),358,397,0.66770786
nl.altindag.ssl.SSLFactory.Builder,withTrustMaterial(T),266,270,0.63991666
nl.altindag.ssl.SSLFactory.Builder,"withTrustMaterial(Path,char[],String,String)",329,343,0.63991666
nl.altindag.ssl.util.CertificateExtractorUtils,"getCertificatesFromRemoteFile(URI,X509Certificate)",143,164,0.63583535
nl.altindag.ssl.util.CertificateExtractingClient,"getCertificatesFromRemoteFile(URI,X509Certificate)",178,201,0.63583535
nl.altindag.ssl.SSLFactory.Builder,withUnsafeTrustMaterial(),222,230,0.61932784
nl.altindag.ssl.SSLFactory.Builder,"withTrustMaterial(T,TrustStoreTrustOptions<? extends CertPathTrustManagerParameters>)",259,264,0.61624074
nl.altindag.ssl.util.KeyStoreUtils,createTrustStore(T),151,161,0.605836
nl.altindag.ssl.SSLFactory.Builder,withTrustMaterial(T),254,257,0.6010598
nl.altindag.ssl.util.CertificateExtractorUtils,getCertificateFromExternalSource(String),82,102,0.59376097
nl.altindag.ssl.util.CertificateExtractingClient,get(String),105,133,0.59376097
nl.altindag.ssl.SSLFactory.Builder,"withTrustMaterial(Set<X509Certificate>,TrustAnchorTrustOptions<? extends CertPathTrustManagerParameters>)",399,410,0.5353462
nl.altindag.ssl.SSLFactory,getTrustedCertificates(),122,128,0.5298949
nl.altindag.ssl.trustmanager.CompositeX509ExtendedTrustManager,CompositeX509ExtendedTrustManager(List<? extends X509ExtendedTrustManager>),68,75,0.5298949
nl.altindag.ssl.util.SSLFactoryUtils,"reload(SSLFactory,SSLFactory,Function<SSLFactory,Optional<T>>,BiConsumer<T,T>)",41,51,0.5145946
nl.altindag.ssl.util.SSLFactoryUtils,"reload(SSLFactory,SSLFactory)",31,39,0.5088884
nl.altindag.ssl.SSLFactory.Builder,withSystemTrustMaterial(),202,205,0.49684533
