File,Signature,StartLine,EndLine,Suspiciousness
org.openapitools.codegen.languages.JavaMicronautAbstractCodegen,JavaMicronautAbstractCodegen(),83,198,1.0
org.openapitools.codegen.languages.SpringCodegen,SpringCodegen(),166,277,0.8657348
org.openapitools.codegen.languages.KotlinSpringServerCodegen,KotlinSpringServerCodegen(),133,236,0.85423577
org.openapitools.codegen.languages.AbstractJavaCodegen,AbstractJavaCodegen(),148,312,0.8327137
org.openapitools.codegen.languages.AbstractJavaCodegen,processOpts(),314,678,0.8313219
org.openapitools.codegen.languages.JavaJAXRSSpecServerCodegen,JavaJAXRSSpecServerCodegen(),61,123,0.8187136
org.openapitools.codegen.languages.AbstractKotlinCodegen,AbstractKotlinCodegen(),86,268,0.80629826
org.openapitools.codegen.examples.ExampleGenerator,"resolvePropertyToExample(String,String,Schema,Set<String>)",229,330,0.8010674
org.openapitools.codegen.languages.AndroidClientCodegen,AndroidClientCodegen(),62,166,0.79887235
org.openapitools.codegen.languages.ScalaAkkaHttpServerCodegen,ScalaAkkaHttpServerCodegen(),82,168,0.7793605
org.openapitools.codegen.languages.PhpSilexServerCodegen,PhpSilexServerCodegen(),45,140,0.756118
org.openapitools.codegen.languages.JavaPlayFrameworkCodegen,JavaPlayFrameworkCodegen(),66,106,0.74962807
org.openapitools.codegen.languages.JavaCXFServerCodegen,JavaCXFServerCodegen(),78,136,0.7464381
org.openapitools.codegen.DefaultCodegen,"fromOperation(String,String,Operation,List<Server>)",4543,4912,0.7415359
org.openapitools.codegen.languages.ScalaFinchServerCodegen,ScalaFinchServerCodegen(),43,202,0.73497075
org.openapitools.codegen.languages.JavaHelidonServerCodegen,JavaHelidonServerCodegen(),64,128,0.7315544
org.openapitools.codegen.languages.KotlinClientCodegen,KotlinClientCodegen(),149,264,0.7298943
org.openapitools.codegen.languages.RClientCodegen,RClientCodegen(),96,238,0.7213263
org.openapitools.codegen.languages.JavaCXFExtServerCodegen,"appendRandomDate(StringBuilder,CodegenOperation,CodegenVariable)",584,641,0.7121768
org.openapitools.codegen.languages.SpringCodegen,processOpts(),327,736,0.70536834
org.openapitools.codegen.languages.JavaInflectorServerCodegen,JavaInflectorServerCodegen(),46,77,0.70526934
org.openapitools.codegen.languages.ScalaCaskServerCodegen,processOpts(),154,223,0.70505345
org.openapitools.codegen.languages.JavaCXFClientCodegen,JavaCXFClientCodegen(),60,98,0.7002373
org.openapitools.codegen.languages.GroovyClientCodegen,GroovyClientCodegen(),42,103,0.69532484
org.openapitools.codegen.config.CodegenConfigurator,toContext(),641,741,0.68890744
org.openapitools.codegen.languages.JavaClientCodegen,JavaClientCodegen(),177,271,0.68275476
org.openapitools.codegen.DefaultCodegen,"fromProperty(String,Schema,boolean,boolean)",3954,4268,0.673546
org.openapitools.codegen.OpenAPINormalizer,"processNormalize31Spec(Schema,Set<Schema>)",1192,1289,0.66619545
org.openapitools.codegen.languages.JavaHelidonClientCodegen,JavaHelidonClientCodegen(),77,136,0.66168845
org.openapitools.codegen.languages.JavaJAXRSSpecServerCodegen,processOpts(),125,263,0.66037303
org.openapitools.codegen.languages.ScalaLagomServerCodegen,ScalaLagomServerCodegen(),44,127,0.65591246
org.openapitools.codegen.languages.ScalaHttp4sServerCodegen,ScalaHttp4sServerCodegen(),43,198,0.6558352
org.openapitools.codegen.languages.JavaHelidonServerCodegen,processOpts(),130,268,0.6511866
org.openapitools.codegen.languages.JavaUndertowServerCodegen,JavaUndertowServerCodegen(),46,83,0.65054893
org.openapitools.codegen.languages.K6ClientCodegen,preprocessOpenAPI(OpenAPI),424,686,0.641415
org.openapitools.codegen.languages.JavaMicronautAbstractCodegen,processOpts(),200,395,0.6395638
org.openapitools.codegen.languages.JavaCXFExtServerCodegen,"appendScalarValue(StringBuilder,String,CodegenOperation,CodegenVariable,String,Collection<String>,Map<String,CodegenModel>)",802,874,0.6384775
org.openapitools.codegen.languages.ScalaCaskServerCodegen,ScalaCaskServerCodegen(),60,124,0.63459766
org.openapitools.codegen.languages.StaticDocCodegen,StaticDocCodegen(),33,86,0.6344506
org.openapitools.codegen.languages.ScalaSttp4ClientCodegen,ScalaSttp4ClientCodegen(),68,153,0.63316464
org.openapitools.codegen.languages.ScalaSttpClientCodegen,ScalaSttpClientCodegen(),84,169,0.63316464
org.openapitools.codegen.utils.ModelUtils,"syncValidationProperties(Schema,IJsonSchemaValidationProperties)",1804,1890,0.6305677
org.openapitools.codegen.CodegenProperty,equals(Object),1262,1376,0.6287471
org.openapitools.codegen.languages.CrystalClientCodegen,CrystalClientCodegen(),78,213,0.62194663
org.openapitools.codegen.languages.TypeScriptFetchClientCodegen.ExtendedCodegenProperty,ExtendedCodegenProperty(CodegenProperty),1165,1255,0.6199037
org.openapitools.codegen.languages.AbstractPythonConnexionServerCodegen,"postProcessSupportingFileData(Map<String,Object>)",519,601,0.61812085
org.openapitools.codegen.DefaultCodegen,"fromRequestBodyToFormParameters(RequestBody,Set<String>)",7121,7182,0.61804485
