File,Signature,StartLine,EndLine,Suspiciousness
org.apache.dubbo.config.MetadataReportConfig,toUrl(),142,161,1.0
org.apache.dubbo.common.utils.ExecutorUtil,"gracefulShutdown(Executor,int)",49,79,0.7040356
org.apache.dubbo.common.BaseServiceMetadata,revertDisplayServiceKey(String),88,105,0.66843504
org.apache.dubbo.config.nested.PrometheusConfig.Exporter,setEnableHttpServiceDiscovery(Boolean),90,92,0.6684231
org.apache.dubbo.config.nested.PrometheusConfig.Exporter,setHttpServiceDiscoveryUrl(String),98,100,0.6665068
org.apache.dubbo.common.utils.DefaultSerializeClassChecker,"loadClass0(ClassLoader,String)",118,199,0.6589341
org.apache.dubbo.common.utils.ConcurrentHashMapUtils,"computeIfAbsent(ConcurrentMap<K,V>,K,Function<? super K,? extends V>)",28,58,0.6561295
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,loadClass(),46,58,0.6192018
org.apache.dubbo.common.utils.UrlUtils,"getEmptyUrl(String,String)",367,384,0.60851777
org.apache.dubbo.common.utils.UrlUtils,"convertSubscribe(Map<String,String>)",221,247,0.60384804
org.apache.dubbo.rpc.support.GroupServiceKeyCache,"getServiceKey(String,String,int)",36,56,0.5922961
org.apache.dubbo.common.utils.UrlUtils,"convertRegister(Map<String,Map<String,String>>)",190,219,0.58788306
org.apache.dubbo.config.nested.PrometheusConfig.Exporter,getEnableHttpServiceDiscovery(),86,88,0.58696336
org.apache.dubbo.config.nested.PrometheusConfig.Exporter,getHttpServiceDiscoveryUrl(),94,96,0.5840145
org.apache.dubbo.common.Version,isSupportResponseAttachment(String),108,125,0.5747375
org.apache.dubbo.common.utils.UrlUtils,"revertNotify(Map<String,Map<String,String>>)",310,344,0.5722627
org.apache.dubbo.rpc.model.ModuleModel,"registerInternalConsumer(Class<?>,URL)",182,198,0.56122625
org.apache.dubbo.common.utils.UrlUtils,parseServiceKey(String),566,585,0.5575003
org.apache.dubbo.rpc.model.ServiceMetadata,"ServiceMetadata(String,String,String,Class<?>)",46,53,0.5569839
org.apache.dubbo.common.utils.UrlUtils,"isMatch(URL,URL)",398,442,0.5560976
org.apache.dubbo.rpc.support.GroupServiceKeyCache,"createServiceKey(String,String,int)",58,70,0.54914635
org.apache.dubbo.common.BaseServiceMetadata,interfaceFromServiceKey(String),68,74,0.5393962
org.apache.dubbo.rpc.model.FrameworkServiceRepository,keyWithoutGroup(String),107,114,0.53794956
org.apache.dubbo.common.threadpool.MemoryLimiter,acquireInterruptibly(Object),138,159,0.5263707
org.apache.dubbo.common.utils.DefaultSerializeClassChecker,"loadClass(ClassLoader,String)",97,116,0.52448744
org.apache.dubbo.rpc.model.ServiceModel,getServiceConfig(),91,105,0.5192554
org.apache.dubbo.common.threadpool.support.AbortPolicyWithReport,dumpJStack(),133,175,0.5177561
org.apache.dubbo.common.threadpool.MemoryLimiter,acquire(Object),110,136,0.51620793
org.apache.dubbo.common.url.component.DubboServiceAddressURL,"valueOf(String,URL,ServiceConfigURL)",37,40,0.5095372
org.apache.dubbo.common.URL,getDisplayServiceKey(),1283,1294,0.50699675
org.apache.dubbo.common.url.component.DubboServiceAddressURL,equals(Object),136,175,0.5045735
org.apache.dubbo.common.URL,getServiceKey(),1266,1281,0.5037392
org.apache.dubbo.rpc.model.ModuleServiceRepository,"registerService(String,Class<?>)",136,166,0.50155747
org.apache.dubbo.common.BaseServiceMetadata,getDisplayServiceKey(),76,86,0.4990638
org.apache.dubbo.common.utils.ExecutorUtil,"shutdownNow(Executor,int)",81,99,0.49843735
org.apache.dubbo.config.AbstractInterfaceConfig,initServiceMetadata(AbstractInterfaceConfig),868,873,0.49752787
org.apache.dubbo.common.BaseServiceMetadata,versionFromServiceKey(String),52,58,0.49442765
org.apache.dubbo.common.URL,getColonSeparatedKey(),1241,1252,0.4929858
org.apache.dubbo.config.ReferenceConfigBase,resolveFile(),301,333,0.49225992
org.apache.dubbo.rpc.support.ProtocolUtils,"serviceKey(int,String,String,String)",44,52,0.49117285
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,getGenericExceptionClass(),81,83,0.48996428
org.apache.dubbo.common.url.component.DubboServiceAddressURL,"DubboServiceAddressURL(URLAddress,URLParam,URL,ServiceConfigURL)",44,47,0.4896328
org.apache.dubbo.common.utils.UrlUtils,"revertSubscribe(Map<String,String>)",282,308,0.48699296
org.apache.dubbo.common.config.configcenter.file.FileSystemDynamicConfiguration,newWatchService(),596,608,0.4858283
org.apache.dubbo.common.threadpool.manager.DefaultExecutorRepository,getExecutorKey(URL),118,137,0.48358908
org.apache.dubbo.config.context.ModuleConfigManager,findDuplicatedInterfaceConfig(AbstractInterfaceConfig),217,263,0.4817735
org.apache.dubbo.rpc.executor.AbstractIsolationExecutorSupport,getExecutor(Object),39,58,0.4732511
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,newGenericException(),85,94,0.47234404
org.apache.dubbo.rpc.model.ModuleServiceRepository,"reRegisterProvider(String,String)",168,176,0.46973848
org.apache.dubbo.common.utils.UrlUtils,"revertRegister(Map<String,Map<String,String>>)",249,280,0.4694699
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,newGenericException(Throwable),119,128,0.4691237
org.apache.dubbo.common.utils.DefaultSerializeClassChecker,DefaultSerializeClassChecker(FrameworkModel),46,49,0.4670469
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,newGenericException(String),96,105,0.46009958
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,loadConstructor(Class<?>),60,70,0.45988092
org.apache.dubbo.common.utils.SerializeSecurityConfigurator,SerializeSecurityConfigurator(ModuleModel),61,73,0.4570832
org.apache.dubbo.common.BaseServiceMetadata,generateServiceKey(),118,120,0.45477825
org.apache.dubbo.rpc.model.ModuleServiceRepository,"registerProvider(String,Object,ServiceDescriptor,ServiceConfigBase<?>,ServiceMetadata)",87,105,0.45463926
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,"newGenericException(String,String)",107,117,0.45326057
org.apache.dubbo.common.Version,getIntVersion(String),127,145,0.45063552
org.apache.dubbo.common.ServiceKey,equals(Object),47,57,0.44963866
org.apache.dubbo.common.url.component.DubboServiceAddressURL,"newURL(URLAddress,URLParam)",49,52,0.44764444
org.apache.dubbo.common.URL,"buildKey(String,String,String)",1309,1311,0.4474774
org.apache.dubbo.common.threadpool.manager.FrameworkExecutorRepository,FrameworkExecutorRepository(),59,92,0.4440635
org.apache.dubbo.rpc.model.ApplicationModel,getProviderModel(String),111,117,0.44367006
org.apache.dubbo.common.compact.Dubbo2GenericExceptionUtils,"newGenericException(String,Throwable,String,String)",130,140,0.44214672
org.apache.dubbo.common.utils.SerializeSecurityConfigurator,addToAllow(String),284,301,0.43613172
org.apache.dubbo.rpc.executor.AbstractIsolationExecutorSupport,getProviderModel(Object),64,70,0.43244067
org.apache.dubbo.common.ServiceKey,"ServiceKey(String,String,String)",29,33,0.4317545
org.apache.dubbo.rpc.model.FrameworkModel,initialize(),82,100,0.4296353
org.apache.dubbo.rpc.model.ServiceRepository,initialize(),39,49,0.4246106
org.apache.dubbo.common.logger.support.FailsafeErrorTypeAwareLogger,"appendContextMessageWithInstructions(String,String,String,String)",43,48,0.4172022
org.apache.dubbo.common.ServiceKey.Matcher,"isMatch(ServiceKey,ServiceKey)",71,144,0.4141686
org.apache.dubbo.common.ServiceKey,toString(),64,67,0.41209236
org.apache.dubbo.common.ProtocolServiceKey,isSameWith(ProtocolServiceKey),40,58,0.40902844
org.apache.dubbo.common.utils.SerializeSecurityConfigurator,refreshConfig(),97,120,0.40708968
org.apache.dubbo.rpc.model.ApplicationModel,allProviderModels(),103,109,0.40434456
org.apache.dubbo.rpc.support.ProtocolUtils,serviceKey(URL),39,42,0.40231982
org.apache.dubbo.common.status.reporter.FrameworkStatusReportService,"createConsumptionReport(String,String,String,String)",81,90,0.40214118
org.apache.dubbo.common.ProtocolServiceKey,"ProtocolServiceKey(String,String,String,String)",27,30,0.39979228
