File,Signature,StartLine,EndLine,Suspiciousness
org.apache.rocketmq.store.queue.BatchConsumeQueue,searchTimeFromFiles(long),724,768,1.0
org.apache.rocketmq.tieredstore.file.FlatMessageFile,"getQueueOffsetByTimeAsync(long,BoundaryType)",284,345,0.9402643
org.apache.rocketmq.store.queue.BatchConsumeQueue,getOffsetInQueueByTime(long),660,722,0.91596204
org.apache.rocketmq.store.queue.RocksDBConsumeQueueStore,putMessagePosition0(),200,255,0.8617027
org.apache.rocketmq.broker.schedule.ScheduleMessageService.DeliverDelayedMessageTimerTask,executeOnTimeup(),420,508,0.80749595
org.apache.rocketmq.store.kv.CompactionLog,"getMessage(String,String,int,long,int,int)",448,583,0.80512655
org.apache.rocketmq.store.ConsumeQueue,getOffsetInQueueByTime(long),182,250,0.7818382
org.apache.rocketmq.store.ConsumeQueue,putMessagePositionInfoWrapper(DispatchRequest),427,475,0.7677184
org.apache.rocketmq.store.DefaultMessageStore,"getMessage(String,String,int,long,int,int,MessageFilter)",660,834,0.7664503
org.apache.rocketmq.store.DefaultMessageStore.CorrectLogicOffsetService,"needCorrect(ConsumeQueueInterface,long,long)",2179,2249,0.7589067
org.apache.rocketmq.store.queue.RocksDBConsumeQueueTable,"binarySearchInCQByTime(String,int,long,long,long,long,BoundaryType)",183,274,0.75122356
org.apache.rocketmq.store.queue.SparseConsumeQueue,"getMaxMsgOffset(MappedFile,boolean,boolean)",341,365,0.7508347
org.apache.rocketmq.store.kv.CompactionLog.CompactionAppendMessageCallback,"doAppend(ByteBuffer,long,int,ByteBuffer)",849,881,0.74962944
org.apache.rocketmq.store.queue.RocksDBConsumeQueueOffsetTable,"correctMinCqOffset(String,int,long,long)",529,563,0.73350364
org.apache.rocketmq.store.index.IndexService,"queryOffset(String,String,int,long,long)",166,204,0.7188008
org.apache.rocketmq.store.queue.BatchConsumeQueue,putMessagePositionInfoWrapper(DispatchRequest),447,480,0.71783215
org.apache.rocketmq.store.queue.RocksDBConsumeQueueOffsetTable,"correctMaxCqOffset(String,int,long,long)",493,527,0.7050983
org.apache.rocketmq.store.queue.RocksDBConsumeQueueOffsetTable,"updateCqOffset(String,int,long,long,boolean)",461,491,0.6972608
org.apache.rocketmq.tieredstore.core.MessageStoreFetcherImpl,"getMessageFromTieredStoreAsync(FlatMessageFile,long,int)",185,289,0.668068
org.apache.rocketmq.store.queue.RocksDBConsumeQueueStore,"getOffsetInQueueByTime(String,int,long,BoundaryType)",370,380,0.6577653
org.apache.rocketmq.store.queue.SparseConsumeQueue,"getMax(MappedFile,Function<ByteBuffer,T>)",318,339,0.6401995
org.apache.rocketmq.store.timer.TimerMessageStore,enqueue(int),642,722,0.63575774
org.apache.rocketmq.store.queue.RocksDBConsumeQueueOffsetTable,"destroyOffset(String,int,WriteBatch)",169,194,0.62755865
org.apache.rocketmq.store.queue.BatchConsumeQueue,truncateDirtyLogicFiles(long),318,386,0.6251612
org.apache.rocketmq.store.queue.BatchConsumeQueue,correctMinOffset(long),401,445,0.62391925
org.apache.rocketmq.store.DefaultMessageStore,"getMessageIds(String,int,long,long,SocketAddress)",1252,1298,0.6221562
org.apache.rocketmq.store.queue.SparseConsumeQueue,getBatchMsgIndexOrNextBuffer(long),121,161,0.6212203
org.apache.rocketmq.store.queue.BatchConsumeQueue,getBatchMsgIndexBuffer(long),576,642,0.61554986
org.apache.rocketmq.store.queue.RocksDBConsumeQueueTable,"buildAndPutCQByteBuffer(Pair<ByteBuffer,ByteBuffer>,byte[],DispatchRequest,WriteBatch)",108,117,0.6124095
org.apache.rocketmq.tieredstore.core.MessageStoreDispatcherImpl,"doScheduleDispatch(FlatFileInterface,boolean)",108,262,0.6111269
org.apache.rocketmq.store.CommitLog.DefaultAppendMessageCallback,"doAppend(long,ByteBuffer,int,MessageExtBatch,PutMessageContext)",1732,1824,0.61104286
org.apache.rocketmq.store.queue.ConsumeQueueStore,recoverOffsetTable(long),346,408,0.6103865
org.apache.rocketmq.tools.command.message.PrintMessageSubCommand,"execute(CommandLine,Options,RPCHook)",103,168,0.6036805
org.apache.rocketmq.tieredstore.index.IndexStoreFile,"queryAsyncFromSegmentFile(String,int,long,long)",314,384,0.6026498
org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl,checkConfig(),973,1158,0.5957878
