File,Signature,StartLine,EndLine,Suspiciousness
org.assertj.core.api.AbstractObjectArrayAssert,usingElementComparatorIgnoringFields(String),2272,2313,1.0
org.assertj.core.api.AtomicReferenceArrayAssert,usingElementComparatorIgnoringFields(String),2394,2436,1.0
org.assertj.core.api.AbstractIterableAssert,usingElementComparatorIgnoringFields(String),2711,2752,0.9981244
org.assertj.core.api.AbstractOptionalAssert,usingRecursiveComparison(),482,534,0.98532313
org.assertj.core.api.AbstractObjectArrayAssert,usingRecursiveFieldByFieldElementComparatorIgnoringFields(String),2315,2362,0.9631156
org.assertj.core.api.AbstractIterableAssert,usingRecursiveFieldByFieldElementComparatorIgnoringFields(String),2754,2801,0.9631156
org.assertj.core.api.AtomicReferenceArrayAssert,usingRecursiveFieldByFieldElementComparatorIgnoringFields(String),2438,2485,0.9631156
org.assertj.core.api.AbstractIterableAssert,usingElementComparatorOnFields(String),2614,2655,0.9507726
org.assertj.core.api.AbstractObjectArrayAssert,usingElementComparatorOnFields(String),2180,2221,0.9506409
org.assertj.core.api.AtomicReferenceArrayAssert,usingElementComparatorOnFields(String),2302,2343,0.9506409
org.assertj.core.api.AbstractObjectArrayAssert,usingRecursiveComparison(),3863,3927,0.94448036
org.assertj.core.api.AbstractMapAssert,usingRecursiveComparison(),1958,2022,0.94060045
org.assertj.core.api.AbstractObjectArrayAssert,usingRecursiveFieldByFieldElementComparatorOnFields(String),2223,2270,0.92374694
org.assertj.core.api.AbstractIterableAssert,usingRecursiveFieldByFieldElementComparatorOnFields(String),2657,2704,0.92374694
org.assertj.core.api.AbstractObjectAssert,usingRecursiveComparison(),1123,1191,0.9225297
org.assertj.core.api.AtomicReferenceArrayAssert,usingRecursiveFieldByFieldElementComparatorOnFields(String),2345,2392,0.90992457
org.assertj.core.util.Throwables,removeAssertJRelatedElementsFromStackTrace(Throwable),95,143,0.86903876
org.assertj.core.internal.Failures,removeAssertJRelatedElementsFromStackTraceIfNeeded(AssertionError),186,221,0.8690322
org.assertj.core.api.AbstractIterableAssert,usingRecursiveComparison(),2516,2596,0.8639859
org.assertj.core.api.AbstractObjectArrayAssert,usingFieldByFieldElementComparator(),1967,2004,0.77966577
org.assertj.core.api.AbstractIterableAssert,usingFieldByFieldElementComparator(),2290,2327,0.77966577
org.assertj.core.api.AtomicReferenceArrayAssert,usingFieldByFieldElementComparator(),2093,2131,0.77966577
org.assertj.core.api.AbstractIterableAssert,usingRecursiveFieldByFieldElementComparator(RecursiveComparisonConfiguration),2412,2514,0.77806973
org.assertj.core.api.AbstractInputStreamAssert,"hasDigest(String,String)",309,338,0.7770956
