File,Signature,StartLine,EndLine,Suspiciousness
com.puppycrawl.tools.checkstyle.Main,"runCheckstyle(CliOptions,List<File>)",344,422,1.0
com.puppycrawl.tools.checkstyle.CliOptions,"validateCli(ParseResult,List<File>)",812,866,0.8415341
com.puppycrawl.tools.checkstyle.meta.XmlMetaWriter,"writeToFile(Document,ModuleDetails)",146,191,0.83179474
com.puppycrawl.tools.checkstyle.Main,"runCli(CliOptions,List<File>)",270,342,0.80737627
com.puppycrawl.tools.checkstyle.XpathFileGeneratorAuditListener,printXmlHeader(),129,143,0.7717057
com.puppycrawl.tools.checkstyle.PackageObjectFactory,fillChecksFromModifierPackage(),712,724,0.76564354
com.puppycrawl.tools.checkstyle.site.SiteUtil,"processModule(String,File)",655,693,0.75590956
com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheck,setViolateExecutionOnNonTightHtml(boolean),162,172,0.7431244
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask,"processFiles(RootModule,SeverityLevelCounter,String)",318,369,0.72917026
com.puppycrawl.tools.checkstyle.meta.MetadataGeneratorUtil,"generate(String,OutputStream,String)",49,79,0.7227831
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(InputSource,PropertyResolver,IgnoredModulesOptions,ThreadModeSettings)",290,326,0.70893264
com.puppycrawl.tools.checkstyle.Main,main(String),98,157,0.7039036
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(String,PropertyResolver,IgnoredModulesOptions)",229,245,0.67342097
com.puppycrawl.tools.checkstyle.JavadocPropertiesGenerator,"iteratePublicStaticIntFields(DetailAST,Consumer<String>)",120,140,0.67047805
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(String,PropertyResolver)",200,211,0.66181165
com.puppycrawl.tools.checkstyle.Main,"execute(ParseResult,CliOptions)",168,198,0.6610362
com.puppycrawl.tools.checkstyle.AbstractAutomaticBean,configure(Configuration),179,211,0.6553976
com.puppycrawl.tools.checkstyle.api.AutomaticBean,configure(Configuration),171,203,0.6553976
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(InputSource,PropertyResolver,IgnoredModulesOptions)",270,288,0.65125644
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(String,PropertyResolver,IgnoredModulesOptions,ThreadModeSettings)",247,268,0.6500414
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"loadConfiguration(String,PropertyResolver,ThreadModeSettings)",213,227,0.6443477
com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser.ParseStatus,isNonTight(),693,703,0.63615435
com.puppycrawl.tools.checkstyle.meta.XmlMetaReader,readAllModulesIncludingThirdPartyIfAny(String),60,111,0.6234013
com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheck,acceptJavadocWithNonTightHtml(),147,160,0.6183454
com.puppycrawl.tools.checkstyle.ConfigurationLoader.InternalLoader,"endElement(String,String,String)",562,597,0.61356944
com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser.ParseStatus,getFirstNonTightHtmlTag(),705,715,0.603985
com.puppycrawl.tools.checkstyle.site.SiteUtil,"getDefaultValue(String,Field,Object,String)",919,997,0.60325754
com.puppycrawl.tools.checkstyle.JavadocPropertiesGenerator,writePropertiesFile(CliOptions),99,118,0.5997885
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"replaceProperties(String,PropertyResolver,String)",328,379,0.5708936
com.puppycrawl.tools.checkstyle.JavadocPropertiesGenerator,main(String),75,97,0.56542915
com.puppycrawl.tools.checkstyle.ConfigurationLoader.InternalLoader,"startElement(String,String,String,Attributes)",498,560,0.557193
com.puppycrawl.tools.checkstyle.XmlLoader.LoadExternalDtdFeatureProvider,setFeaturesBySystemProperty(SAXParserFactory),157,176,0.5523411
com.puppycrawl.tools.checkstyle.utils.CommonUtil,"startsWithChar(String,char)",275,294,0.54146427
com.puppycrawl.tools.checkstyle.utils.CommonUtil,getResourceFromClassPath(String),445,474,0.5410389
com.puppycrawl.tools.checkstyle.utils.CommonUtil,"endsWithChar(String,char)",296,315,0.5376201
com.puppycrawl.tools.checkstyle.meta.MetadataGeneratorUtil,"dumpMetadata(RootModule,String,String)",81,109,0.5374128
com.puppycrawl.tools.checkstyle.utils.XpathUtil,"printXpathBranch(String,File)",175,200,0.5347266
com.puppycrawl.tools.checkstyle.site.SiteUtil,getCheckMessageKeys(Class<?>),358,408,0.51907706
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask,createRootModule(),371,409,0.5190693
com.puppycrawl.tools.checkstyle.checks.TranslationCheck,setBaseName(Pattern),291,301,0.5153276
com.puppycrawl.tools.checkstyle.SarifLogger,"SarifLogger(OutputStream,OutputStreamOptions)",103,128,0.5125549
com.puppycrawl.tools.checkstyle.filters.SuppressionsLoader,"getSuppressionLoader(InputSource,String)",270,302,0.5092197
com.puppycrawl.tools.checkstyle.site.PropertiesMacro,"execute(Sink,MacroRequest)",117,129,0.50447536
com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocPackageCheck,"processFiltered(File,FileText)",115,141,0.5009444
com.puppycrawl.tools.checkstyle.PropertyCacheFile,load(),113,137,0.4926778
com.puppycrawl.tools.checkstyle.Checker,processFiles(List<File>),269,318,0.48064432
com.puppycrawl.tools.checkstyle.PackageNamesLoader,getPackageNames(ClassLoader),130,164,0.47879195
com.puppycrawl.tools.checkstyle.gui.MainFrameModel,openFile(File),192,242,0.47796473
com.puppycrawl.tools.checkstyle.checks.modifier.ClassMemberImpliedModifierCheck,visitToken(DetailAST),210,237,0.47724867
com.puppycrawl.tools.checkstyle.Main,loadProperties(File),424,448,0.47641212
com.puppycrawl.tools.checkstyle.AbstractAutomaticBean,setupChild(Configuration),284,303,0.474826
com.puppycrawl.tools.checkstyle.api.AutomaticBean,setupChild(Configuration),276,295,0.474826
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processField(DetailAST),415,434,0.4744738
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask,realExecute(String),289,316,0.47106028
"com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.printFileAst(File,JavaParser",Options),54,66,0.46934417
com.puppycrawl.tools.checkstyle.JavaParser,parse(FileContents),75,109,0.4666635
com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck,processAST(DetailAST),722,739,0.46150947
com.puppycrawl.tools.checkstyle.ConfigurationLoader,"parsePropertyString(String,Collection<String>,Collection<String>)",381,453,0.4612319
com.puppycrawl.tools.checkstyle.TreeWalker,setupChild(Configuration),107,146,0.45882007
com.puppycrawl.tools.checkstyle.CliOptions,validateOptionalCliParametersIfConfigDefined(),868,880,0.4585152
com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck,"matchesComment(Pattern,int)",512,529,0.45737955
com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck,"hasEmptyLine(int,int)",861,884,0.454253
com.puppycrawl.tools.checkstyle.SuppressionsStringPrinter,"printSuppressions(File,String,int)",54,83,0.45314533
com.puppycrawl.tools.checkstyle.site.ExampleMacro,"execute(Sink,MacroRequest)",69,115,0.45214355
com.puppycrawl.tools.checkstyle.AbstractAutomaticBean,"tryCopyProperty(String,Object,boolean)",213,256,0.4516418
com.puppycrawl.tools.checkstyle.api.AutomaticBean,"tryCopyProperty(String,Object,boolean)",205,248,0.4516418
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask,execute(),260,287,0.45069718
com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.ClassFrame,hasFinalField(DetailAST),1542,1564,0.4506398
com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck,setMemberModifiers(String),849,858,0.4494645
com.puppycrawl.tools.checkstyle.meta.XmlMetaWriter,write(ModuleDetails),65,110,0.44632816
com.puppycrawl.tools.checkstyle.JavaParser,"parseFile(File,Options)",129,143,0.44546902
com.puppycrawl.tools.checkstyle.utils.ModuleReflectionUtil,isCheckstyleModule(Class<?>),67,80,0.44527474
com.puppycrawl.tools.checkstyle.AstTreeStringPrinter,printJavaAndJavadocTree(File),68,80,0.4446409
com.puppycrawl.tools.checkstyle.checks.modifier.ClassMemberImpliedModifierCheck,setViolateImpliedStaticOnNestedRecord(boolean),180,189,0.4445461
com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck,getEmptyLines(DetailAST),589,614,0.4412294
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processNestedType(DetailAST),436,451,0.4398235
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processMethod(DetailAST),394,413,0.43534884
com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheck,findMatch(),628,655,0.43532068
com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader,"load(InputSource,URI)",258,280,0.4346639
com.puppycrawl.tools.checkstyle.site.SiteUtil,getXdocsTemplatesFilePaths(),496,516,0.43441024
com.puppycrawl.tools.checkstyle.checks.imports.UnusedImportsCheck,collectReferencesFromJavadoc(DetailAST),322,336,0.43396977
com.puppycrawl.tools.checkstyle.meta.XmlMetaReader,"read(InputStream,ModuleType)",113,141,0.42829245
com.puppycrawl.tools.checkstyle.checks.indentation.MethodDefHandler,getMethodDefLineStart(DetailAST),72,106,0.4278897
com.puppycrawl.tools.checkstyle.checks.modifier.ClassMemberImpliedModifierCheck,setViolateImpliedStaticOnNestedEnum(boolean),158,167,0.4257926
com.puppycrawl.tools.checkstyle.checks.modifier.ClassMemberImpliedModifierCheck,setViolateImpliedStaticOnNestedInterface(boolean),169,178,0.4257926
com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck,shouldCheckInScope(DetailAST),77,97,0.4215588
com.puppycrawl.tools.checkstyle.site.ViolationMessagesMacro,"execute(Sink,MacroRequest)",37,48,0.41544062
com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheck,"isIgnore(int,FileText,LineColumn)",668,696,0.41391525
com.puppycrawl.tools.checkstyle.Checker,setupChild(Configuration),458,504,0.41222957
com.puppycrawl.tools.checkstyle.TreeWalker,registerCheck(AbstractCheck),197,237,0.4120897
com.puppycrawl.tools.checkstyle.checks.header.AbstractHeaderCheck,setHeaderFile(URI),90,104,0.41154823
com.puppycrawl.tools.checkstyle.utils.CommonUtil,getCheckstyleResource(String),476,486,0.41048983
com.puppycrawl.tools.checkstyle.PropertyCacheFile,"PropertyCacheFile(Configuration,String)",95,111,0.40984523
com.puppycrawl.tools.checkstyle.utils.JavadocUtil,isCorrectJavadocPosition(DetailAST),368,406,0.4066035
com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck,isVerifiable(DetailAST),488,503,0.4059875
com.puppycrawl.tools.checkstyle.ConfigurationLoader,createIdToResourceNameMap(),163,181,0.40164295
com.puppycrawl.tools.checkstyle.site.ExampleMacro,getConfigSnippet(Collection<String>),135,149,0.39994204
com.puppycrawl.tools.checkstyle.Checker,finishLocalSetup(),431,456,0.3992514
com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck,"isFromPackage(String,String)",173,187,0.3960491
com.puppycrawl.tools.checkstyle.Checker,processFile(File),320,363,0.3948692
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicField(boolean),275,284,0.39011833
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedStaticField(boolean),286,295,0.39011833
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedFinalField(boolean),297,306,0.39011833
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicMethod(boolean),308,317,0.39011833
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedAbstractMethod(boolean),319,328,0.39011833
com.puppycrawl.tools.checkstyle.site.ParentModuleMacro,"execute(Sink,MacroRequest)",39,49,0.3900299
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicNested(boolean),330,339,0.38954833
com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedStaticNested(boolean),341,350,0.38954833
