File,Signature,StartLine,EndLine,Suspiciousness
com.google.gson.Gson,getAdapter(TypeToken<T>),518,587,1.0
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,"write(JsonWriter,T)",43,71,0.9219644
com.google.gson.Gson,"toJsonTree(Object,Type)",695,717,0.8719396
com.google.gson.Gson,"toJson(Object,Type,Appendable)",792,819,0.8605999
com.google.gson.Gson,"toJson(Object,Type)",742,764,0.8560456
com.google.gson.internal.TroubleshootingGuide,createUrl(String),6,11,0.84144944
com.google.gson.Gson,Gson(),200,246,0.82247156
com.google.gson.Gson,"fromJson(JsonElement,Class<T>)",1251,1275,0.80360276
com.google.gson.reflect.TypeToken,"getParameterized(Type,Type)",327,392,0.7896358
com.google.gson.Gson,"fromJson(String,Class<T>)",959,986,0.7877087
com.google.gson.Gson,"fromJson(Reader,Class<T>)",1052,1079,0.7877087
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,"getBoundFields(Gson,TypeToken<?>,Class<?>,boolean,boolean)",236,318,0.74904096
com.google.gson.Gson,"getDelegateAdapter(TypeAdapterFactory,TypeToken<T>)",589,661,0.71276385
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,"create(Gson,TypeToken<T>)",105,133,0.6908578
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,"createBoundField(Gson,Field,Method,String,TypeToken<?>,boolean,boolean,boolean)",144,234,0.6801776
com.google.gson.reflect.TypeToken,"isAssignableFrom(Type,ParameterizedType,Map<String,Type>)",202,253,0.67614526
com.google.gson.Gson,"fromJson(JsonReader,TypeToken<T>)",1191,1249,0.6744594
com.google.gson.Gson,"toJson(Object,Type,JsonWriter)",821,855,0.6502567
com.google.gson.TypeAdapter,nullSafe(),150,207,0.6445906
com.google.gson.internal.bind.MapTypeAdapterFactory,"create(Gson,TypeToken<T>)",115,133,0.6263502
com.google.gson.GsonBuilder,enableComplexMapKeySerialization(),236,319,0.62112075
com.google.gson.internal.reflect.ReflectionHelper,getInaccessibleTroubleshootingSuffix(Exception),44,53,0.60683364
com.google.gson.reflect.TypeToken,getTypeTokenTypeArgument(),86,109,0.6052203
com.google.gson.GsonBuilder,"registerTypeAdapter(Type,Object)",620,662,0.60026926
com.google.gson.internal.bind.util.ISO8601Utils,"parse(String,ParsePosition)",134,298,0.58431125
com.google.gson.Gson,toJsonTree(Object),673,693,0.56723267
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,"getTypeAdapter(ConstructorConstructor,Gson,TypeToken<?>,JsonAdapter)",52,89,0.5663947
com.google.gson.stream.JsonReader,nextLong(),933,986,0.5631916
