File,Signature,StartLine,EndLine,Suspiciousness
brut.androlib.apk.ApkInfo,mapSdkShorthandToVersion(String),171,201,1.0
brut.androlib.res.decoder.ARSCDecoder,readTablePackage(),89,153,0.9752116
brut.androlib.AaptInvoker,"invokeAapt1(File,File,File,File,File,File[],List<String>,boolean)",248,361,0.24087428
brut.androlib.res.AndrolibResources,"aapt1Package(File,File,File,File,File,File[],List<String>,boolean)",525,639,0.24087428
brut.androlib.res.ResourcesDecoder,decodeManifest(File),71,114,0.24087428
brut.androlib.res.Framework,"installFramework(File,String)",51,109,0.24087428
brut.androlib.res.xml.ResXmlPatcher,fixingPublicAttrsInProviderAttributes(File),166,223,0.18340662
brut.androlib.res.decoder.XmlPullStreamDecoder,"decode(InputStream,OutputStream)",42,147,0.15779479
brut.androlib.res.decoder.AXmlResourceParser,getNonDefaultNamespaceUri(int),304,317,0.15779479
brut.androlib.res.decoder.Res9patchStreamDecoder,"decode(InputStream,OutputStream)",35,123,0.15779479
brut.androlib.res.data.value.ResScalarValue,"serializeToResValuesXml(XmlSerializer,ResResource)",67,112,0.15779479
brut.androlib.res.ResourcesDecoder,updateApkInfo(File),116,118,0.14365415
brut.androlib.res.xml.ResXmlPatcher,"renameManifestPackage(File,String)",339,360,0.14365415
brut.androlib.apk.YamlReader,"readObject(T,Checker,Updater<T>)",124,158,0.14365415
brut.androlib.apk.YamlReader,"readList(List<T>,Updater<List<T>>)",166,196,0.14365415
brut.androlib.res.AndrolibResources,"getMinSdkVersionFromAndroidCodename(MetaInfo,String)",673,680,0.1367901
brut.androlib.res.decoder.ARSCDecoder,readComplexEntry(),376,396,0.1367901
brut.androlib.res.decoder.ARSCDecoder,readValue(),398,407,0.1367901
brut.androlib.res.decoder.ARSCDecoder,"unpackLanguageOrRegion(byte,byte,char)",538,550,0.1367901
brut.androlib.res.xml.ResXmlPatcher,modNetworkSecurityConfig(File),128,164,0.1367901
brut.androlib.res.data.value.ResValueFactory,"factory(String,int)",70,81,0.1367901
brut.androlib.res.data.value.ResIntBasedValue,ResIntBasedValue(int),22,24,0.1367901
brut.androlib.apk.ApkInfo,getMinSdkVersionFromAndroidCodename(String),162,169,0.1367901
android.util.TypedValue,complexToFloat(int),223,238,0.1367901
brut.androlib.ApkBuilder,build(File),81,136,0.09722012
brut.androlib.ApkBuilder,"buildResources(ExtFile,UsesFramework)",236,242,0.09722012
brut.androlib.ApkBuilder,"buildResourcesFull(File,UsesFramework)",265,346,0.09722012
brut.androlib.ApkBuilder,"buildManifest(ExtFile,UsesFramework)",360,402,0.09722012
brut.androlib.ApkBuilder,parseUsesFramework(UsesFramework),563,582,0.09722012
brut.androlib.ApkDecoder,writeMetaFile(File),217,242,0.09722012
brut.androlib.AaptInvoker,"invokeAapt2(File,File,File,File,File,File[],List<String>,boolean)",78,246,0.09722012
brut.androlib.Config,setDefaultFrameworkDirectory(),84,100,0.09722012
brut.androlib.Config,getDefaultConfig(),134,138,0.09722012
brut.androlib.res.AndrolibResources,"loadFrameworkPkg(ResTable,int)",140,164,0.09722012
brut.androlib.res.AndrolibResources,"decodeManifest(ResTable,ExtFile,File)",166,190,0.09722012
brut.androlib.res.AndrolibResources,"aapt2Package(File,File,File,File,File,File[],List<String>,boolean)",359,523,0.09722012
brut.androlib.res.AndrolibResources,detectWhetherAppIsFramework(File),708,726,0.09722012
brut.androlib.res.AndrolibResources,close(),839,843,0.09722012
brut.androlib.res.Framework,Framework(Config),43,45,0.09722012
brut.androlib.res.Framework,installFramework(File),47,49,0.09722012
brut.androlib.res.Framework,listFrameworkDirectory(),111,123,0.09722012
brut.androlib.res.Framework,getFrameworkDirectory(),154,198,0.09722012
brut.androlib.res.Framework,"getFrameworkApk(int,String)",200,228,0.09722012
brut.androlib.res.Framework,getAndroidFrameworkResourcesAsStream(),257,259,0.09722012
brut.androlib.res.data.ResTable,getPackage(int),82,91,0.09722012
brut.androlib.res.data.ResTable,isFrameworkApk(),222,229,0.09722012
brut.androlib.res.data.ResTable,"initMetaInfo(MetaInfo,File)",231,244,0.09722012
brut.androlib.res.data.ResTable,getUsesFramework(),246,260,0.09722012
brut.androlib.apk.ApkInfo,readItem(YamlReader),230,289,0.09722012
brut.androlib.apk.ApkInfo,write(YamlWriter),291,307,0.09722012
brut.androlib.meta.ClassSafeConstructor,ClassSafeConstructor(),32,40,0.09722012
brut.androlib.exceptions.CantFindFrameworkResException,CantFindFrameworkResException(int),20,22,0.09722012
brut.androlib.exceptions.CantFindFrameworkResException,getMessage(),28,31,0.09722012
brut.androlib.res.Framework,emptyFrameworkDirectory(),230,255,0.097220115
