File,Signature,StartLine,EndLine,Suspiciousness
org.jsoup.nodes.Entities,"escape(Appendable,String,OutputSettings,boolean,boolean,boolean,boolean)",167,255,1.0
org.jsoup.helper.W3CDom.W3CBuilder.head(org.jsoup.nodes,"Node,int)",355,395,0.960078
org.jsoup.parser.HtmlTreeBuilder,"inSpecificScope(String[],String[],String[])",583,600,0.81602055
org.jsoup.examples.HtmlToPlainText,main(String),34,54,0.7886657
org.jsoup.parser.HtmlTreeBuilder,resetInsertionMode(),485,565,0.7672858
org.jsoup.nodes.Element,selectXpath(String),526,546,0.73766124
org.jsoup.helper.DataUtil,"parseInputStream(InputStream,String,String,Parser)",139,239,0.72070855
org.jsoup.nodes.NodeUtils,"selectXpath(String,Element,Class<T>)",34,50,0.6856179
org.jsoup.helper.W3CDom.convert(org.jsoup.nodes,"Element,Document)",233,253,0.68112755
org.jsoup.Jsoup,"isValid(String,Safelist)",342,365,0.65204084
org.jsoup.Jsoup,connect(String),80,95,0.6504164
org.jsoup.Jsoup,newSession(),97,122,0.6393905
org.jsoup.parser.TokenQueue,consumeCssIdentifier(),349,356,0.619693
org.jsoup.helper.HttpConnection.Base,header(String),438,448,0.619693
org.jsoup.select.Elements,remove(),432,449,0.6073196
org.jsoup.Jsoup,"parse(InputStream,String,String,Parser)",203,218,0.5957764
org.jsoup.safety.Safelist,none(),74,97,0.5952275
org.jsoup.examples.Wikipedia,main(String[]),14,22,0.58477783
org.jsoup.helper.W3CDom.fromJsoup(org.jsoup.nodes,Element),185,218,0.5785513
org.jsoup.helper.W3CDom,namespaceAware(),69,76,0.5686892
org.jsoup.nodes.Document,Document(String),33,43,0.5677587
org.jsoup.helper.W3CDom.W3CBuilder,W3CBuilder(Document),348,353,0.5639924
org.jsoup.Jsoup,"parse(InputStream,String,String)",188,201,0.5631764
org.jsoup.helper.W3CDom.convert(org.jsoup.nodes,"Document,Document)",220,231,0.52833265
org.jsoup.safety.Cleaner,isValid(Document),64,93,0.5277845
org.jsoup.Jsoup,"parse(File,String,String,Parser)",171,186,0.5264946
org.jsoup.helper.W3CDom.fromJsoup(org.jsoup.nodes,Document),172,183,0.52358866
org.jsoup.parser.XmlTreeBuilder,"initialiseParse(Reader,String,Parser)",31,39,0.5192391
org.jsoup.nodes.Element,select(String),399,419,0.518653
org.jsoup.safety.Cleaner,isValidBodyHtml(String),95,124,0.5146563
