File,Signature,StartLine,EndLine,Suspiciousness
org.apache.seata.rm.AbstractRMHandler,handle(UndoLogDeleteRequest),73,80,1.0
io.seata.rm.AbstractRMHandler,handle(UndoLogDeleteRequest),73,80,1.0
io.seata.server.Server,start(String[]),43,88,0.7785616
org.apache.seata.server.Server,start(String[]),48,101,0.71337694
org.apache.seata.sqlparser.druid.BaseRecognizer,wrapSQLParsingException(SQLExpr),92,102,0.69145155
io.seata.sqlparser.druid.BaseRecognizer,wrapSQLParsingException(SQLExpr),92,102,0.69145155
org.apache.seata.spring.annotation.datasource.SeataAutoDataSourceProxyAdvice,invoke(MethodInvocation),43,67,0.65321785
io.seata.spring.annotation.datasource.SeataAutoDataSourceProxyAdvice,invoke(MethodInvocation),45,69,0.65321785
org.apache.seata.rm.datasource.util.XAUtils,"createXAConnection(Connection,Driver,String)",51,79,0.624092
io.seata.rm.datasource.util.XAUtils,"createXAConnection(Connection,Driver,String)",46,73,0.624092
org.apache.seata.server.ParameterParser,init(String[]),69,85,0.58447087
io.seata.server.ParameterParser,init(String[]),69,85,0.58447087
org.apache.seata.sqlparser.druid.postgresql.BasePostgresqlRecognizer,isSqlSyntaxSupports(),78,132,0.5366698
io.seata.sqlparser.druid.postgresql.BasePostgresqlRecognizer,isSqlSyntaxSupports(),79,133,0.5366698
org.apache.seata.sqlparser.druid.oracle.BaseOracleRecognizer,isSqlSyntaxSupports(),121,189,0.5301475
io.seata.sqlparser.druid.oracle.BaseOracleRecognizer,isSqlSyntaxSupports(),122,190,0.5301475
org.apache.seata.sqlparser.druid.BaseRecognizer,isSqlSyntaxSupports(),119,162,0.5292056
org.apache.seata.sqlparser.druid.sqlserver.BaseSqlServerRecognizer,isSqlSyntaxSupports(),109,152,0.5292056
io.seata.sqlparser.druid.BaseRecognizer,isSqlSyntaxSupports(),119,162,0.5292056
io.seata.saga.engine.invoker.impl.SpringBeanServiceInvoker,"findMethod(Class<?>,String,List<String>)",241,251,0.521455
org.apache.seata.saga.engine.invoker.impl.SpringBeanServiceInvoker,"findMethod(Class<?>,String,List<String>)",241,251,0.521455
org.apache.seata.spring.boot.autoconfigure.SeataHttpAutoConfiguration,jakartaSeataWebMvcConfigurer(),43,52,0.5161006
io.seata.spring.boot.autoconfigure.SeataHttpAutoConfiguration,jakartaSeataWebMvcConfigurer(),44,53,0.5161006
io.seata.integration.tx.api.interceptor.ActionInterceptorHandler,"fetchActionRequestContext(Method,Object[])",63,96,0.49650288
io.seata.saga.engine.impl.DefaultStateMachineConfig.setStateLogRepository(org.apache.seata.saga.engine.repo,StateLogRepository),255,257,0.49190128
io.seata.saga.engine.impl.DefaultStateMachineConfig,getStateMachineRepository(),120,153,0.46800193
org.apache.seata.console.controller.AuthController,"login(HttpServletResponse,User)",49,78,0.46021527
io.seata.console.controller.AuthController,"login(HttpServletResponse,User)",49,78,0.46021527
io.seata.integration.brpc.TransactionPropagationClientInterceptor,"aroundProcess(Request,Response,InterceptorChain)",39,69,0.45316878
org.apache.seata.common.loader.EnhancedServiceLoader,unload(Class<S>),253,271,0.45181397
io.seata.integration.http.DefaultHttpExecutor.DefaultHttpExecutor(org.apache.seata.integration.http,DefaultHttpExecutor),32,34,0.44975564
org.apache.seata.common.loader.EnhancedServiceLoader,load(Class<S>),88,107,0.44943994
org.apache.seata.common.loader.EnhancedServiceLoader,"load(Class<S>,ClassLoader)",66,86,0.44347772
org.apache.seata.server.ParameterParser,getEnvParameters(),97,110,0.44295898
io.seata.server.ParameterParser,getEnvParameters(),97,110,0.44295898
org.apache.seata.common.util.HttpClientUtil,"doGet(String,Map<String,String>,Map<String,String>,int)",111,135,0.43962914
org.apache.seata.common.loader.EnhancedServiceLoader,loadAll(Class<S>),204,222,0.43782517
org.apache.seata.common.loader.EnhancedServiceLoader,"load(Class<S>,String)",109,129,0.43768036
org.apache.seata.common.loader.EnhancedServiceLoader,"load(Class<S>,String,ClassLoader)",131,153,0.4320409
org.apache.seata.common.loader.EnhancedServiceLoader,"load(Class<S>,String,Object[])",155,177,0.42655262
org.apache.seata.common.loader.EnhancedServiceLoader,"unload(Class<S>,String)",273,298,0.4169521
org.apache.seata.common.loader.EnhancedServiceLoader,"load(Class<S>,String,Class<?>[],Object[])",179,202,0.41600507
org.apache.seata.server.ServerRunner,run(String),56,71,0.4085404
io.seata.saga.engine.impl.DefaultStateMachineConfig,getStateLogRepository(),219,253,0.40775883
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser.FunctionNameBaseContext,QUOTE(),62360,62360,0.40622234
io.seata.sqlparser.antlr.mysql.parser.MySqlParser.FunctionNameBaseContext,QUOTE(),62360,62360,0.40622234
org.apache.seata.common.loader.EnhancedServiceLoader,"loadAll(Class<S>,Class<?>[],Object[])",224,244,0.4007393
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser.SignalStatementContext,REVERSE_QUOTE_ID(),48183,48183,0.39997172
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser.ResignalStatementContext,REVERSE_QUOTE_ID(),48310,48310,0.39997172
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser.EngineNameContext,REVERSE_QUOTE_ID(),50997,50997,0.39997172
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser.UidContext,REVERSE_QUOTE_ID(),51365,51365,0.39997172
io.seata.sqlparser.antlr.mysql.parser.MySqlParser.SignalStatementContext,REVERSE_QUOTE_ID(),48183,48183,0.39997172
io.seata.sqlparser.antlr.mysql.parser.MySqlParser.ResignalStatementContext,REVERSE_QUOTE_ID(),48310,48310,0.39997172
io.seata.sqlparser.antlr.mysql.parser.MySqlParser.EngineNameContext,REVERSE_QUOTE_ID(),50997,50997,0.39997172
io.seata.sqlparser.antlr.mysql.parser.MySqlParser.UidContext,REVERSE_QUOTE_ID(),51365,51365,0.39997172
org.apache.seata.spring.util.SpringProxyUtils,findTargetClass(Object),40,60,0.39991066
io.seata.spring.util.SpringProxyUtils,findTargetClass(Object),40,60,0.39991066
io.seata.core.exception.AbstractExceptionHandler,"exceptionHandleTemplate(Callback<T,S>,T,S)",120,148,0.3963251
org.apache.seata.core.exception.AbstractExceptionHandler,"exceptionHandleTemplate(Callback<T,S>,T,S)",116,144,0.39121
org.apache.seata.common.loader.EnhancedServiceLoader,getCompatibleService(Class<S>),56,65,0.39080337
io.seata.config.ConfigurationFactory,load(),51,78,0.3843164
org.apache.seata.server.console.impl.redis.GlobalLockRedisServiceImpl,query(GlobalLockParam),49,70,0.37856668
io.seata.server.console.impl.redis.GlobalLockRedisServiceImpl,query(GlobalLockParam),50,71,0.37856668
io.seata.rm.tcc.resource.parser.TccRegisterResourceParser,"getTwoPhaseArgs(Method,Class<?>[])",65,90,0.37623978
org.apache.seata.rm.tcc.resource.parser.TccRegisterResourceParser,"getTwoPhaseArgs(Method,Class<?>[])",85,109,0.37623978
io.seata.rm.tcc.remoting.parser.DefaultRemotingParser,"getTwoPhaseArgs(Method,Class<?>[])",215,239,0.37623978
org.apache.seata.common.exception.SeataRuntimeException,buildSQLMessage(Throwable),55,63,0.37318677
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser,functionParameter(),6917,6938,0.3708313
io.seata.sqlparser.antlr.mysql.parser.MySqlParser,functionParameter(),6917,6938,0.3708313
io.seata.integration.tx.api.interceptor.ActionContextUtil,fetchContextFromObject(Object),43,51,0.37017646
org.apache.seata.common.util.ReflectionUtil,"invokeStaticMethod(Class<?>,String,Class<?>[],Object)",603,632,0.3671521
io.seata.common.util.ReflectionUtil,"invokeStaticMethod(Class<?>,String,Class<?>[],Object)",564,593,0.3671521
org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser,procedureParameter(),6848,6889,0.36503887
io.seata.sqlparser.antlr.mysql.parser.MySqlParser,procedureParameter(),6848,6889,0.36503887
org.apache.seata.spring.annotation.GlobalTransactionScanner,"computePositionIfHasTransactionInterceptor(AdvisedSupport,Advisor,SeataInterceptorPosition,int)",383,429,0.36337692
io.seata.spring.annotation.GlobalTransactionScanner,"computePositionIfHasTransactionInterceptor(AdvisedSupport,Advisor,SeataInterceptorPosition,int)",386,432,0.36337692
org.apache.seata.spring.annotation.GlobalTransactionScanner,"findAddSeataAdvisorPosition(AdvisedSupport,Advisor)",349,381,0.36318782
io.seata.spring.annotation.GlobalTransactionScanner,"findAddSeataAdvisorPosition(AdvisedSupport,Advisor)",352,384,0.36318782
org.apache.seata.spring.annotation.GlobalTransactionScanner,getSeataInterceptorPosition(Advisor),445,452,0.36217144
io.seata.spring.annotation.GlobalTransactionScanner,getSeataInterceptorPosition(Advisor),448,455,0.36217144
org.apache.seata.common.util.ReflectionUtil,"getMethod(Class<?>,String,Class<?>)",410,453,0.3607855
io.seata.common.util.ReflectionUtil,"getMethod(Class<?>,String,Class<?>)",371,414,0.3607855
org.apache.seata.integration.tx.api.interceptor.ActionInterceptorHandler,"fetchActionRequestContext(Method,Object[])",242,274,0.3589735
io.seata.rm.tcc.interceptor.ActionInterceptorHandler,"fetchActionRequestContext(Method,Object[])",245,277,0.3589735
org.apache.seata.config.ConfigurationFactory,initOriginConfiguraction(),76,91,0.35458785
org.apache.seata.spring.boot.autoconfigure.SeataDataSourceAutoConfiguration,seataAutoDataSourceProxyCreator(SeataProperties),43,51,0.35458785
io.seata.spring.boot.autoconfigure.SeataDataSourceAutoConfiguration,seataAutoDataSourceProxyCreator(SeataProperties),43,51,0.35458785
io.seata.saga.engine.impl.ProcessCtrlStateMachineEngine,wrapCallback(AsyncCallback),53,70,0.3500701
org.apache.seata.common.util.ReflectionUtil,"invokeMethod(Object,String,Class<?>[],Object)",523,548,0.34916428
io.seata.common.util.ReflectionUtil,"invokeMethod(Object,String,Class<?>[],Object)",484,509,0.34916428
io.seata.rm.datasource.undo.AbstractUndoLogManager,"undo(DataSourceProxy,String,long)",248,391,0.34793705
org.apache.seata.rm.datasource.AbstractPreparedStatementProxy,clearParameters(),212,216,0.3461166
io.seata.rm.datasource.AbstractPreparedStatementProxy,clearParameters(),212,216,0.3461166
io.seata.common.loader.EnhancedServiceLoader.InnerEnhancedServiceLoader,"loadExtension(String,ClassLoader,Class[],Object[])",411,430,0.34569797
io.seata.tm.api.DefaultGlobalTransaction,getStatus(),130,137,0.34522074
org.apache.seata.rm.datasource.AbstractPreparedStatementProxy,getParameterMetaData(),300,303,0.34385225
org.apache.seata.rm.datasource.xa.PreparedStatementProxyXA,getParameterMetaData(),256,259,0.34385225
io.seata.rm.datasource.AbstractPreparedStatementProxy,getParameterMetaData(),300,303,0.34385225
