File,Signature,StartLine,EndLine,Suspiciousness
retrofit2.RequestFactory.Builder,"parseParameterAnnotation(int,Type,Annotation[],Annotation)",357,810,1.0
retrofit2.ParameterHandler.HeaderMap,"apply(RequestBuilder,Map<String,T>)",218,236,0.72306514
retrofit2.ParameterHandler.PartMap,"apply(RequestBuilder,Map<String,T>)",382,408,0.72306514
retrofit2.Converter.Factory,"stringConverter(Type,Annotation[],Retrofit)",71,81,0.62456167
retrofit2.Retrofit,create(Class<T>),97,169,0.6201498
retrofit2.CallAdapter.Factory,"getParameterUpperBound(int,ParameterizedType)",71,77,0.55172014
retrofit2.Converter.Factory,"getParameterUpperBound(int,ParameterizedType)",83,89,0.55172014
retrofit2.ParameterHandler.HeaderMap,"HeaderMap(Method,int,Converter<T,String>)",212,216,0.547989
retrofit2.Converter.Factory,"requestBodyConverter(Type,Annotation[],Annotation[],Retrofit)",58,69,0.53822404
retrofit2.RequestFactory,create(Object[]),96,133,0.51708704
retrofit2.ParameterHandler.QueryMap,"apply(RequestBuilder,Map<String,T>)",171,204,0.500714
retrofit2.ParameterHandler.FieldMap,"apply(RequestBuilder,Map<String,T>)",292,325,0.500714
retrofit2.RequestBuilder,get(),231,269,0.49531582
retrofit2.RequestFactory,RequestFactory(Builder),82,94,0.4915206
"retrofit2.ParameterHandler.Headers.apply(RequestBuilder,okhttp3",Headers),248,254,0.4132735
retrofit2.ParameterHandler.Part,"apply(RequestBuilder,T)",341,352,0.4132735
retrofit2.HttpServiceMethod,"parseAnnotations(Retrofit,Method,RequestFactory)",32,114,0.41197053
retrofit2.RequestFactory.Builder,"parseParameter(int,Type,Annotation[],boolean)",319,355,0.37332717
retrofit2.BuiltInConverters,"requestBodyConverter(Type,Annotation[],Annotation[],Retrofit)",46,56,0.35702145
retrofit2.RequestFactory.Builder,parseHeaders(String[]),296,317,0.35618284
retrofit2.RequestBuilder,"RequestBuilder(String,HttpUrl,String,Headers,MediaType,boolean,boolean,boolean)",67,97,0.33061638
retrofit2.RequestFactory.Builder,"validateResolvableType(int,Type)",812,817,0.32787365
retrofit2.ParameterHandler.QueryMap,"QueryMap(Method,int,Converter<T,String>,boolean)",164,169,0.32563794
retrofit2.ParameterHandler.FieldMap,"FieldMap(Method,int,Converter<T,String>,boolean)",285,290,0.32563794
retrofit2.ParameterHandler.PartMap,"PartMap(Method,int,Converter<T,RequestBody>,String)",374,380,0.32563794
retrofit2.RequestBuilder,"addHeader(String,String)",103,113,0.31477004
retrofit2.Utils,"resolveTypeVariable(Type,Class<?>,TypeVariable<?>)",282,296,0.3063671
retrofit2.RequestFactory.Builder,build(),179,223,0.29473594
retrofit2.DefaultCallAdapterFactory,"get(Type,Annotation[],Retrofit)",35,63,0.2911773
retrofit2.Response,headers(),140,143,0.27159983
retrofit2.RequestFactory.Builder,parseMethodAnnotation(Annotation),225,260,0.2637639
retrofit2.CompletableFutureCallAdapterFactory,"get(Type,Annotation[],Retrofit)",29,54,0.2618348
retrofit2.OptionalConverterFactory,"responseBodyConverter(Type,Annotation[],Retrofit)",31,42,0.2618348
retrofit2.ParameterHandler.Headers,"Headers(Method,int)",243,246,0.23819745
"retrofit2.ParameterHandler.Part.Part(Method,int,okhttp3","Headers,Converter<T,RequestBody>)",334,339,0.23819745
retrofit2.Utils,"getGenericSupertype(Type,Class<?>,Class<?>)",149,184,0.23619783
retrofit2.Utils,"getSupertype(Type,Class<?>,Class<?>)",197,208,0.23619783
retrofit2.Retrofit,validateServiceInterface(Class<?>),171,199,0.22843239
retrofit2.Retrofit,"requestBodyConverter(Type,Annotation[],Annotation[])",291,300,0.22843239
retrofit2.Retrofit.nextRequestBodyConverter(Converter,"Factory,Type,Annotation[],Annotation[])",302,342,0.22843239
retrofit2.RequestFactory.Builder,"Builder(Retrofit,Method)",171,177,0.22843239
retrofit2.Response,"success(T,Headers)",57,72,0.22235112
retrofit2.RequestBuilder,addHeaders(Headers),115,117,0.22235112
retrofit2.RequestBuilder,"addPart(Headers,RequestBody)",213,216,0.22235112
retrofit2.ParameterHandler.Header,"Header(String,Converter<T,String>)",79,82,0.22235112
retrofit2.ParameterHandler.Header,"apply(RequestBuilder,T)",84,92,0.22235112
retrofit2.Utils,"equals(Type,Type)",106,147,0.22104812
retrofit2.Utils,"getParameterLowerBound(int,ParameterizedType)",342,348,0.21258608
retrofit2.Utils,"getParameterUpperBound(int,ParameterizedType)",329,340,0.21258606
retrofit2.OkHttpCall.parseResponse(okhttp3,Response),215,251,0.19657663
retrofit2.ParameterHandler.RelativeUrl,"apply(RequestBuilder,Object)",66,72,0.1909224
retrofit2.ParameterHandler.Path,"apply(RequestBuilder,T)",110,117,0.1909224
retrofit2.ParameterHandler.Body,"apply(RequestBuilder,T)",422,434,0.1909224
retrofit2.Retrofit.Builder.addCallAdapterFactory(CallAdapter,Factory),573,580,0.18764572
retrofit2.Utils,"resolve(Type,Class<?>,Type)",210,280,0.1862
retrofit2.CallAdapter.Factory,getRawType(Type),79,85,0.17101018
retrofit2.Converter.Factory,getRawType(Type),91,97,0.17101018
retrofit2.ServiceMethod,"parseAnnotations(Retrofit,Method)",25,40,0.16317423
retrofit2.Utils,"parameterError(Method,Throwable,int,String,Object)",60,63,0.16157989
retrofit2.Utils,"parameterError(Method,int,String,Object)",65,67,0.16157989
retrofit2.RequestFactory.Builder,"parseHttpMethodAndPath(String,String,boolean)",262,294,0.16157989
retrofit2.RequestFactory.Builder,"validatePathName(int,String)",819,832,0.16157989
retrofit2.ParameterHandler,iterable(),30,41,0.1609042
retrofit2.ParameterHandler,array(),43,55,0.1609042
retrofit2.RequestBuilder,"addPathParam(String,String,boolean)",119,131,0.14573357
retrofit2.Utils.ParameterizedTypeImpl,"ParameterizedTypeImpl(Type,Type,Type)",386,401,0.1416677
retrofit2.Utils.ParameterizedTypeImpl,getRawType(),408,411,0.1416677
retrofit2.Utils,getRawType(Type),69,104,0.14166768
retrofit2.Utils.ParameterizedTypeImpl,hashCode(),423,428,0.14166768
retrofit2.Utils.ParameterizedTypeImpl,toString(),430,440,0.14166768
retrofit2.Reflection,"describeMethodParameter(Method,int)",37,39,0.13601345
retrofit2.Reflection.Java8,"describeMethodParameter(Method,int)",55,62,0.13601345
retrofit2.HttpServiceMethod,"createCallAdapter(Retrofit,Method,Type,Annotation[])",116,124,0.13383174
retrofit2.HttpServiceMethod,"createResponseConverter(Retrofit,Method,Type)",126,134,0.13383174
retrofit2.OkHttpCall,getRawCall(),85,113,0.12481302
retrofit2.Utils.ParameterizedTypeImpl,equals(Object),418,421,0.12176145
retrofit2.Utils.GenericArrayTypeImpl,equals(Object),455,458,0.12176145
retrofit2.Utils.WildcardTypeImpl,equals(Object),508,511,0.12176145
retrofit2.BuiltInConverters,"responseBodyConverter(Type,Annotation[],Retrofit)",29,44,0.12176145
retrofit2.RequestBuilder,"addQueryParam(String,String,boolean)",184,202,0.120167114
retrofit2.RequestFactory.Builder,parsePathParameters(String),834,845,0.120167114
retrofit2.Utils,isUnit(Type),542,551,0.11798541
retrofit2.Response,"error(int,ResponseBody)",86,102,0.117985405
retrofit2.Retrofit.Builder,callbackExecutor(Executor),582,592,0.10826529
retrofit2.Reflection.Java8,"invokeDefaultMethod(Method,Class<?>,Object,Object[])",48,53,0.095226765
retrofit2.Reflection.Android24,"invokeDefaultMethod(Method,Class<?>,Object,Object[])",79,88,0.095226765
retrofit2.Platform.Android24,"invokeDefaultMethod(Method,Class<?>,Object,Object)",140,159,0.095226765
retrofit2.Platform.Java14,isSupported(),247,255,0.095226765
retrofit2.Platform.Java16,isSupported(),299,307,0.095226765
retrofit2.DefaultMethodSupport,DefaultMethodSupport(),51,51,0.095226765
retrofit2.CompletableFutureCallAdapterFactory.BodyCallAdapter,responseType(),64,67,0.09241896
retrofit2.CompletableFutureCallAdapterFactory.ResponseCallAdapter,responseType(),109,112,0.09241896
retrofit2.RequestBuilder.ContentTypeOverridingRequestBody,contentType(),280,283,0.09241896
retrofit2.Retrofit,converterFactories(),281,289,0.09241896
retrofit2.Retrofit,"stringConverter(Type,Annotation[])",393,413,0.09241896
retrofit2.Utils,typeToString(Type),193,195,0.09241896
retrofit2.Utils.ParameterizedTypeImpl,getActualTypeArguments(),403,406,0.09241896
retrofit2.Utils.ParameterizedTypeImpl,getOwnerType(),413,416,0.09241896
retrofit2.Utils.GenericArrayTypeImpl,getGenericComponentType(),450,453,0.09241896
retrofit2.Utils.WildcardTypeImpl,"WildcardTypeImpl(Type[],Type[])",480,496,0.09241896
retrofit2.Utils.WildcardTypeImpl,getLowerBounds(),503,506,0.09241896
retrofit2.OkHttpCall.NoContentResponseBody,contentType(),285,288,0.09241896
retrofit2.OkHttpCall.ExceptionCatchingResponseBody,contentType(),323,326,0.09241896
retrofit2.CompletableFutureCallAdapterFactory.BodyCallAdapter,BodyCallAdapter(Type),60,62,0.092418954
retrofit2.CompletableFutureCallAdapterFactory.ResponseCallAdapter,ResponseCallAdapter(Type),105,107,0.092418954
retrofit2.RequestBuilder.ContentTypeOverridingRequestBody,"ContentTypeOverridingRequestBody(RequestBody,MediaType)",275,278,0.092418954
retrofit2.Retrofit,callAdapterFactories(),228,234,0.092418954
retrofit2.Retrofit,"callAdapter(Type,Annotation[])",236,244,0.092418954
retrofit2.Retrofit.nextCallAdapter(CallAdapter,"Factory,Type,Annotation[])",246,279,0.092418954
retrofit2.Retrofit,"responseBodyConverter(Type,Annotation[])",344,352,0.092418954
retrofit2.Retrofit.nextResponseBodyConverter(Converter,"Factory,Type,Annotation[])",354,391,0.092418954
retrofit2.Retrofit.Builder,build(),613,664,0.092418954
retrofit2.Utils,declaringClassOf(TypeVariable<?>),298,305,0.092418954
retrofit2.Utils,checkNotPrimitive(Type),307,311,0.092418954
retrofit2.Utils,buffer(ResponseBody),323,327,0.092418954
retrofit2.Utils,hasUnresolvableType(Type),350,379,0.092418954
retrofit2.Utils.GenericArrayTypeImpl,GenericArrayTypeImpl(Type),446,448,0.092418954
retrofit2.Utils.GenericArrayTypeImpl,hashCode(),460,463,0.092418954
retrofit2.Utils.GenericArrayTypeImpl,toString(),465,468,0.092418954
retrofit2.Utils.WildcardTypeImpl,getUpperBounds(),498,501,0.092418954
retrofit2.Utils.WildcardTypeImpl,toString(),519,524,0.092418954
retrofit2.RequestFactory.Builder,boxIfPrimitive(Class<?>),847,857,0.092418954
retrofit2.OkHttpCall,clone(),61,65,0.092418954
retrofit2.OkHttpCall.NoContentResponseBody,"NoContentResponseBody(MediaType,long)",280,283,0.092418954
retrofit2.Converter.Factory,"responseBodyConverter(Type,Annotation[],Retrofit)",47,56,0.092418954
retrofit2.SkipCallbackExecutorImpl,annotationType(),36,39,0.092418954
retrofit2.Platform.Android24,isSupported(),111,113,0.07938043
retrofit2.Platform,createPlatform(),44,64,0.07938043
"retrofit2.Response.error(ResponseBody,okhttp3",Response),104,112,0.07481519
retrofit2.Response.Response(okhttp3,"Response,T,ResponseBody)",118,123,0.07481519
retrofit2.Response,errorBody(),155,158,0.07481519
retrofit2.Retrofit.Builder,baseUrl(HttpUrl),507,565,0.06037863
retrofit2.Platform.Java16,"invokeDefaultMethod(Method,Class<?>,Object,Object)",335,348,0.056583427
retrofit2.OkHttpCall,enqueue(Callback<T>),115,182,0.04924874
"retrofit2.Response.success(T,okhttp3",Response),74,84,0.049248736
retrofit2.Response,raw(),125,128,0.049248736
retrofit2.Response,code(),130,133,0.049248736
retrofit2.Response,message(),135,138,0.049248736
retrofit2.Response,isSuccessful(),145,148,0.049248736
retrofit2.Response,toString(),160,163,0.049248736
retrofit2.OkHttpCall,request(),67,74,0.049248736
retrofit2.OkHttpCall,timeout(),76,83,0.049248736
retrofit2.OkHttpCall,execute(),189,205,0.049248736
retrofit2.OkHttpCall,createRawCall(),207,213,0.049248736
retrofit2.OkHttpCall,cancel(),253,264,0.049248736
retrofit2.OkHttpCall,isCanceled(),266,274,0.049248736
retrofit2.OkHttpCall.NoContentResponseBody,source(),295,298,0.049248736
retrofit2.Reflection,"invokeDefaultMethod(Method,Class<?>,Object,Object[])",30,35,0.041412782
retrofit2.Utils,"methodError(Method,String,Object)",43,45,0.041412782
retrofit2.Utils,"methodError(Method,Throwable,String,Object)",47,58,0.041412782
retrofit2.Platform.Android21,"invokeDefaultMethod(Method,Class<?>,Object,Object)",84,89,0.041412782
retrofit2.Platform.RoboVm,"invokeDefaultMethod(Method,Class<?>,Object,Object)",185,190,0.041412782
retrofit2.AndroidMainExecutor,execute(Runnable),25,28,0.040737092
retrofit2.Platform.MainThreadExecutor,execute(Runnable),356,359,0.040737092
retrofit2.Utils,Utils(),39,41,0.029342493
retrofit2.BuiltInConverters.BufferingResponseBodyConverter,convert(ResponseBody),101,109,0.029342493
retrofit2.SkipCallbackExecutorImpl,ensurePresent(Annotation[]),24,34,0.029342493
retrofit2.Utils,throwIfFatal(Throwable),529,537,0.025566453
retrofit2.Invocation,"of(Method,List<?>)",52,56,0.01584633
retrofit2.Invocation,"Invocation(Method,List<?>)",61,65,0.01584633
retrofit2.Invocation,method(),67,69,0.01584633
retrofit2.Invocation,toString(),75,79,0.01584633
retrofit2.Reflection,isDefaultMethod(Method),26,28,0.01584633
retrofit2.Reflection.Java8,isDefaultMethod(Method),43,46,0.01584633
retrofit2.Reflection.Android24,isDefaultMethod(Method),74,77,0.01584633
retrofit2.Retrofit,loadServiceMethod(Method),201,213,0.01584633
retrofit2.Retrofit,callbackExecutor(),415,421,0.01584633
retrofit2.Retrofit.Builder,client(OkHttpClient),468,475,0.01584633
retrofit2.Retrofit.Builder,validateEagerly(boolean),604,611,0.01584633
"retrofit2.HttpServiceMethod.HttpServiceMethod(RequestFactory,okhttp3.Call","Factory,Converter<ResponseBody,ResponseT>)",140,147,0.01584633
retrofit2.HttpServiceMethod.SuspendForBody,"adapt(Call<ResponseT>,Object[])",222,249,0.01584633
retrofit2.RequestFactory,"parseAnnotations(Retrofit,Method)",66,68,0.01584633
retrofit2.ParameterHandler.RelativeUrl,"RelativeUrl(Method,int)",61,64,0.01584633
retrofit2.ParameterHandler.Path,"Path(Method,int,String,Converter<T,String>,boolean)",102,108,0.01584633
retrofit2.ParameterHandler.Body,"Body(Method,int,Converter<T,RequestBody>)",416,420,0.01584633
retrofit2.Platform.Android21,isDefaultMethod(Method),79,82,0.01584633
retrofit2.Platform.Android24,isDefaultMethod(Method),135,138,0.01584633
retrofit2.Platform.RoboVm,isDefaultMethod(Method),180,183,0.01584633
retrofit2.Platform.Java8,isDefaultMethod(Method),217,220,0.01584633
retrofit2.Platform.Java8,"invokeDefaultMethod(Method,Class<?>,Object,Object)",222,236,0.01584633
retrofit2.Platform.Java14,isDefaultMethod(Method),276,279,0.01584633
retrofit2.Platform.Java14,"invokeDefaultMethod(Method,Class<?>,Object,Object)",281,289,0.01584633
retrofit2.Platform.Java16,isDefaultMethod(Method),330,333,0.01584633
retrofit2.DefaultMethodSupport,"invoke(Method,Class<?>,Object,Object[])",33,49,0.01584633
