File,Signature,StartLine,EndLine
org.jfree.data.Range,toString(),358,366
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,updateBounds(),735,742
org.jfree.data.statistics.BoxAndWhiskerItem,"BoxAndWhiskerItem(double,double,double,double,double,double,double,double,List)",127,152
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,getRangeBounds(boolean),523,533
org.jfree.data.KeyedObject,setObject(Object),97,104
org.jfree.data.statistics.BoxAndWhiskerItem,getMinOutlier(),208,215
org.jfree.data.statistics.BoxAndWhiskerItem,getMaxOutlier(),217,224
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,"add(BoxAndWhiskerItem,Comparable,Comparable)",134,193
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,DefaultBoxAndWhiskerCategoryDataset(),103,115
org.jfree.data.statistics.BoxAndWhiskerItem,"BoxAndWhiskerItem(Number,Number,Number,Number,Number,Number,Number,Number,List)",90,125
org.jfree.data.KeyedObjects2D,getRowIndex(Comparable),140,151
org.jfree.data.KeyedObjects2D,getColumnIndex(Comparable),177,188
org.jfree.data.KeyedObjects2D,"addObject(Object,Comparable,Comparable)",241,251
org.jfree.data.KeyedObjects2D,"setObject(Object,Comparable,Comparable)",253,285
org.jfree.data.KeyedObjects2D,KeyedObjects2D(),71,78
org.jfree.data.KeyedObject,getKey(),79,86
org.jfree.data.KeyedObjects,KeyedObjects(),64,69
org.jfree.data.KeyedObjects,getIndex(Comparable),118,141
org.jfree.data.KeyedObjects,"setObject(Comparable,Object)",190,210
org.jfree.data.KeyedObject,"KeyedObject(Comparable,Object)",68,77
org.jfree.data.Range,equals(Object),322,341
org.jfree.data.Range,"Range(double,double)",79,93
org.jfree.data.general.AbstractDataset,fireDatasetChanged(),166,173
org.jfree.data.general.AbstractDataset,notifyListeners(DatasetChangeEvent),175,194
org.jfree.data.general.DatasetChangeEvent,"DatasetChangeEvent(Object,Dataset)",62,75
org.jfree.data.general.AbstractDataset,AbstractDataset(),92,99
