File,Signature,StartLine,EndLine
org.apache.commons.cli.Option,hasArgName(),324,334
org.apache.commons.cli.OptionBuilder,hasArg(),97,107
org.apache.commons.cli.OptionBuilder,withDescription(String),294,305
org.apache.commons.cli.OptionBuilder,isRequired(),137,147
org.apache.commons.cli.OptionBuilder,create(char),307,320
org.apache.commons.cli.Option,getDescription(),264,272
org.apache.commons.cli.Option,setType(Object),195,203
org.apache.commons.cli.Option,setLongOpt(String),215,223
org.apache.commons.cli.Option,setValueSeparator(char),357,366
org.apache.commons.cli.OptionBuilder,OptionBuilder(),58,64
org.apache.commons.cli.OptionBuilder,reset(),66,82
org.apache.commons.cli.OptionBuilder,create(String),340,372
org.apache.commons.cli.Option,setOptionalArg(boolean),225,234
org.apache.commons.cli.Option,setArgs(int),347,355
org.apache.commons.cli.Option,"Option(String,String)",81,94
org.apache.commons.cli.Option,setArgName(String),304,312
org.apache.commons.cli.GnuParser,init(),34,41
org.apache.commons.cli.GnuParser,"flatten(Options,String[],boolean)",43,177
org.apache.commons.cli.Option,setRequired(boolean),294,302
org.apache.commons.cli.Option,hasArg(),254,262
org.apache.commons.cli.Options,helpOptions(),181,205
org.apache.commons.cli.Options,addOption(Option),141,169
org.apache.commons.cli.Option,getKey(),154,168
org.apache.commons.cli.Option,hasLongOpt(),244,252
org.apache.commons.cli.Options,Options(),60,65
org.apache.commons.cli.Option,isRequired(),284,292
org.apache.commons.cli.OptionValidator,isValidOpt(char),79,89
org.apache.commons.cli.OptionValidator,isValidChar(char),91,100
org.apache.commons.cli.Option,"Option(String,String,boolean,String)",112,140
org.apache.commons.cli.OptionValidator,validateOption(String),26,77
org.apache.commons.cli.OptionBuilder,withLongOpt(String),84,95
org.apache.commons.cli.Options,"addOption(String,String,boolean,String)",123,139
org.apache.commons.cli.Parser,getRequiredOptions(),53,55
org.apache.commons.cli.Parser,processProperties(Properties),243,294
org.apache.commons.cli.Parser,checkRequiredOptions(),296,325
org.apache.commons.cli.Option,hashCode(),628,634
org.apache.commons.cli.CommandLine,addOption(Option),284,293
org.apache.commons.cli.Options,hasOption(String),236,249
org.apache.commons.cli.Parser,"processOption(String,ListIterator)",373,430
org.apache.commons.cli.Parser,"parse(Options,String[])",72,86
org.apache.commons.cli.Options,getOption(String),218,234
org.apache.commons.cli.Option,getOpt(),170,183
org.apache.commons.cli.Option,getLongOpt(),205,213
org.apache.commons.cli.Options,getRequiredOptions(),207,216
org.apache.commons.cli.Options,getOptionGroup(Option),251,262
org.apache.commons.cli.Parser,setOptions(Options),44,47
org.apache.commons.cli.Parser,getOptions(),49,51
org.apache.commons.cli.Parser,"parse(Options,String[],Properties,boolean)",129,241
org.apache.commons.cli.CommandLine,CommandLine(),55,61
org.apache.commons.cli.Option,clearValues(),656,665
org.apache.commons.cli.Util,stripLeadingHyphens(String),26,49
org.apache.commons.cli.Options,addOptionGroup(OptionGroup),67,97
org.apache.commons.cli.Options,getOptionGroups(),99,105
org.apache.commons.cli.Options,"addOption(String,boolean,String)",107,121
org.apache.commons.cli.Options,getOptions(),171,179
org.apache.commons.cli.Options,toString(),264,280
org.apache.commons.cli.Option,"Option(String,boolean,String)",96,110
org.apache.commons.cli.Option,getId(),142,152
org.apache.commons.cli.Option,getType(),185,193
org.apache.commons.cli.Option,hasOptionalArg(),236,242
org.apache.commons.cli.Option,setDescription(String),274,282
org.apache.commons.cli.Option,getArgName(),314,322
org.apache.commons.cli.Option,hasArgs(),336,345
org.apache.commons.cli.Option,getValueSeparator(),368,376
org.apache.commons.cli.Option,hasValueSeparator(),378,386
org.apache.commons.cli.Option,getArgs(),388,396
org.apache.commons.cli.Option,addValueForProcessing(String),398,413
org.apache.commons.cli.Option,processValue(String),415,463
org.apache.commons.cli.Option,add(String),465,484
org.apache.commons.cli.Option,getValue(),486,496
org.apache.commons.cli.Option,getValue(int),498,514
org.apache.commons.cli.Option,getValue(String),516,531
org.apache.commons.cli.Option,getValues(),533,544
org.apache.commons.cli.Option,getValuesList(),546,553
org.apache.commons.cli.Option,toString(),555,590
org.apache.commons.cli.Option,hasNoValues(),592,600
org.apache.commons.cli.Option,equals(Object),602,626
org.apache.commons.cli.Option,clone(),636,654
org.apache.commons.cli.Option,addValue(String),667,678
org.apache.commons.cli.Parser,"parse(Options,String[],Properties)",88,105
org.apache.commons.cli.Parser,"parse(Options,String[],boolean)",107,127
org.apache.commons.cli.Parser,"processArgs(Option,ListIterator)",327,371
org.apache.commons.cli.CommandLine,hasOption(String),63,72
org.apache.commons.cli.CommandLine,hasOption(char),74,83
org.apache.commons.cli.CommandLine,getOptionObject(String),85,104
org.apache.commons.cli.CommandLine,getOptionObject(char),106,115
org.apache.commons.cli.CommandLine,getOptionValue(String),117,129
org.apache.commons.cli.CommandLine,getOptionValue(char),131,141
org.apache.commons.cli.CommandLine,getOptionValues(String),143,160
org.apache.commons.cli.CommandLine,resolveOption(String),162,184
org.apache.commons.cli.CommandLine,getOptionValues(char),186,196
org.apache.commons.cli.CommandLine,"getOptionValue(String,String)",198,212
org.apache.commons.cli.CommandLine,"getOptionValue(char,String)",214,226
org.apache.commons.cli.CommandLine,getArgs(),228,240
org.apache.commons.cli.CommandLine,getArgList(),242,250
org.apache.commons.cli.CommandLine,addArg(String),274,282
org.apache.commons.cli.CommandLine,iterator(),295,304
org.apache.commons.cli.CommandLine,getOptions(),306,320
org.apache.commons.cli.Util,stripLeadingAndTrailingQuotes(String),51,69
org.apache.commons.cli.ParseException,ParseException(String),27,36
org.apache.commons.cli.MissingArgumentException,MissingArgumentException(String),29,38
org.apache.commons.cli.UnrecognizedOptionException,UnrecognizedOptionException(String),29,38
org.apache.commons.cli.OptionBuilder,hasArg(boolean),109,121
org.apache.commons.cli.OptionBuilder,withArgName(String),123,135
org.apache.commons.cli.OptionBuilder,withValueSeparator(char),149,172
org.apache.commons.cli.OptionBuilder,withValueSeparator(),174,195
org.apache.commons.cli.OptionBuilder,isRequired(boolean),197,209
org.apache.commons.cli.OptionBuilder,hasArgs(),211,221
org.apache.commons.cli.OptionBuilder,hasArgs(int),223,235
org.apache.commons.cli.OptionBuilder,hasOptionalArg(),237,248
org.apache.commons.cli.OptionBuilder,hasOptionalArgs(),250,262
org.apache.commons.cli.OptionBuilder,hasOptionalArgs(int),264,278
org.apache.commons.cli.OptionBuilder,withType(Object),280,292
org.apache.commons.cli.OptionBuilder,create(),322,338
org.apache.commons.cli.PosixParser,init(),45,55
org.apache.commons.cli.PosixParser,"flatten(Options,String[],boolean)",57,164
org.apache.commons.cli.PosixParser,gobble(Iterator),166,180
org.apache.commons.cli.PosixParser,process(String),182,215
org.apache.commons.cli.PosixParser,processSingleHyphen(String),217,226
org.apache.commons.cli.PosixParser,"processOptionToken(String,boolean)",228,251
org.apache.commons.cli.PosixParser,"burstToken(String,boolean)",253,310
org.apache.commons.cli.MissingOptionException,MissingOptionException(String),28,37
