File,Signature,StartLine,EndLine
com.google.javascript.rhino.jstype.JSTypeRegistry,JSTypeRegistry(ErrorReporter),185,190
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher,processEmptyExpression(EmptyExpression),465,469
com.google.javascript.rhino.jstype.PrototypeObjectType,getPropertiesCount(),122,138
com.google.javascript.rhino.jstype.PrototypeObjectType,hasProperty(String),140,150
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher,processFunctionNode(FunctionNode),512,562
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher,processBlock(Block),397,400
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher,processGeneric(com.google.javascript.jscomp.mozilla.rhino.Node),278,285
com.google.javascript.rhino.jstype.InstanceObjectType,"defineProperty(String,JSType,boolean,boolean,Node)",85,93
com.google.javascript.rhino.jstype.JSType,isNominalType(),295,301
com.google.javascript.rhino.jstype.FunctionPrototypeType,hasReferenceName(),74,77
com.google.javascript.rhino.jstype.ObjectType,hasOwnDeclaredProperty(String),400,405
com.google.javascript.rhino.jstype.PrototypeObjectType,hasOwnProperty(String),152,155
com.google.javascript.rhino.jstype.PrototypeObjectType,"defineProperty(String,JSType,boolean,boolean,Node)",227,235
com.google.javascript.rhino.jstype.PrototypeObjectType.Property,"Property(JSType,boolean,boolean,Node)",506,511
com.google.javascript.rhino.jstype.JSTypeRegistry,createNullableType(JSType),922,928
com.google.javascript.rhino.jstype.FunctionType,isInterface(),175,178
com.google.javascript.rhino.jstype.FunctionPrototypeType,getReferenceName(),65,72
com.google.javascript.jscomp.parsing.IRFactory,transformTokenType(int),941,1252
com.google.javascript.jscomp.parsing.ParserRunner,"parse(String,String,Config,ErrorReporter,Logger)",83,127
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher,processName(Name),625,628
com.google.javascript.jscomp.parsing.IRFactory,"newStringNode(int,String)",1275,1277
com.google.javascript.rhino.Node,setCharno(int),1136,1138
com.google.javascript.jscomp.parsing.IRFactory,"IRFactory(String,String,Config,ErrorReporter)",101,112
com.google.javascript.jscomp.parsing.IRFactory,createTemplateNode(),117,122
com.google.javascript.jscomp.parsing.IRFactory,"transformTree(AstRoot,String,Config,ErrorReporter)",124,143
com.google.javascript.jscomp.parsing.IRFactory,setFileOverviewJsDoc(Node),145,157
com.google.javascript.jscomp.parsing.IRFactory,handleJsDoc(AstNode),193,203
