File,Signature,StartLine,EndLine
org.apache.commons.codec.binary.Base64,encodeBase64(byte[]),659,668
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean)",773,786
org.apache.commons.codec.binary.Base64,"getEncodeLength(byte[],int,byte[])",958,986
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean,boolean)",788,804
org.apache.commons.codec.binary.Base64,"encodeBase64(byte[],boolean,boolean,int)",806,837
org.apache.commons.codec.binary.Base64,encode(byte[]),939,956
org.apache.commons.codec.binary.Base64,"encode(byte[],int,int)",419,501
org.apache.commons.codec.binary.Base64,reset(),1049,1059
org.apache.commons.codec.binary.Base64,"readResults(byte[],int,int)",394,417
org.apache.commons.codec.binary.Base64,avail(),372,379
org.apache.commons.codec.binary.Base64,resizeBuffer(),381,392
org.apache.commons.codec.binary.Base64,"Base64(int,byte[],boolean)",307,351
org.apache.commons.codec.binary.Base64,containsBase64Byte(byte[]),643,657
org.apache.commons.codec.binary.Base64,isBase64(byte),584,594
org.apache.commons.codec.DecoderException,DecoderException(),35,43
org.apache.commons.codec.DecoderException,DecoderException(String),45,54
org.apache.commons.codec.DecoderException,"DecoderException(String,Throwable)",56,73
org.apache.commons.codec.DecoderException,DecoderException(Throwable),75,87
org.apache.commons.codec.EncoderException,EncoderException(),37,45
org.apache.commons.codec.EncoderException,EncoderException(String),47,56
org.apache.commons.codec.EncoderException,"EncoderException(String,Throwable)",58,75
org.apache.commons.codec.EncoderException,EncoderException(Throwable),77,89
org.apache.commons.codec.binary.Base64,Base64(),226,238
org.apache.commons.codec.binary.Base64,Base64(boolean),240,257
org.apache.commons.codec.binary.Base64,Base64(int),259,279
org.apache.commons.codec.binary.Base64,"Base64(int,byte[])",281,305
org.apache.commons.codec.binary.Base64,isUrlSafe(),353,361
org.apache.commons.codec.binary.Base64,hasData(),363,370
org.apache.commons.codec.binary.Base64,"decode(byte[],int,int)",503,582
org.apache.commons.codec.binary.Base64,isBase64(String),596,608
org.apache.commons.codec.binary.Base64,isArrayByteBase64(byte[]),610,622
org.apache.commons.codec.binary.Base64,isBase64(byte[]),624,641
org.apache.commons.codec.binary.Base64,encodeBase64String(byte[]),670,683
org.apache.commons.codec.binary.Base64,encodeBase64URLSafe(byte[]),685,696
org.apache.commons.codec.binary.Base64,encodeBase64URLSafeString(byte[]),698,709
org.apache.commons.codec.binary.Base64,encodeBase64Chunked(byte[]),711,720
org.apache.commons.codec.binary.Base64,decode(Object),722,740
org.apache.commons.codec.binary.Base64,decode(String),742,752
org.apache.commons.codec.binary.Base64,decode(byte[]),754,771
org.apache.commons.codec.binary.Base64,decodeBase64(String),839,849
org.apache.commons.codec.binary.Base64,decodeBase64(byte[]),851,860
org.apache.commons.codec.binary.Base64,discardWhitespace(byte[]),862,887
org.apache.commons.codec.binary.Base64,isWhiteSpace(byte),889,906
org.apache.commons.codec.binary.Base64,encode(Object),910,925
org.apache.commons.codec.binary.Base64,encodeToString(byte[]),927,937
org.apache.commons.codec.binary.Base64,decodeInteger(byte[]),989,999
org.apache.commons.codec.binary.Base64,encodeInteger(BigInteger),1001,1016
org.apache.commons.codec.binary.Base64,toIntegerBytes(BigInteger),1018,1047
