File,Signature,StartLine,EndLine
org.apache.commons.collections4.IteratorUtils,"collatedIterator(Comparator<? super E>,Iterator<? extends E>,Iterator<? extends E>)",585,606
org.apache.commons.collections4.IteratorUtils,toList(Iterator<? extends E>),1110,1123
org.apache.commons.collections4.iterators.CollatingIterator,"CollatingIterator(Comparator<? super E>,Iterator<? extends E>,Iterator<? extends E>)",104,121
org.apache.commons.collections4.IteratorUtils,"toList(Iterator<? extends E>,int)",1125,1150
org.apache.commons.collections4.iterators.CollatingIterator,set(int),305,323
org.apache.commons.collections4.iterators.CollatingIterator,least(),346,376
org.apache.commons.collections4.iterators.CollatingIterator,hasNext(),231,239
org.apache.commons.collections4.iterators.CollatingIterator,next(),241,259
org.apache.commons.collections4.iterators.CollatingIterator,start(),291,303
org.apache.commons.collections4.iterators.CollatingIterator,anyValueSet(BitSet),378,389
org.apache.commons.collections4.iterators.CollatingIterator,anyHasNext(List<Iterator<? extends E>>),391,402
org.apache.commons.collections4.iterators.CollatingIterator,addIterator(Iterator<? extends E>),164,177
org.apache.commons.collections4.iterators.CollatingIterator,"CollatingIterator(Comparator<? super E>,int)",87,102
org.apache.commons.collections4.iterators.CollatingIterator,setComparator(Comparator<? super E>),214,227
org.apache.commons.collections4.iterators.CollatingIterator,checkNotStarted(),334,344
org.apache.commons.collections4.iterators.EmptyListIterator,EmptyListIterator(),70,75
org.apache.commons.collections4.iterators.EmptyOrderedMapIterator,EmptyOrderedMapIterator(),49,54
org.apache.commons.collections4.iterators.EmptyOrderedIterator,EmptyOrderedIterator(),48,53
org.apache.commons.collections4.iterators.EmptyMapIterator,EmptyMapIterator(),49,54
org.apache.commons.collections4.iterators.AbstractEmptyMapIterator,AbstractEmptyMapIterator(),27,32
org.apache.commons.collections4.iterators.EmptyIterator,EmptyIterator(),69,74
org.apache.commons.collections4.iterators.AbstractEmptyIterator,AbstractEmptyIterator(),29,34
org.apache.commons.collections4.ComparatorUtils,ComparatorUtils(),43,46
org.apache.commons.collections4.ComparatorUtils,naturalComparator(),56,65
org.apache.commons.collections4.ComparatorUtils,chainedComparator(Comparator<E>),67,86
org.apache.commons.collections4.ComparatorUtils,chainedComparator(Collection<Comparator<E>>),88,105
org.apache.commons.collections4.ComparatorUtils,reversedComparator(Comparator<E>),107,117
org.apache.commons.collections4.ComparatorUtils,booleanComparator(boolean),119,133
org.apache.commons.collections4.ComparatorUtils,nullLowComparator(Comparator<E>),135,153
org.apache.commons.collections4.ComparatorUtils,nullHighComparator(Comparator<E>),155,173
org.apache.commons.collections4.ComparatorUtils,"transformedComparator(Comparator<O>,Transformer<? super I,? extends O>)",175,197
org.apache.commons.collections4.ComparatorUtils,"min(E,E,Comparator<E>)",199,217
org.apache.commons.collections4.ComparatorUtils,"max(E,E,Comparator<E>)",219,237
org.apache.commons.collections4.comparators.ComparableComparator,ComparableComparator(),69,76
org.apache.commons.collections4.comparators.ComparableComparator,comparableComparator(),52,66
org.apache.commons.collections4.comparators.ComparableComparator,"compare(E,E)",79,94
org.apache.commons.collections4.comparators.ComparableComparator,hashCode(),97,107
org.apache.commons.collections4.comparators.ComparableComparator,equals(Object),109,126
org.apache.commons.collections4.iterators.AbstractEmptyIterator,hasNext(),36,38
org.apache.commons.collections4.iterators.AbstractEmptyIterator,next(),40,42
org.apache.commons.collections4.iterators.AbstractEmptyIterator,hasPrevious(),44,46
org.apache.commons.collections4.iterators.AbstractEmptyIterator,previous(),48,50
org.apache.commons.collections4.iterators.AbstractEmptyIterator,nextIndex(),52,54
