File,Signature,StartLine,EndLine
org.apache.commons.compress.archivers.sevenz.Coders.LZMADecoder,"decode(InputStream,Coder,byte[])",106,118
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readEncodedHeader(DataInputStream,Archive,byte[])",261,292
org.apache.commons.compress.archivers.sevenz.Coders,"addDecoder(InputStream,Coder,byte[])",44,53
org.apache.commons.compress.archivers.sevenz.Coders.CoderId,"CoderId(SevenZMethod,CoderBase)",75,78
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readPackInfo(DataInput,Archive)",320,347
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readUnpackInfo(DataInput,Archive)",349,395
org.apache.commons.compress.archivers.sevenz.SevenZFile,readFolder(DataInput),480,557
org.apache.commons.compress.archivers.sevenz.Folder,findBindPairForInStream(int),44,51
org.apache.commons.compress.archivers.sevenz.SevenZFile,SevenZFile(File),109,117
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readStreamsInfo(DataInput,Archive)",294,318
org.apache.commons.compress.archivers.sevenz.SevenZFile,"readAllOrBits(DataInput,int)",559,571
org.apache.commons.compress.archivers.sevenz.SevenZFile,"SevenZFile(File,byte[])",81,107
org.apache.commons.compress.archivers.sevenz.SevenZFile,readHeaders(byte[]),154,203
org.apache.commons.compress.archivers.sevenz.SevenZFile,readStartHeader(long),205,220
org.apache.commons.compress.archivers.sevenz.SevenZFile,readUint64(DataInput),896,910
org.apache.commons.compress.archivers.sevenz.BoundedRandomAccessFileInputStream,"BoundedRandomAccessFileInputStream(RandomAccessFile,long)",28,32
org.apache.commons.compress.archivers.sevenz.BoundedRandomAccessFileInputStream,read(),34,42
org.apache.commons.compress.archivers.sevenz.BoundedRandomAccessFileInputStream,"read(byte[],int,int)",44,58
org.apache.commons.compress.archivers.sevenz.BoundedRandomAccessFileInputStream,close(),60,63
org.apache.commons.compress.utils.ChecksumVerifyingInputStream,read(),44,64
org.apache.commons.compress.utils.ChecksumVerifyingInputStream,"read(byte[],int,int)",77,94
org.apache.commons.compress.utils.ChecksumVerifyingInputStream,close(),106,109
org.apache.commons.compress.utils.ChecksumVerifyingInputStream,"ChecksumVerifyingInputStream(Checksum,InputStream,long,long)",36,42
org.apache.commons.compress.utils.CRC32VerifyingInputStream,"CRC32VerifyingInputStream(InputStream,long,long)",35,40
org.apache.commons.compress.archivers.ArchiveStreamFactory,getEntryEncoding(),119,128
org.apache.commons.compress.archivers.ArchiveStreamFactory,setEntryEncoding(String),130,138
org.apache.commons.compress.archivers.ArchiveStreamFactory,"createArchiveInputStream(String,InputStream)",140,204
org.apache.commons.compress.archivers.ArchiveStreamFactory,"createArchiveOutputStream(String,OutputStream)",206,253
org.apache.commons.compress.archivers.ArchiveStreamFactory,createArchiveInputStream(InputStream),255,340
org.apache.commons.compress.archivers.ArchiveOutputStream,write(int),95,110
org.apache.commons.compress.archivers.ArchiveOutputStream,count(int),112,120
org.apache.commons.compress.archivers.ArchiveOutputStream,count(long),122,133
org.apache.commons.compress.archivers.ArchiveOutputStream,getCount(),135,144
org.apache.commons.compress.archivers.ArchiveOutputStream,getBytesWritten(),146,153
org.apache.commons.compress.archivers.ArchiveOutputStream,canWriteEntryData(ArchiveEntry),155,168
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,ArArchiveOutputStream(OutputStream),50,52
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,setLongFileMode(int),54,64
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,writeArchiveHeader(),66,70
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,closeArchiveEntry(),72,84
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,putArchiveEntry(ArchiveEntry),86,111
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,"fill(long,long,char)",113,123
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,write(String),125,129
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,writeEntryHeader(ArArchiveEntry),131,195
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,"write(byte[],int,int)",197,202
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,close(),204,214
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,"createArchiveEntry(File,String)",216,223
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,finish(),225,233
org.apache.commons.compress.utils.IOUtils,IOUtils(),33,35
org.apache.commons.compress.utils.IOUtils,"copy(InputStream,OutputStream)",37,50
org.apache.commons.compress.utils.IOUtils,"copy(InputStream,OutputStream,int)",52,73
org.apache.commons.compress.utils.IOUtils,"skip(InputStream,long)",75,97
org.apache.commons.compress.utils.IOUtils,"readFully(InputStream,byte[])",99,113
org.apache.commons.compress.utils.IOUtils,"readFully(InputStream,byte[],int,int)",115,145
org.apache.commons.compress.utils.IOUtils,toByteArray(InputStream),153,169
org.apache.commons.compress.utils.IOUtils,closeQuietly(Closeable),171,183
