File,Signature,StartLine,EndLine
org.apache.commons.csv.CSVRecord,toMap(),208,215
org.apache.commons.csv.CSVRecord,putIn(M),173,187
org.apache.commons.csv.CSVFormat,newFormat(char),258,268
org.apache.commons.csv.Lexer,isClosed(),371,373
org.apache.commons.csv.ExtendedBufferedReader,isClosed(),160,162
org.apache.commons.csv.CSVParser,isClosed(),391,393
org.apache.commons.csv.CSVParser,iterator(),395,449
org.apache.commons.csv.CSVParser,iterator(),395,449
org.apache.commons.csv.CSVParser,iterator(),395,449
org.apache.commons.csv.CSVParser,"parse(String,CSVFormat)",160,178
org.apache.commons.csv.CSVParser,addRecordValue(),251,259
org.apache.commons.csv.Token,reset(),60,64
org.apache.commons.csv.CSVParser,nextRecord(),451,500
org.apache.commons.csv.CSVParser,nextRecord(),451,500
org.apache.commons.csv.CSVFormat,getNullString(),470,485
org.apache.commons.csv.CSVParser,initializeHeader(),351,389
org.apache.commons.csv.CSVFormat,getHeader(),441,448
org.apache.commons.csv.CSVParser,"CSVParser(Reader,CSVFormat)",224,249
org.apache.commons.csv.CSVRecord,"CSVRecord(String[],Map<String,Integer>,String,long)",51,57
org.apache.commons.csv.Lexer,"parseSimpleToken(Token,int)",166,217
org.apache.commons.csv.Lexer,isStartOfLine(int),382,390
org.apache.commons.csv.Lexer,isEscape(int),403,405
org.apache.commons.csv.Lexer,isQuoteChar(int),407,409
org.apache.commons.csv.Lexer,isCommentStart(int),411,413
org.apache.commons.csv.Lexer,nextToken(Token),71,164
org.apache.commons.csv.Lexer,readEndOfLine(int),357,369
org.apache.commons.csv.Lexer,isEndOfFile(int),392,397
org.apache.commons.csv.Lexer,isDelimiter(int),399,401
org.apache.commons.csv.Lexer,"Lexer(CSVFormat,ExtendedBufferedReader)",60,69
org.apache.commons.csv.Lexer,mapNullToDisabled(Character),290,292
org.apache.commons.csv.CSVFormat,getIgnoreSurroundingSpaces(),460,468
org.apache.commons.csv.ExtendedBufferedReader,getLastChar(),64,74
org.apache.commons.csv.CSVFormat,getIgnoreEmptyLines(),450,458
org.apache.commons.csv.ExtendedBufferedReader,read(),54,62
org.apache.commons.csv.CSVFormat,getCommentStart(),414,421
org.apache.commons.csv.ExtendedBufferedReader,ExtendedBufferedReader(Reader),47,52
org.apache.commons.csv.CSVFormat,getEscape(),432,439
org.apache.commons.csv.CSVFormat,validate(),636,671
org.apache.commons.csv.Assertions,"notNull(Object,String)",31,35
org.apache.commons.csv.CSVFormat,getQuoteChar(),487,494
org.apache.commons.csv.CSVFormat,getDelimiter(),423,430
org.apache.commons.csv.CSVFormat,"CSVFormat(char,Character,Quote,Character,Character,boolean,boolean,String,String,String[],boolean)",270,325
org.apache.commons.csv.CSVFormat,isLineBreak(char),234,244
org.apache.commons.csv.CSVFormat,isLineBreak(Character),246,256
org.apache.commons.csv.CSVFormat,withDelimiter(char),707,722
org.apache.commons.csv.CSVFormat,withEscape(char),724,735
org.apache.commons.csv.CSVFormat,withEscape(Character),737,752
org.apache.commons.csv.CSVFormat,withIgnoreEmptyLines(boolean),776,787
org.apache.commons.csv.CSVFormat,withIgnoreSurroundingSpaces(boolean),789,800
org.apache.commons.csv.CSVFormat,withQuoteChar(Character),835,850
org.apache.commons.csv.CSVFormat,withRecordSeparator(char),865,875
org.apache.commons.csv.CSVFormat,withRecordSeparator(String),877,888
org.apache.commons.csv.Token,toString(),66,74
