File,Signature,StartLine,EndLine
com.google.gson.internal.ConstructorConstructor,"newDefaultImplementationConstructor(Type,Class<? super T>)",127,214
com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter,read(JsonReader),160,196
com.google.gson.stream.JsonReader,getLineNumber(),1310,1312
com.google.gson.stream.JsonReader,getColumnNumber(),1314,1316
com.google.gson.stream.JsonReader,getPath(),1464,1493
com.google.gson.JsonParseException,JsonParseException(Throwable),55,63
com.google.gson.JsonSyntaxException,JsonSyntaxException(Throwable),37,46
com.google.gson.stream.JsonReader,checkLenient(),1414,1418
com.google.gson.internal.bind.MapTypeAdapterFactory,"getKeyAdapter(Gson,Type)",136,143
com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter,"Adapter(Gson,Type,TypeAdapter<K>,Type,TypeAdapter<V>,ObjectConstructor<? extends Map<K,V>>)",150,158
com.google.gson.stream.JsonReader,nextInt(),1151,1208
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,read(JsonReader),38,41
com.google.gson.stream.JsonReader,isLiteral(char),748,771
com.google.gson.stream.JsonReader,push(int),1261,1274
com.google.gson.stream.JsonReader,consumeNonExecutePrefix(),1570,1590
com.google.gson.stream.JsonReader,setLenient(boolean),296,327
com.google.gson.stream.JsonReader,peek(),423,463
com.google.gson.stream.JsonReader,nextLong(),929,980
com.google.gson.internal.ConstructorConstructor,"newDefaultImplementationConstructor(Type,Class<? super T>)",127,214
com.google.gson.stream.JsonReader,beginObject(),374,390
com.google.gson.stream.JsonReader,fillBuffer(int),1276,1308
com.google.gson.stream.JsonReader,nextNonWhitespace(boolean),1318,1412
com.google.gson.stream.JsonReader,doPeek(),465,599
com.google.gson.stream.JsonReader,JsonReader(Reader),286,294
com.google.gson.stream.JsonReader,hasNext(),412,421
com.google.gson.Gson,"fromJson(String,Type)",770,796
com.google.gson.Gson,"fromJson(Reader,Type)",823,848
com.google.gson.Gson,newJsonReader(Reader),717,724
com.google.gson.internal.bind.MapTypeAdapterFactory,"create(Gson,TypeToken<T>)",115,134
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,"TypeAdapterRuntimeTypeWrapper(Gson,TypeAdapter<T>,Type)",32,36
com.google.gson.Gson,"fromJson(JsonReader,Type)",862,899
com.google.gson.internal.ConstructorConstructor,newDefaultConstructor(Class<? super T>),97,125
com.google.gson.stream.JsonReader,isLenient(),329,334
com.google.gson.internal.ConstructorConstructor,get(TypeToken<T>),55,95
com.google.gson.internal.bind.CollectionTypeAdapterFactory,"create(Gson,TypeToken<T>)",43,59
com.google.gson.internal.bind.TypeAdapters,"newFactoryForMultipleTypes(Class<TT>,Class<? extends TT>,TypeAdapter<? super TT>)",880,893
com.google.gson.reflect.TypeToken,getType(),97,102
com.google.gson.Gson,Gson(),152,192
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,Class<TT>,TypeAdapter<? super TT>)",865,878
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,TypeAdapter<TT>)",852,863
com.google.gson.internal.Excluder,"create(Gson,TypeToken<T>)",111,147
com.google.gson.internal.Excluder,isAnonymousOrLocal(Class<?>),215,218
com.google.gson.internal.Excluder,"excludeClass(Class<?>,boolean)",191,213
com.google.gson.internal.bind.TypeAdapters,"newTypeHierarchyFactory(Class<T1>,TypeAdapter<T1>)",895,927
com.google.gson.Gson,getAdapter(TypeToken<T>),385,432
com.google.gson.reflect.TypeToken,getRawType(),90,95
com.google.gson.reflect.TypeToken,hashCode(),279,281
com.google.gson.Gson.FutureTypeAdapter,setDelegate(TypeAdapter<T>),951,956
com.google.gson.reflect.TypeToken,get(Type),292,297
com.google.gson.reflect.TypeToken,TypeToken(Type),67,75
com.google.gson.Gson,"Gson(Excluder,FieldNamingStrategy,Map<Type,InstanceCreator<?>>,boolean,boolean,boolean,boolean,boolean,boolean,boolean,LongSerializationPolicy,List<TypeAdapterFactory>)",194,266
com.google.gson.Gson,doubleAdapter(boolean),268,290
com.google.gson.Gson,floatAdapter(boolean),292,314
com.google.gson.Gson,longAdapter(LongSerializationPolicy),324,344
com.google.gson.Gson,atomicLongAdapter(TypeAdapter<Number>),346,356
com.google.gson.Gson,atomicLongArrayAdapter(TypeAdapter<Number>),358,383
com.google.gson.internal.ConstructorConstructor,"ConstructorConstructor(Map<Type,InstanceCreator<?>>)",51,53
com.google.gson.internal.bind.CollectionTypeAdapterFactory,CollectionTypeAdapterFactory(ConstructorConstructor),39,41
com.google.gson.internal.bind.MapTypeAdapterFactory,"MapTypeAdapterFactory(ConstructorConstructor,boolean)",109,113
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,JsonAdapterAnnotationTypeAdapterFactory(ConstructorConstructor),36,38
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,"ReflectiveTypeAdapterFactory(ConstructorConstructor,FieldNamingStrategy,Excluder)",53,58
com.google.gson.reflect.TypeToken,TypeToken(),52,65
com.google.gson.reflect.TypeToken,getSuperclassTypeParameter(Class<?>),77,88
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,TypeAdapter<TT>)",852,863
com.google.gson.internal.bind.TypeAdapters,"newFactory(Class<TT>,Class<TT>,TypeAdapter<? super TT>)",865,878
com.google.gson.internal.bind.TypeAdapters,"newFactoryForMultipleTypes(Class<TT>,Class<? extends TT>,TypeAdapter<? super TT>)",880,893
com.google.gson.internal.bind.TypeAdapters,"newTypeHierarchyFactory(Class<T1>,TypeAdapter<T1>)",895,927
com.google.gson.TypeAdapter,nullSafe(),145,202
com.google.gson.stream.JsonReader,beginArray(),336,353
com.google.gson.stream.JsonReader,peekNumber(),645,746
com.google.gson.stream.JsonReader,peekKeyword(),601,643
com.google.gson.internal.Excluder,clone(),61,67
com.google.gson.internal.Excluder,withVersion(double),69,73
com.google.gson.internal.Excluder,withModifiers(int),75,82
com.google.gson.internal.Excluder,disableInnerClassSerialization(),84,88
com.google.gson.internal.Excluder,excludeFieldsWithoutExposeAnnotation(),90,94
com.google.gson.internal.Excluder,"withExclusionStrategy(ExclusionStrategy,boolean,boolean)",96,109
com.google.gson.internal.Excluder,"excludeField(Field,boolean)",149,189
com.google.gson.internal.Excluder,isInnerClass(Class<?>),220,222
com.google.gson.internal.Excluder,isStatic(Class<?>),224,226
com.google.gson.internal.Excluder,"isValidVersion(Since,Until)",228,230
com.google.gson.internal.Excluder,isValidSince(Since),232,240
com.google.gson.internal.Excluder,isValidUntil(Until),242,250
com.google.gson.stream.JsonReader,endArray(),355,372
com.google.gson.stream.JsonReader,endObject(),392,410
com.google.gson.stream.JsonReader,nextName(),773,799
com.google.gson.stream.JsonReader,nextString(),801,836
com.google.gson.stream.JsonReader,nextBoolean(),838,861
com.google.gson.stream.JsonReader,nextNull(),863,882
com.google.gson.stream.JsonReader,nextDouble(),884,927
com.google.gson.stream.JsonReader,nextQuotedValue(char),982,1027
com.google.gson.stream.JsonReader,nextUnquotedValue(),1029,1092
com.google.gson.stream.JsonReader,skipQuotedValue(char),1094,1119
