File,Signature,StartLine,EndLine
com.fasterxml.jackson.databind.JsonMappingException,toString(),323,327
com.fasterxml.jackson.databind.ObjectReader,_initForMultiRead(JsonParser),354,368
com.fasterxml.jackson.databind.ObjectReader,readValues(String),1308,1326
com.fasterxml.jackson.databind.ObjectReader,"_newIterator(JavaType,JsonParser,DeserializationContext,JsonDeserializer<?>,boolean,Object)",307,319
com.fasterxml.jackson.databind.exc.PropertyBindingException,getMessageSuffix(),67,99
com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException,"UnrecognizedPropertyException(String,JsonLocation,Class<?>,String,Collection<Object>)",20,25
com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException,"from(JsonParser,Object,String,Collection<Object>)",27,56
com.fasterxml.jackson.databind.deser.std.StdValueInstantiator,"createFromInt(DeserializationContext,int)",287,306
com.fasterxml.jackson.databind.DeserializationContext,"reportUnknownProperty(Object,String,JsonDeserializer<?>)",814,834
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,getKnownPropertyNames(),815,822
com.fasterxml.jackson.databind.JsonMappingException,"prependPath(Object,String)",249,257
com.fasterxml.jackson.databind.exc.PropertyBindingException,"PropertyBindingException(String,JsonLocation,Class<?>,String,Collection<Object>)",44,53
com.fasterxml.jackson.databind.MappingIterator,"MappingIterator(JavaType,JsonParser,DeserializationContext,JsonDeserializer<?>,boolean,Object)",106,145
com.fasterxml.jackson.databind.MappingIterator,hasNextValue(),204,232
com.fasterxml.jackson.databind.MappingIterator,nextValue(),234,262
com.fasterxml.jackson.databind.DeserializationConfig,getProblemHandlers(),684,690
com.fasterxml.jackson.databind.DeserializationContext,"handleUnknownProperty(JsonParser,JsonDeserializer<?>,Object,String)",793,812
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"handleUnknownProperty(JsonParser,DeserializationContext,Object,String)",993,1028
com.fasterxml.jackson.databind.deser.std.StdValueInstantiator,getValueTypeDesc(),144,147
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,"handleUnknownProperty(JsonParser,DeserializationContext,Object,String)",1335,1354
com.fasterxml.jackson.databind.JsonMappingException,getPathReference(StringBuilder),243,247
com.fasterxml.jackson.databind.JsonMappingException,_appendPathDesc(StringBuilder),335,347
com.fasterxml.jackson.databind.JsonMappingException.Reference,"Reference(Object,String)",74,80
com.fasterxml.jackson.databind.JsonMappingException.Reference,toString(),95,121
com.fasterxml.jackson.databind.DeserializationContext,mappingException(String),855,861
com.fasterxml.jackson.databind.JsonMappingException,prependPath(Reference),268,280
com.fasterxml.jackson.databind.DeserializationContext,getParser(),323,331
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,"handleUnknownVanilla(JsonParser,DeserializationContext,Object,String)",1312,1333
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,"deserializeFromNumber(JsonParser,DeserializationContext)",1115,1156
com.fasterxml.jackson.databind.ObjectMapper,readerFor(Class<?>),3215,3224
com.fasterxml.jackson.databind.ObjectMapper,"_newReader(DeserializationConfig,JavaType,Object,FormatSchema,InjectableValues)",612,622
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,"deserializeFromNumber(JsonParser,DeserializationContext)",1115,1156
com.fasterxml.jackson.databind.JsonMappingException,"JsonMappingException(String,JsonLocation)",144,144
com.fasterxml.jackson.databind.JsonMappingException,getMessage(),293,300
com.fasterxml.jackson.databind.JsonMappingException,_buildMessage(),302,321
com.fasterxml.jackson.databind.ObjectReader,"_findRootDeserializer(DeserializationContext,JavaType)",1565,1593
com.fasterxml.jackson.databind.ObjectReader,"createDeserializationContext(JsonParser,DeserializationConfig)",1735,1744
com.fasterxml.jackson.databind.ObjectReader,"ObjectReader(ObjectMapper,DeserializationConfig,JavaType,Object,FormatSchema,InjectableValues)",165,189
com.fasterxml.jackson.databind.ObjectReader,"_prefetchRootDeserializer(DeserializationConfig,JavaType)",1613,1640
com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap,"_find2(String,int,Object)",322,344
com.fasterxml.jackson.databind.JsonMappingException,"from(JsonParser,String)",147,149
com.fasterxml.jackson.databind.DeserializationContext,isEnabled(DeserializationFeature),282,291
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.IntegerDeserializer,"deserialize(JsonParser,DeserializationContext)",305,311
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.IntegerDeserializer,"IntegerDeserializer(Class<Integer>,Integer)",297,299
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.IntegerDeserializer,isCachable(),302,303
com.fasterxml.jackson.databind.deser.impl.FieldProperty,"deserializeAndSet(JsonParser,DeserializationContext,Object)",97,107
com.fasterxml.jackson.databind.deser.std.NumberDeserializers.PrimitiveOrWrapperDeserializer,"PrimitiveOrWrapperDeserializer(Class<T>,T)",131,135
com.fasterxml.jackson.databind.deser.BeanDeserializer,"_deserializeOther(JsonParser,DeserializationContext,JsonToken)",137,168
com.fasterxml.jackson.databind.deser.BeanDeserializer,"_deserializeOther(JsonParser,DeserializationContext,JsonToken)",137,168
com.fasterxml.jackson.databind.deser.BeanDeserializer,"vanillaDeserialize(JsonParser,DeserializationContext,JsonToken)",237,266
com.fasterxml.jackson.databind.deser.impl.FieldProperty,"FieldProperty(FieldProperty,JsonDeserializer<?>)",42,46
com.fasterxml.jackson.databind.deser.impl.FieldProperty,withValueDeserializer(JsonDeserializer<?>),73,76
com.fasterxml.jackson.databind.deser.impl.FieldProperty,getMember(),89,89
com.fasterxml.jackson.databind.deser.impl.FieldProperty,"FieldProperty(BeanPropertyDefinition,JavaType,TypeDeserializer,Annotations,AnnotatedField)",34,40
com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap,find(String),300,320
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,hasField(),189,190
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory,"isIgnorableType(DeserializationConfig,BeanDescription,Class<?>,Map<Class<?>,Boolean>)",814,829
com.fasterxml.jackson.databind.deser.SettableBeanProperty,setViews(Class<?>[]),308,314
com.fasterxml.jackson.databind.deser.SettableBeanProperty,"deserialize(JsonParser,DeserializationContext)",485,509
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,findObjectIdInfo(),517,529
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,findObjectIdInfo(),517,529
com.fasterxml.jackson.databind.introspect.BasicBeanDescription,resolveType(java.lang.reflect.Type),246,252
