File,Signature,StartLine,EndLine
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(XmlFactory,ObjectCodec)",127,138
com.fasterxml.jackson.dataformat.xml.XmlFactory,copy(),148,159
com.fasterxml.jackson.dataformat.xml.XmlMapper,XmlMapper(XmlMapper),92,98
com.fasterxml.jackson.dataformat.xml.XmlMapper,copy(),100,105
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,XmlSerializerProvider(XmlSerializerProvider),52,60
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,copy(),68,71
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"findNamespace(AnnotationIntrospector,AnnotatedClass)",93,104
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(int),919,946
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,isOutputAsCData(Annotated),127,134
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findNamespace(Annotated),91,99
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,findRootName(AnnotatedClass),69,83
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeFieldName(SerializableString),574,578
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,"serialize(Object,JsonGenerator,SerializerProvider)",102,120
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,checkNextIsUnwrapped(),1203,1215
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findNamespaceAnnotation(AnnotationIntrospector,AnnotatedMember)",10,27
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,"findIsCDataAnnotation(AnnotationIntrospector,AnnotatedMember)",67,79
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,isIndexedType(Class<?>),32,36
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(Object,JsonGenerator,SerializerProvider)",151,227
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,_isAttribute(BeanPropertyWriter),352,356
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,_isCData(BeanPropertyWriter),358,362
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,"XmlInfo(Boolean,String,Boolean,Boolean)",14,20
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,getNamespace(),22,22
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,isAttribute(),23,23
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,isText(),24,24
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,isCData(),25,25
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,"changeProperties(SerializationConfig,BeanDescription,List<BeanPropertyWriter>)",32,72
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,XmlBeanSerializerBase(BeanSerializerBase),62,107
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,XmlBeanSerializer(BeanSerializerBase),30,32
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"findRootName(Class<?>,MapperConfig<?>)",44,59
