File,Signature,StartLine,EndLine
org.jsoup.nodes.Comment,isXmlDeclaration(),61,68
org.jsoup.nodes.Comment,asXmlDeclaration(),70,84
org.jsoup.parser.XmlTreeBuilder,insert(Token.Comment),89,100
org.jsoup.nodes.Node,hasParent(),39,41
org.jsoup.nodes.LeafNode,baseUri(),79,82
org.jsoup.parser.Tokeniser,emit(char),113,115
org.jsoup.parser.XmlTreeBuilder,insert(Token.Character),102,105
org.jsoup.parser.Parser,xmlParser(),210,217
org.jsoup.Jsoup,"parse(String,String,Parser)",34,46
org.jsoup.parser.XmlTreeBuilder,insert(Token.StartTag),75,87
org.jsoup.nodes.Element,child(int),241,254
org.jsoup.parser.XmlTreeBuilder,defaultSettings(),25,27
org.jsoup.parser.XmlTreeBuilder,"initialiseParse(Reader,String,Parser)",29,34
org.jsoup.parser.XmlTreeBuilder,process(Token),44,69
org.jsoup.parser.XmlTreeBuilder,insertNode(Node),71,73
org.jsoup.parser.XmlTreeBuilder,process(Token),44,69
org.jsoup.nodes.Comment,getData(),37,43
org.jsoup.nodes.Comment,nodeName(),33,35
org.jsoup.nodes.Document.OutputSettings,syntax(Syntax),465,474
org.jsoup.parser.Tokeniser,error(TokeniserState),245,248
org.jsoup.parser.Parser,"parseInput(String,String)",30,32
org.jsoup.parser.Token,asComment(),364,366
org.jsoup.parser.Token.Comment,getData(),273,275
org.jsoup.nodes.Comment,Comment(String),15,21
org.jsoup.nodes.Element,childElementsList(),268,287
org.jsoup.parser.ParseErrorList,canAddError(),19,21
org.jsoup.nodes.Document,outputSettings(),548,554
org.jsoup.parser.CharacterReader,unconsume(),105,107
org.jsoup.nodes.LeafNode,coreValue(),33,35
org.jsoup.nodes.LeafNode,hasAttributes(),13,15
org.jsoup.nodes.LeafNode,attr(String),41,48
org.jsoup.parser.CharacterReader,consumeData(),233,253
org.jsoup.parser.Tokeniser,emit(String),91,103
org.jsoup.parser.Token.Character,reset(),291,295
org.jsoup.parser.Token,isCData(),372,374
org.jsoup.parser.Token,asCharacter(),376,378
org.jsoup.parser.Token.Character,data(String),297,300
org.jsoup.parser.Token.Character,getData(),302,304
org.jsoup.nodes.TextNode,TextNode(String),14,22
org.jsoup.parser.TreeBuilder,"parse(Reader,String,Parser)",45,49
org.jsoup.parser.Token.Tag,finaliseTag(),125,131
org.jsoup.parser.Tokeniser,emitTagPending(),212,215
org.jsoup.parser.Token.Tag,appendTagName(String),158,161
org.jsoup.parser.CharacterReader,consumeTagName(),255,282
org.jsoup.parser.Tokeniser,createTagPending(boolean),207,210
org.jsoup.parser.CharacterReader,matchesLetter(),402,407
org.jsoup.parser.Tokeniser,transition(TokeniserState),121,123
org.jsoup.parser.Tokeniser,advanceTransition(TokeniserState),125,128
org.jsoup.parser.ParseSettings,normalizeAttributes(Attributes),52,57
org.jsoup.parser.Token,reset(StringBuilder),27,31
org.jsoup.parser.Token,asStartTag(),348,350
org.jsoup.parser.Token.Tag,reset(),86,98
org.jsoup.parser.Token.Tag,name(),133,136
org.jsoup.parser.Token.Tag,isSelfClosing(),148,150
org.jsoup.parser.Token.StartTag,reset(),222,228
org.jsoup.parser.Token.EOF,EOF(),326,328
org.jsoup.parser.Token.EOF,reset(),330,333
org.jsoup.parser.Parser,getErrors(),79,85
org.jsoup.parser.TreeBuilder,"initialiseParse(Reader,String,Parser)",30,43
org.jsoup.parser.TreeBuilder,runParser(),53,62
org.jsoup.parser.TreeBuilder,currentElement(),90,93
org.jsoup.nodes.Element,childNodeSize(),115,118
org.jsoup.nodes.Document,parser(Parser),588,597
org.jsoup.parser.CharacterReader,CharacterReader(Reader),38,40
org.jsoup.parser.Tokeniser,read(),55,73
org.jsoup.parser.Tokeniser,emit(Token),75,89
org.jsoup.helper.Validate,isFalse(boolean),48,55
org.jsoup.helper.Validate,"isFalse(boolean,String)",57,65
org.jsoup.parser.CharacterReader,consume(),98,103
org.jsoup.parser.Tokeniser,"Tokeniser(CharacterReader,ParseErrorList)",50,53
org.jsoup.parser.Token.Character,Character(),286,289
org.jsoup.parser.Token.Doctype,Doctype(),40,42
org.jsoup.parser.Token.Comment,Comment(),269,271
org.jsoup.nodes.Node,nodelistChanged(),403,405
org.jsoup.nodes.Node,setParentNode(Node),417,422
org.jsoup.nodes.Node,reparentChild(Node),467,469
org.jsoup.nodes.Node,setSiblingIndex(int),536,538
org.jsoup.nodes.Element,ensureChildNodes(),86,91
org.jsoup.nodes.Element,nodelistChanged(),289,296
org.jsoup.nodes.Element,appendChild(Node),394,409
org.jsoup.helper.ChangeNotifyingArrayList,ChangeNotifyingArrayList(int),10,12
org.jsoup.helper.ChangeNotifyingArrayList,add(E),22,26
org.jsoup.nodes.Element.NodeList,"NodeList(Element,int)",1478,1481
org.jsoup.nodes.Element.NodeList,onContentsChanged(),1483,1485
org.jsoup.parser.Parser,settings(),92,94
org.jsoup.nodes.Document,Document(String),26,35
org.jsoup.nodes.Element,"Element(Tag,String)",74,84
org.jsoup.helper.Validate,"notNull(Object,String)",19,27
org.jsoup.nodes.Element,"Element(Tag,String,Attributes)",56,72
org.jsoup.parser.ParseSettings,normalizeTag(String),38,43
org.jsoup.nodes.Node,Node(),22,26
org.jsoup.internal.Normalizer,lowerCase(String),10,12
org.jsoup.nodes.Document.OutputSettings,OutputSettings(),385,387
org.jsoup.nodes.Document.OutputSettings,charset(Charset),424,432
org.jsoup.nodes.Entities,"load(EscapeMode,String,int)",314,354
org.jsoup.parser.CharacterReader,advance(),109,114
org.jsoup.parser.Tag,Tag(String),26,28
org.jsoup.parser.Tag,"valueOf(String,ParseSettings)",39,65
org.jsoup.parser.Tag,register(Tag),314,316
org.jsoup.parser.CharacterReader,current(),89,96
org.jsoup.parser.CharacterReader,consumeToAny(char),191,215
org.jsoup.parser.CharacterReader,"rangeEquals(char[],int,int,String)",486,500
org.jsoup.parser.Parser,Parser(TreeBuilder),20,28
org.jsoup.parser.CharacterReader,nextIndexOf(char),124,137
org.jsoup.parser.CharacterReader,consumeTo(char),164,178
org.jsoup.helper.Validate,"isTrue(boolean,String)",38,46
org.jsoup.parser.CharacterReader,isEmpty(),76,83
org.jsoup.parser.CharacterReader,isEmptyNoBufferUp(),85,87
org.jsoup.parser.Token,Token(),14,15
org.jsoup.parser.Token.StartTag,StartTag(),216,220
org.jsoup.parser.Token.EndTag,EndTag(),247,250
org.jsoup.parser.ParseErrorList,"ParseErrorList(int,int)",14,17
org.jsoup.parser.ParseErrorList,noTracking(),27,29
org.jsoup.parser.CharacterReader,"cacheString(char[],String[],int,int)",447,484
org.jsoup.parser.CharacterReader,"CharacterReader(Reader,int)",30,36
org.jsoup.parser.CharacterReader,CharacterReader(String),42,44
org.jsoup.parser.CharacterReader,bufferUp(),46,66
org.jsoup.parser.ParseSettings,"ParseSettings(boolean,boolean)",28,36
org.jsoup.helper.Validate,notEmpty(String),86,93
org.jsoup.helper.Validate,isTrue(boolean),29,36
org.jsoup.helper.Validate,notNull(Object),10,17
org.jsoup.internal.StringUtil,"join(Collection,String)",21,29
org.jsoup.internal.StringUtil,"join(Iterator,String)",31,51
org.jsoup.internal.StringUtil,"join(String[],String)",53,61
org.jsoup.internal.StringUtil,padding(int),63,78
