File,Signature,StartLine,EndLine
org.apache.commons.jxpath.ri.NamespaceResolver,getPrefix(String),150,159
org.apache.commons.jxpath.ri.NamespaceResolver,getExternallyRegisteredPrefix(String),161,171
org.apache.commons.jxpath.ri.model.NodePointer,getNamespaceResolver(),141,150
org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_114(),2536,2539
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getNamespaceResolver(),137,143
org.apache.commons.jxpath.ri.model.container.ContainerPointer,asPath(),163,165
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,getNamespaceResolver(),215,221
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getNamespaceURI(String),772,774
org.apache.commons.jxpath.ri.compiler.NodeNameTest,"NodeNameTest(QName,String)",37,45
org.apache.commons.jxpath.ri.NamespaceResolver,getNamespaceURI(String),120,134
org.apache.commons.jxpath.ri.NamespaceResolver,getExternallyRegisteredNamespaceURI(String),136,148
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,iteratePointers(String),608,618
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"iteratePointers(String,Expression)",620,631
org.apache.commons.jxpath.ri.EvalContext,getJXPathContext(),73,75
org.apache.commons.jxpath.ri.axes.RootContext,getJXPathContext(),56,58
org.apache.commons.jxpath.ri.compiler.Expression,iteratePointers(EvalContext),105,126
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,asPath(),620,678
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getRelativePositionByQName(),680,707
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getNamespaceURI(),116,118
org.apache.commons.jxpath.ri.model.container.ContainerPointer,getLength(),83,86
org.apache.commons.jxpath.ri.model.container.ContainerPointer,"childIterator(NodeTest,boolean,NodePointer)",130,135
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"registerNamespace(String,String)",765,770
org.apache.commons.jxpath.ri.NamespaceResolver,"registerNamespace(String,String)",86,99
org.apache.commons.jxpath.ri.NamespaceResolver,isSealed(),173,179
org.apache.commons.jxpath.ri.model.container.ContainerPointer,"ContainerPointer(Container,Locale)",42,50
org.apache.commons.jxpath.ri.model.container.ContainerPointer,getName(),70,72
org.apache.commons.jxpath.ri.model.container.ContainerPointer,getBaseValue(),74,76
org.apache.commons.jxpath.ri.model.container.ContainerPointer,getImmediateNode(),92,98
org.apache.commons.jxpath.ri.model.container.ContainerPointer,getImmediateValuePointer(),105,111
org.apache.commons.jxpath.ri.model.NodePointer,toString(),728,730
org.apache.commons.jxpath.ri.compiler.NodeNameTest,getNamespaceURI(),55,61
org.apache.commons.jxpath.ri.EvalContext,performIteratorStep(),145,162
org.apache.commons.jxpath.ri.EvalContext,isChildOrderingRequired(),91,101
org.apache.commons.jxpath.ri.EvalContext,next(),120,143
org.apache.commons.jxpath.ri.EvalContext,getDocumentOrder(),81,89
org.apache.commons.jxpath.ri.EvalContext,hasNext(),103,118
org.apache.commons.jxpath.ri.compiler.LocationPath,compute(EvalContext),66,76
org.apache.commons.jxpath.ri.compiler.Path,evalSteps(EvalContext),231,239
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,getRelativePositionByQName(),552,569
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,getNamespaceURI(),194,196
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,asPath(),486,550
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getAbsoluteRootPointer(),703,709
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getAbsoluteRootContext(),720,727
org.apache.commons.jxpath.ri.axes.RootContext,getAbsoluteRootContext(),64,70
org.apache.commons.jxpath.ri.axes.ChildContext,getCurrentNodePointer(),53,58
org.apache.commons.jxpath.ri.parser.XPathParser,AbsoluteLocationPath(),521,551
org.apache.commons.jxpath.ri.parser.XPathParser,jj_2_2(int),1848,1853
org.apache.commons.jxpath.ri.parser.XPathParser,jj_3_2(),1883,1886
org.apache.commons.jxpath.ri.axes.ChildContext,nextNode(),86,88
org.apache.commons.jxpath.ri.axes.ChildContext,setPosition(int),95,102
org.apache.commons.jxpath.ri.EvalContext,getCurrentPosition(),296,302
