File,Signature,StartLine,EndLine
org.apache.commons.math3.genetics.ListPopulation,iterator(),202,210
org.apache.commons.math3.genetics.ListPopulation,addChromosomes(Collection<Chromosome>),101,113
org.apache.commons.math3.genetics.BinaryChromosome,randomBinaryRepresentation(int),66,78
org.apache.commons.math3.genetics.BinaryChromosome,BinaryChromosome(List<Integer>),32,40
org.apache.commons.math3.genetics.BinaryChromosome,checkValidity(List<Integer>),52,64
org.apache.commons.math3.genetics.GeneticAlgorithm,getRandomGenerator(),98,105
org.apache.commons.math3.genetics.ListPopulation,ListPopulation(int),45,53
org.apache.commons.math3.genetics.ListPopulation,"ListPopulation(List<Chromosome>,int)",55,78
org.apache.commons.math3.genetics.AbstractListChromosome,AbstractListChromosome(List<T>),36,45
org.apache.commons.math3.exception.MathIllegalArgumentException,"MathIllegalArgumentException(Localizable,Object)",39,47
org.apache.commons.math3.exception.MathIllegalArgumentException,getContext(),49,52
org.apache.commons.math3.exception.MathIllegalArgumentException,getMessage(),54,58
org.apache.commons.math3.exception.MathIllegalArgumentException,getLocalizedMessage(),60,64
org.apache.commons.math3.exception.MathIllegalNumberException,"MathIllegalNumberException(Localizable,Number,Object)",36,48
org.apache.commons.math3.exception.MathIllegalNumberException,getArgument(),50,55
org.apache.commons.math3.exception.NumberIsTooLargeException,"NumberIsTooLargeException(Number,Number,boolean)",40,54
org.apache.commons.math3.exception.NumberIsTooLargeException,"NumberIsTooLargeException(Localizable,Number,Number,boolean)",55,71
org.apache.commons.math3.exception.NumberIsTooLargeException,getBoundIsAllowed(),73,78
org.apache.commons.math3.exception.NumberIsTooLargeException,getMax(),80,85
org.apache.commons.math3.exception.OutOfRangeException,"OutOfRangeException(Number,Number,Number)",36,47
org.apache.commons.math3.exception.OutOfRangeException,"OutOfRangeException(Localizable,Number,Number,Number)",49,65
org.apache.commons.math3.exception.OutOfRangeException,getLo(),67,72
org.apache.commons.math3.exception.OutOfRangeException,getHi(),73,78
org.apache.commons.math3.exception.NumberIsTooSmallException,"NumberIsTooSmallException(Number,Number,boolean)",40,54
org.apache.commons.math3.exception.NumberIsTooSmallException,"NumberIsTooSmallException(Localizable,Number,Number,boolean)",56,72
org.apache.commons.math3.exception.NumberIsTooSmallException,getBoundIsAllowed(),74,79
org.apache.commons.math3.exception.NumberIsTooSmallException,getMin(),81,86
org.apache.commons.math3.exception.NullArgumentException,NullArgumentException(),37,42
org.apache.commons.math3.exception.NullArgumentException,"NullArgumentException(Localizable,Object)",43,51
org.apache.commons.math3.random.JDKRandomGenerator,setSeed(int),33,36
org.apache.commons.math3.random.JDKRandomGenerator,setSeed(int[]),38,48
org.apache.commons.math3.exception.NotPositiveException,NotPositiveException(Number),31,38
org.apache.commons.math3.exception.NotPositiveException,"NotPositiveException(Localizable,Number)",39,48
org.apache.commons.math3.genetics.Chromosome,getFitness(),35,50
org.apache.commons.math3.genetics.Chromosome,compareTo(Chromosome),52,66
org.apache.commons.math3.genetics.Chromosome,isSame(Chromosome),68,77
org.apache.commons.math3.genetics.Chromosome,findSameChromosome(Population),79,95
org.apache.commons.math3.genetics.Chromosome,searchForFitnessUpdate(Population),97,108
org.apache.commons.math3.genetics.AbstractListChromosome,AbstractListChromosome(T[]),47,53
org.apache.commons.math3.genetics.AbstractListChromosome,getRepresentation(),64,70
org.apache.commons.math3.genetics.AbstractListChromosome,getLength(),72,78
org.apache.commons.math3.genetics.AbstractListChromosome,toString(),95,101
org.apache.commons.math3.genetics.GeneticAlgorithm,"GeneticAlgorithm(CrossoverPolicy,double,MutationPolicy,double,SelectionPolicy)",60,87
org.apache.commons.math3.genetics.GeneticAlgorithm,setRandomGenerator(RandomGenerator),89,96
org.apache.commons.math3.genetics.GeneticAlgorithm,"evolve(Population,StoppingCondition)",107,125
org.apache.commons.math3.genetics.GeneticAlgorithm,nextGeneration(Population),127,182
org.apache.commons.math3.genetics.GeneticAlgorithm,getCrossoverPolicy(),184,190
org.apache.commons.math3.genetics.GeneticAlgorithm,getCrossoverRate(),192,198
org.apache.commons.math3.genetics.GeneticAlgorithm,getMutationPolicy(),200,206
org.apache.commons.math3.genetics.GeneticAlgorithm,getMutationRate(),208,214
org.apache.commons.math3.genetics.GeneticAlgorithm,getSelectionPolicy(),216,222
org.apache.commons.math3.genetics.GeneticAlgorithm,getGenerationsEvolved(),224,233
org.apache.commons.math3.genetics.ListPopulation,setChromosomes(List<Chromosome>),80,99
org.apache.commons.math3.genetics.ListPopulation,getChromosomes(),115,121
org.apache.commons.math3.genetics.ListPopulation,getChromosomeList(),123,129
org.apache.commons.math3.genetics.ListPopulation,addChromosome(Chromosome),131,143
org.apache.commons.math3.genetics.ListPopulation,getFittestChromosome(),145,159
org.apache.commons.math3.genetics.ListPopulation,getPopulationLimit(),161,167
org.apache.commons.math3.genetics.ListPopulation,setPopulationLimit(int),169,184
org.apache.commons.math3.genetics.ListPopulation,getPopulationSize(),186,192
org.apache.commons.math3.genetics.ListPopulation,toString(),194,200
org.apache.commons.math3.genetics.BinaryChromosome,BinaryChromosome(Integer[]),42,50
org.apache.commons.math3.genetics.BinaryChromosome,isSame(Chromosome),80,102
org.apache.commons.math3.genetics.InvalidRepresentationException,"InvalidRepresentationException(Localizable,Object)",33,41
