File,Signature,StartLine,EndLine
org.joda.time.chrono.BaseChronology,"get(ReadablePeriod,long)",268,290
org.joda.time.DateTimeUtils,getPeriodType(PeriodType),308,322
org.joda.time.chrono.ISOChronology,getInstanceUTC(),70,78
org.joda.time.chrono.ISOChronology,getInstance(),80,87
org.joda.time.chrono.ISOChronology,getInstance(DateTimeZone),89,113
org.joda.time.DateTimeUtils,setCurrentMillisFixed(long),104,116
org.joda.time.DateTimeUtils.FixedMillisProvider,FixedMillisProvider(long),543,549
org.joda.time.DateTimeUtils,setCurrentMillisSystem(),91,102
org.joda.time.DateTimeUtils,checkPermission(),155,165
org.joda.time.chrono.ISOChronology,withUTC(),127,134
org.joda.time.tz.CachedDateTimeZone,hashCode(),122,124
org.joda.time.DateTimeZone,setDefault(DateTimeZone),165,185
org.joda.time.DateTimeZone,hashCode(),1267,1274
org.joda.time.chrono.AssembledChronology,getParam(),311,316
org.joda.time.DateTimeUtils,getChronology(Chronology),274,288
org.joda.time.chrono.ISOChronology,ISOChronology(Chronology),118,123
org.joda.time.chrono.ISOChronology,assemble(Fields),168,180
org.joda.time.chrono.AssembledChronology,millis(),155,157
org.joda.time.chrono.AssembledChronology,millisOfSecond(),159,161
org.joda.time.chrono.AssembledChronology,millisOfDay(),163,165
org.joda.time.chrono.AssembledChronology,seconds(),167,169
org.joda.time.chrono.AssembledChronology,secondOfMinute(),171,173
org.joda.time.chrono.AssembledChronology,secondOfDay(),175,177
org.joda.time.chrono.AssembledChronology,minutes(),179,181
org.joda.time.chrono.AssembledChronology,minuteOfHour(),183,185
org.joda.time.chrono.AssembledChronology,minuteOfDay(),187,189
org.joda.time.chrono.AssembledChronology,hours(),191,193
org.joda.time.chrono.AssembledChronology,hourOfDay(),195,197
org.joda.time.chrono.AssembledChronology,clockhourOfDay(),199,201
org.joda.time.chrono.AssembledChronology,halfdays(),203,205
org.joda.time.chrono.AssembledChronology,hourOfHalfday(),207,209
org.joda.time.chrono.AssembledChronology,clockhourOfHalfday(),211,213
org.joda.time.chrono.AssembledChronology,halfdayOfDay(),215,217
org.joda.time.chrono.AssembledChronology,days(),219,221
org.joda.time.chrono.AssembledChronology,dayOfWeek(),223,225
org.joda.time.chrono.AssembledChronology,dayOfMonth(),227,229
org.joda.time.chrono.AssembledChronology,dayOfYear(),231,233
org.joda.time.chrono.AssembledChronology,weeks(),235,237
org.joda.time.chrono.AssembledChronology,weekOfWeekyear(),239,241
org.joda.time.chrono.AssembledChronology,weekyears(),243,245
org.joda.time.chrono.AssembledChronology,weekyear(),247,249
org.joda.time.chrono.AssembledChronology,weekyearOfCentury(),251,253
org.joda.time.chrono.AssembledChronology,months(),255,257
org.joda.time.chrono.AssembledChronology,monthOfYear(),259,261
org.joda.time.chrono.AssembledChronology,years(),263,265
org.joda.time.chrono.AssembledChronology,yearOfEra(),271,273
org.joda.time.chrono.AssembledChronology,yearOfCentury(),275,277
org.joda.time.chrono.AssembledChronology,centuries(),279,281
org.joda.time.chrono.AssembledChronology,centuryOfEra(),283,285
org.joda.time.chrono.AssembledChronology,eras(),287,289
org.joda.time.chrono.AssembledChronology,era(),291,293
org.joda.time.chrono.AssembledChronology.Fields,copyFieldsFrom(Chronology),439,555
org.joda.time.chrono.AssembledChronology.Fields,isSupported(DurationField),557,559
org.joda.time.chrono.AssembledChronology.Fields,isSupported(DateTimeField),561,563
