File,Signature,StartLine,EndLine
org.jfree.data.time.TimeSeries,"createCopy(RegularTimePeriod,RegularTimePeriod)",904,956
org.jfree.data.time.TimeSeries,"createCopy(int,int)",864,902
org.jfree.data.time.TimeSeries,"add(TimeSeriesDataItem,boolean)",481,550
org.jfree.data.time.TimePeriodValues,"createCopy(int,int)",483,514
org.jfree.data.time.Day,"Day(int,int,int)",115,125
org.jfree.data.time.TimeSeries,getIndex(RegularTimePeriod),421,436
org.jfree.data.time.TimeSeries,getTimePeriodsUniqueToOtherSeries(TimeSeries),399,419
org.jfree.data.time.TimeSeries,"addOrUpdate(RegularTimePeriod,Number)",680,727
org.jfree.data.time.Day,getSerialIndex(),296,303
org.jfree.data.time.TimeSeries,"add(RegularTimePeriod,Number,boolean)",591,604
org.jfree.data.time.Day,getSerialDate(),173,184
org.jfree.data.time.Day,compareTo(Object),388,425
org.jfree.chart.util.ObjectUtilities,clone(Object),152,188
org.jfree.data.time.SerialDate,"createInstance(int,int,int)",780,793
org.jfree.data.time.SpreadsheetDate,"calcSerial(int,int,int)",437,458
org.jfree.data.time.TimeSeries,getTimePeriods(),386,397
org.jfree.data.time.TimeSeries,addAndOrUpdate(TimeSeries),641,661
org.jfree.data.time.SpreadsheetDate,getYYYY(),225,232
org.jfree.data.time.SpreadsheetDate,"SpreadsheetDate(int,int,int)",100,138
org.jfree.data.time.TimeSeries,"removeAgedItems(long,boolean)",754,798
org.jfree.chart.demo.TimeSeriesChartDemo1,createDataset(),129,190
org.jfree.data.time.SerialDate,leapYearCount(int),514,531
org.jfree.data.time.TimeSeries,"addOrUpdate(RegularTimePeriod,double)",663,678
org.jfree.data.time.DynamicTimeSeriesCollection,"addSeries(float[],int,Comparable)",373,428
org.jfree.data.time.Day,getFirstMillisecond(Calendar),305,325
org.jfree.data.time.TimeSeries,"update(RegularTimePeriod,Number)",606,627
org.jfree.data.time.TimePeriodValuesCollection,getDomainBounds(boolean),369,422
org.jfree.data.time.Day,getLastMillisecond(Calendar),327,347
org.jfree.data.time.TimeSeries,TimeSeries(Comparable),134,144
org.jfree.data.time.TimeSeriesDataItem,compareTo(Object),185,217
org.jfree.data.time.SerialDate,"lastDayOfMonth(int,int)",533,555
org.jfree.data.time.DynamicTimeSeriesCollection,"addValue(int,int,float)",440,467
org.jfree.data.time.TimePeriodValuesCollection,TimePeriodValuesCollection(TimePeriodValues),94,107
org.jfree.data.time.TimeSeries,clone(),843,862
org.jfree.data.time.TimeSeries,"TimeSeries(Comparable,String,String,Class)",159,181
