File,Signature,StartLine,EndLine
org.apache.commons.cli.Parser,"parse(Options,String[],Properties,boolean)",122,234
org.apache.commons.cli.Option,hasArgName(),320,330
org.apache.commons.cli.PosixParser,"flatten(Options,String[],boolean)",56,159
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean)",445,491
org.apache.commons.cli.CommandLine,hasOption(char),72,81
org.apache.commons.cli.HelpFormatter,"printHelp(String,String,Options,String,boolean)",367,382
org.apache.commons.cli.PosixParser,processNonOptionToken(String),177,190
org.apache.commons.cli.CommandLine,getOptionValue(char),129,139
org.apache.commons.cli.Parser,"processArgs(Option,ListIterator)",303,345
org.apache.commons.cli.HelpFormatter,"printHelp(String,String,Options,String)",352,365
org.apache.commons.cli.OptionBuilder,hasArg(),99,109
org.apache.commons.cli.HelpFormatter,"printHelp(int,String,String,Options,String,boolean)",400,420
org.apache.commons.cli.HelpFormatter,"printHelp(String,Options)",324,335
org.apache.commons.cli.HelpFormatter,"printHelp(int,String,String,Options,String)",384,398
org.apache.commons.cli.OptionBuilder,withArgName(String),125,136
org.apache.commons.cli.OptionBuilder,withDescription(String),292,303
org.apache.commons.cli.HelpFormatter,"printUsage(PrintWriter,int,String,Options)",493,557
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter,int,String,String,Options,int,int,String)",422,442
org.apache.commons.cli.CommandLine,addArg(String),318,326
org.apache.commons.cli.HelpFormatter,"appendOption(StringBuffer,Option,boolean)",594,628
org.apache.commons.cli.Util,stripLeadingHyphens(String),28,52
org.apache.commons.cli.Option,getOpt(),165,178
org.apache.commons.cli.HelpFormatter,"renderOptions(StringBuffer,int,Options,int,int)",696,792
org.apache.commons.cli.OptionBuilder,hasArg(boolean),111,123
org.apache.commons.cli.Option,hasArg(),249,257
org.apache.commons.cli.OptionValidator,isValidOpt(char),79,89
org.apache.commons.cli.OptionValidator,validateOption(String),29,77
org.apache.commons.cli.OptionValidator,isValidChar(char),91,100
org.apache.commons.cli.HelpFormatter,"renderWrappedText(StringBuffer,int,int,String)",794,836
org.apache.commons.cli.HelpFormatter,"appendOptionGroup(StringBuffer,OptionGroup)",559,592
org.apache.commons.cli.HelpFormatter,"printOptions(PrintWriter,int,Options,int,int)",645,664
org.apache.commons.cli.Option,getKey(),149,163
org.apache.commons.cli.Option,isRequired(),280,288
org.apache.commons.cli.Options,addOption(Option),136,165
org.apache.commons.cli.Option,"Option(String,String,boolean,String)",108,135
org.apache.commons.cli.Option,hasLongOpt(),239,247
org.apache.commons.cli.Parser,"parse(Options,String[],Properties)",88,103
org.apache.commons.cli.HelpFormatter,"printUsage(PrintWriter,int,String)",630,643
org.apache.commons.cli.OptionBuilder,create(char),305,317
org.apache.commons.cli.CommandLine,resolveOption(String),164,188
org.apache.commons.cli.Option,equals(Object),593,617
org.apache.commons.cli.HelpFormatter,"printWrapped(PrintWriter,int,String)",666,676
org.apache.commons.cli.OptionBuilder,reset(),68,84
org.apache.commons.cli.OptionBuilder,OptionBuilder(),60,66
org.apache.commons.cli.Parser,processProperties(Properties),236,285
org.apache.commons.cli.Option,setType(Object),190,198
org.apache.commons.cli.Option,setLongOpt(String),210,218
org.apache.commons.cli.OptionBuilder,create(String),335,365
org.apache.commons.cli.HelpFormatter,getNewLine(),227,235
