File,Signature,StartLine,EndLine
com.google.javascript.jscomp.AbstractCommandLineRunner,"writeOutput(Appendable,Compiler,String,String,String)",623,658
com.google.javascript.rhino.Node,appendStringTree(Appendable),1003,1005
com.google.javascript.jscomp.AbstractCommandLineRunner,"writeModuleOutput(Appendable,JSModule)",607,621
com.google.javascript.rhino.Node,"toStringTreeHelper(Node,int,Appendable)",1007,1019
com.google.javascript.jscomp.AbstractCommandLineRunner,"outputManifestOrBundle(List<String>,boolean)",1257,1302
com.google.javascript.jscomp.AbstractCommandLineRunner,run(),314,356
com.google.javascript.jscomp.CommandLineRunner,"initConfigFromFlags(String[],PrintStream)",600,667
com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps(B),1106,1169
com.google.javascript.rhino.Node,propToString(int),116,148
com.google.javascript.jscomp.AbstractCommandLineRunner,doRun(),676,727
com.google.javascript.rhino.Node,checkTreeEqualsImpl(Node),1413,1437
com.google.javascript.jscomp.AbstractCommandLineRunner,"processResults(Result,List<JSModule>,B)",729,849
com.google.javascript.rhino.Node,getSortedPropTypes(),857,871
com.google.javascript.rhino.Node,toString(),913,916
com.google.javascript.rhino.Node,"toString(StringBuilder,boolean,boolean,boolean)",927,986
com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions(CompilerOptions),205,308
com.google.javascript.rhino.Node,toStringTreeImpl(),993,1001
com.google.javascript.jscomp.AbstractCommandLineRunner,"expandSourceMapPath(B,JSModule)",975,982
com.google.javascript.rhino.Node,toStringTree(),989,991
com.google.javascript.jscomp.CommandLineRunner,main(String[]),832,842
com.google.javascript.jscomp.AbstractCommandLineRunner,maybeCreateDirsForPath(String),660,674
com.google.javascript.jscomp.NodeUtil,"isLiteralValue(Node,boolean)",563,622
com.google.javascript.jscomp.NodeUtil,"checkForStateChangeHelper(Node,boolean,AbstractCompiler)",778,927
com.google.javascript.jscomp.AbstractCommandLineRunner,"AbstractCommandLineRunner(PrintStream,PrintStream)",133,137
com.google.javascript.jscomp.CodeGenerator,addArrayList(Node),904,925
com.google.javascript.rhino.Node,"toString(boolean,boolean,boolean)",918,925
com.google.javascript.jscomp.AstValidator,validateExpression(Node),155,275
com.google.javascript.jscomp.CodeGenerator,"add(Node,Context)",85,728
com.google.javascript.jscomp.AbstractCommandLineRunner,fileNameToOutputWriter2(String),999,1012
com.google.javascript.jscomp.parsing.TypeSafeDispatcher,process(AstNode),118,281
