File,Signature,StartLine,EndLine
org.apache.commons.codec.language.Metaphone,metaphone(String),71,313
org.apache.commons.codec.language.DoubleMetaphone,"doubleMetaphone(String,boolean)",78,191
org.apache.commons.codec.net.URLCodec,"encodeUrl(BitSet,byte[])",104,143
org.apache.commons.codec.language.Caverphone,caverphone(String),44,140
org.apache.commons.codec.language.Caverphone,encode(String),161,169
org.apache.commons.codec.net.URLCodec,decode(String),275,295
org.apache.commons.codec.net.URLCodec,"decode(String,String)",253,272
org.apache.commons.codec.net.URLCodec,"encode(String,String)",211,228
org.apache.commons.codec.net.URLCodec,encode(Object),297,319
org.apache.commons.codec.net.URLCodec,URLCodec(String),94,102
org.apache.commons.codec.language.RefinedSoundex,soundex(String),147,183
org.apache.commons.codec.net.URLCodec,decode(Object),321,343
org.apache.commons.codec.language.Soundex,map(char),202,217
org.apache.commons.codec.language.DoubleMetaphone,"handleS(String,DoubleMetaphoneResult,int,boolean)",609,660
org.apache.commons.codec.language.DoubleMetaphone,"handleG(String,DoubleMetaphoneResult,int,boolean)",415,469
org.apache.commons.codec.language.Caverphone,Caverphone(),37,42
org.apache.commons.codec.language.RefinedSoundex,RefinedSoundex(char[]),61,72
org.apache.commons.codec.language.DoubleMetaphone,"handleC(String,DoubleMetaphoneResult,int)",278,330
org.apache.commons.codec.language.RefinedSoundex,RefinedSoundex(),53,59
org.apache.commons.codec.language.SoundexUtils,clean(String),32,56
org.apache.commons.codec.language.Metaphone,"isNextChar(StringBuffer,int,char)",328,335
org.apache.commons.codec.language.Metaphone,"isVowel(StringBuffer,int)",315,317
