File,Signature,StartLine,EndLine
org.apache.commons.collections4.trie.PatriciaTrie,"PatriciaTrie(Map<? extends String,? extends E>)",65,67
org.apache.commons.collections4.trie.UnmodifiableTrie,"unmodifiableTrie(Trie<K,? extends V>)",45,61
org.apache.commons.collections4.trie.UnmodifiableTrie,"UnmodifiableTrie(Trie<K,? extends V>)",64,77
org.apache.commons.collections4.trie.PatriciaTrie,PatriciaTrie(),61,63
org.apache.commons.collections4.trie.AbstractPatriciaTrie,"previousEntry(TrieEntry<K,V>)",1176,1226
org.apache.commons.collections4.trie.AbstractPatriciaTrie,"subtree(K,int,int)",1091,1147
org.apache.commons.collections4.trie.AbstractPatriciaTrie,"put(K,V)",128,189
org.apache.commons.collections4.trie.UnmodifiableTrie,toString(),204,207
org.apache.commons.collections4.trie.AbstractPatriciaTrie,"nextEntryInSubtree(TrieEntry<K,V>,TrieEntry<K,V>)",1228,1241
org.apache.commons.collections4.trie.UnmodifiableTrie,remove(Object),131,134
org.apache.commons.collections4.trie.UnmodifiableTrie,clear(),96,99
org.apache.commons.collections4.trie.AbstractPatriciaTrie,ceilingEntry(K),936,993
org.apache.commons.collections4.trie.UnmodifiableTrie,"putAll(Map<? extends K,? extends V>)",126,129
org.apache.commons.collections4.TrieUtils,"unmodifiableTrie(Trie<K,? extends V>)",34,47
org.apache.commons.collections4.trie.AbstractPatriciaTrie,higherEntry(K),883,934
org.apache.commons.collections4.trie.UnmodifiableTrie,prefixMap(K),166,169
org.apache.commons.collections4.trie.AbstractPatriciaTrie,lowerEntry(K),995,1045
org.apache.commons.collections4.trie.UnmodifiableTrie,values(),91,94
org.apache.commons.collections4.trie.UnmodifiableTrie,containsValue(Object),106,109
org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,"bitIndex(String,int,int,String,int,int)",55,111
org.apache.commons.collections4.trie.UnmodifiableTrie,"subMap(K,K)",156,159
org.apache.commons.collections4.trie.UnmodifiableTrie,headMap(K),146,149
org.apache.commons.collections4.trie.AbstractPatriciaTrie,mapIterator(),822,825
org.apache.commons.collections4.trie.AbstractPatriciaTrie,readObject(ObjectInputStream),2414,2427
org.apache.commons.collections4.trie.AbstractPatriciaTrie,prefixMap(K),827,830
org.apache.commons.collections4.trie.UnmodifiableTrie,mapIterator(),177,181
