File,Signature,StartLine,EndLine
org.apache.commons.csv.CSVFormat,withHeader(String),831,852
org.apache.commons.csv.CSVFormat,getAllowMissingColumnNames(),498,506
org.apache.commons.csv.CSVParser,initializeHeader(),333,375
org.apache.commons.csv.CSVFormat,withNullString(String),896,915
org.apache.commons.csv.CSVFormat,withRecordSeparator(String),977,994
org.apache.commons.csv.CSVFormat,withIgnoreEmptyLines(boolean),868,880
org.apache.commons.csv.Lexer,readEndOfLine(int),358,370
org.apache.commons.csv.CSVFormat,withDelimiter(char),782,798
org.apache.commons.csv.CSVFormat,withCommentMarker(Character),762,780
org.apache.commons.csv.CSVFormat,withSkipHeaderRecord(boolean),996,1009
org.apache.commons.csv.CSVFormat,withIgnoreSurroundingSpaces(boolean),882,894
org.apache.commons.csv.Lexer,nextToken(Token),72,165
org.apache.commons.csv.CSVFormat,"CSVFormat(char,Character,QuoteMode,Character,Character,boolean,boolean,String,String,String[],boolean,boolean)",313,373
org.apache.commons.csv.CSVParser,"parse(String,CSVFormat)",161,179
org.apache.commons.csv.CSVRecord,values(),241,243
org.apache.commons.csv.ExtendedBufferedReader,lookAhead(),130,145
org.apache.commons.csv.CSVFormat,withQuote(Character),930,946
org.apache.commons.csv.CSVParser,nextRecord(),437,486
org.apache.commons.csv.CSVFormat,equals(Object),375,442
org.apache.commons.csv.CSVParser,addRecordValue(),251,259
org.apache.commons.csv.Token,reset(),60,64
org.apache.commons.csv.CSVFormat,toString(),673,709
org.apache.commons.csv.CSVFormat,getIgnoreEmptyLines(),508,516
org.apache.commons.csv.CSVRecord,get(String),81,111
org.apache.commons.csv.CSVFormat,parse(Reader),639,654
org.apache.commons.csv.CSVParser,"CSVParser(Reader,CSVFormat)",225,249
org.apache.commons.csv.CSVFormat,getNullString(),528,543
org.apache.commons.csv.CSVFormat,print(Appendable),656,671
org.apache.commons.csv.CSVFormat,format(Object),444,460
org.apache.commons.csv.CSVFormat,newFormat(char),292,311
org.apache.commons.csv.Lexer,"parseSimpleToken(Token,int)",167,218
org.apache.commons.csv.CSVFormat,hashCode(),581,599
org.apache.commons.csv.CSVRecord,"CSVRecord(String[],Map<String,Integer>,String,long)",51,57
org.apache.commons.csv.CSVFormat,getIgnoreSurroundingSpaces(),518,526
org.apache.commons.csv.CSVParser,iterator(),381,435
org.apache.commons.csv.Lexer,isQuoteChar(int),408,410
