File,Signature,StartLine,EndLine
com.google.gson.stream.JsonReader,nextInt(),1151,1208
com.google.gson.internal.ConstructorConstructor,"newDefaultImplementationConstructor(Type,Class<? super T>)",127,214
com.google.gson.Gson,"fromJson(JsonReader,Type)",862,899
com.google.gson.stream.JsonReader,getPath(),1464,1493
com.google.gson.stream.JsonReader,peekNumber(),645,746
com.google.gson.stream.JsonReader,doPeek(),465,599
com.google.gson.stream.JsonReader,skipValue(),1220,1259
com.google.gson.stream.JsonReader,isLiteral(char),748,771
com.google.gson.JsonPrimitive,getAsBigInteger(),207,217
com.google.gson.stream.JsonReader,getLineNumber(),1310,1312
com.google.gson.JsonParseException,JsonParseException(Throwable),55,63
com.google.gson.JsonSyntaxException,JsonSyntaxException(Throwable),37,46
com.google.gson.stream.JsonReader,nextLong(),929,980
com.google.gson.stream.JsonReader,peek(),423,463
com.google.gson.stream.JsonReader,checkLenient(),1414,1418
com.google.gson.JsonPrimitive,isIntegral(JsonPrimitive),329,340
com.google.gson.internal.bind.MapTypeAdapterFactory,"create(Gson,TypeToken<T>)",115,134
com.google.gson.Gson,"Gson(Excluder,FieldNamingStrategy,Map<Type,InstanceCreator<?>>,boolean,boolean,boolean,boolean,boolean,boolean,boolean,LongSerializationPolicy,List<TypeAdapterFactory>)",194,266
com.google.gson.stream.JsonReader,nextName(),773,799
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,read(JsonReader),38,41
com.google.gson.stream.JsonReader,push(int),1261,1274
com.google.gson.stream.JsonReader,nextDouble(),884,927
com.google.gson.stream.JsonReader,consumeNonExecutePrefix(),1570,1590
