File,Signature,StartLine,EndLine
com.fasterxml.jackson.core.base.ParserBase,convertNumberToBigDecimal(),944,969
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleUnexpectedValue(int),1344,1394
com.fasterxml.jackson.core.base.ParserBase,_parseSlowFloatValue(int),787,810
com.fasterxml.jackson.core.base.ParserBase,"resetAsNaN(String,double)",560,566
com.fasterxml.jackson.core.util.TextBuffer,resetWithString(String),213,227
com.fasterxml.jackson.core.base.ParserBase,getDecimalValue(),706,718
com.fasterxml.jackson.core.base.ParserBase,getNumberValue(),574,605
com.fasterxml.jackson.core.base.ParserBase,convertNumberToInt(),839,872
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_handleInvalidNumberStart(int,boolean)",1119,1151
com.fasterxml.jackson.core.base.ParserBase,convertNumberToBigInteger(),903,919
com.fasterxml.jackson.core.base.ParserBase,"_parseSlowIntValue(int,char[],int,int)",812,831
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,"_handleInvalidNumberStart(int,boolean)",2380,2410
com.fasterxml.jackson.core.base.ParserBase,getDoubleValue(),692,704
com.fasterxml.jackson.core.JsonFactory,"configure(JsonParser.Feature,boolean)",490,496
com.fasterxml.jackson.core.base.ParserBase,_parseNumericValue(int),726,785
com.fasterxml.jackson.core.JsonFactory,enable(JsonParser.Feature),498,505
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_getText2(JsonToken),243,260
com.fasterxml.jackson.core.base.ParserBase,getNumberType(),607,633
com.fasterxml.jackson.core.JsonParseException,"JsonParseException(String,JsonLocation)",18,21
com.fasterxml.jackson.core.JsonLocation,toString(),92,108
com.fasterxml.jackson.core.base.ParserBase,convertNumberToLong(),874,901
com.fasterxml.jackson.core.base.ParserBase,convertNumberToDouble(),921,942
com.fasterxml.jackson.core.JsonProcessingException,getMessage(),97,124
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleUnexpectedValue(int),2243,2286
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipComment(),2599,2617
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"_matchToken(String,int)",1815,1850
com.fasterxml.jackson.core.JsonProcessingException,"JsonProcessingException(String,JsonLocation,Throwable)",22,32
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_skipComment(),1688,1706
com.fasterxml.jackson.core.base.ParserBase,getCurrentLocation(),383,394
com.fasterxml.jackson.core.io.IOContext,getSourceReference(),116,116
com.fasterxml.jackson.core.JsonLocation,"JsonLocation(Object,long,int,int)",37,45
com.fasterxml.jackson.core.JsonLocation,"JsonLocation(Object,long,long,int,int)",47,55
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,getText(),191,210
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_isNextTokenNameYes(),902,972
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextFieldName(SerializableString),812,900
com.fasterxml.jackson.core.base.ParserBase,"reportInvalidBase64Char(Base64Variant,int,int,String)",1071,1093
com.fasterxml.jackson.core.util.TextBuffer,contentsAsString(),330,367
