File,Signature,StartLine,EndLine
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserialize(JsonParser,DeserializationContext,Object)",172,218
com.fasterxml.jackson.databind.ObjectMapper,version(),510,517
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,"deserialize(JsonParser,DeserializationContext)",43,79
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeWithUnwrapped(JsonParser,DeserializationContext)",457,516
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeWithUnwrapped(JsonParser,DeserializationContext,Object)",518,560
com.fasterxml.jackson.databind.util.TokenBuffer,version(),176,179
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeFromObject(JsonParser,DeserializationContext)",253,319
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,"createContextual(DeserializationContext,BeanProperty)",129,152
com.fasterxml.jackson.databind.ObjectReader,version(),258,265
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeWithView(JsonParser,DeserializationContext,Object,Class<?>)",424,449
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"createArrayDeserializer(DeserializationContext,ArrayType,BeanDescription)",736,773
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeWithExternalTypeId(JsonParser,DeserializationContext,Object)",659,709
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,StringArrayDeserializer(),32,35
com.fasterxml.jackson.databind.util.ClassUtil,isBogusClass(Class<?>),602,606
com.fasterxml.jackson.databind.ObjectMapper,getFactory(),1305,1314
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector,version(),33,36
com.fasterxml.jackson.databind.util.ObjectBuffer,"completeAndClearBuffer(Object[],int,Class<T>)",127,143
com.fasterxml.jackson.databind.deser.BeanDeserializer,"_deserializeOther(JsonParser,DeserializationContext,JsonToken)",129,164
com.fasterxml.jackson.databind.DeserializationContext,returnObjectBuffer(ObjectBuffer),488,503
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeUsingPropertyBasedWithUnwrapped(JsonParser,DeserializationContext)",562,641
com.fasterxml.jackson.databind.util.ObjectBuffer,"_copyTo(Object,int,Object[],int)",192,210
com.fasterxml.jackson.databind.ser.BeanPropertyWriter,"depositSchemaProperty(ObjectNode,SerializerProvider)",620,653
com.fasterxml.jackson.databind.deser.BeanDeserializer,"BeanDeserializer(BeanDeserializerBuilder,BeanDescription,BeanPropertyMap,Map<String,SettableBeanProperty>,HashSet<String>,boolean,boolean)",29,40
com.fasterxml.jackson.databind.deser.BeanDeserializer,"_deserializeUsingPropertyBased(JsonParser,DeserializationContext)",321,416
com.fasterxml.jackson.databind.util.ObjectBuffer,resetAndStart(),62,73
com.fasterxml.jackson.databind.deser.BeanDeserializer,"deserializeUsingPropertyBasedWithExternalTypeId(JsonParser,DeserializationContext)",711,794
com.fasterxml.jackson.databind.util.ObjectBuffer,_reset(),181,190
com.fasterxml.jackson.databind.DeserializationContext,leaseObjectBuffer(),471,486
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,_findDescription(),486,493
com.fasterxml.jackson.databind.deser.BeanDeserializer,"vanillaDeserialize(JsonParser,DeserializationContext,JsonToken)",226,251
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,findViews(),433,441
com.fasterxml.jackson.databind.type.ArrayType,isAbstract(),170,176
com.fasterxml.jackson.databind.ObjectMapper,"_readMapAndClose(JsonParser,JavaType)",3031,3063
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_findCustomArrayDeserializer(ArrayType,DeserializationConfig,BeanDescription,TypeDeserializer,JsonDeserializer<?>)",775,788
com.fasterxml.jackson.databind.ObjectMapper,"_findRootDeserializer(DeserializationContext,JavaType)",3141,3160
com.fasterxml.jackson.databind.type.ArrayType,getContentType(),213,214
com.fasterxml.jackson.databind.type.ArrayType,"ArrayType(JavaType,Object,Object,Object,boolean)",29,36
com.fasterxml.jackson.databind.type.ArrayType,"construct(JavaType,Object,Object)",38,49
com.fasterxml.jackson.databind.ObjectMapper,"_convert(Object,JavaType)",2704,2761
com.fasterxml.jackson.databind.ser.BeanSerializerFactory,"processViews(SerializationConfig,BeanSerializerBuilder)",593,628
com.fasterxml.jackson.databind.util.ClassUtil,isJacksonStdImpl(Class<?>),598,600
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"findConvertingContentDeserializer(DeserializationContext,BeanProperty,JsonDeserializer<?>)",851,878
com.fasterxml.jackson.databind.deser.std.StringDeserializer,StringDeserializer(),22,22
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"findDefaultDeserializer(DeserializationContext,JavaType,BeanDescription)",1391,1434
com.fasterxml.jackson.databind.deser.DeserializerCache,"modifyTypeByAnnotation(DeserializationContext,Annotated,JavaType)",448,539
