File,Signature,StartLine,EndLine
org.jsoup.nodes.Attribute,"shouldCollapseAttribute(String,String,Document.OutputSettings)",162,166
org.jsoup.parser.Parser,Parser(TreeBuilder),23,30
org.jsoup.nodes.Attributes,"html(Appendable,Document.OutputSettings)",310,326
org.jsoup.nodes.Document,createShell(String),35,49
org.jsoup.Jsoup,"parse(URL,int)",163,184
org.jsoup.parser.HtmlTreeBuilder,defaultSettings(),61,63
org.jsoup.helper.Validate,"notEmpty(String,String)",95,103
org.jsoup.helper.Validate,"notNull(Object,String)",19,27
org.jsoup.nodes.Attribute,html(),96,109
org.jsoup.nodes.Element,"outerHtmlHead(Appendable,int,Document.OutputSettings)",1352,1373
org.jsoup.nodes.Document,ensureMetaCharsetElement(),292,360
org.jsoup.nodes.Attribute,shouldCollapseAttribute(Document.OutputSettings),152,160
org.jsoup.nodes.Attributes,html(),295,308
org.jsoup.parser.ParseSettings,"ParseSettings(boolean,boolean)",28,36
org.jsoup.helper.Validate,notEmpty(String),86,93
org.jsoup.nodes.Node,getOutputSettings(),577,580
org.jsoup.helper.Validate,notNull(Object),10,17
org.jsoup.nodes.Document,normalise(),110,136
org.jsoup.internal.Normalizer,lowerCase(String),10,12
org.jsoup.helper.StringUtil,stringBuilder(),229,244
org.jsoup.helper.HttpConnection,"headers(Map<String,String>)",262,268
org.jsoup.select.NodeTraversor,"filter(NodeFilter,Node)",75,125
org.jsoup.select.Selector,"selectFirst(String,Element)",151,160
org.jsoup.nodes.Element,selectFirst(String),366,375
org.jsoup.helper.HttpConnection,requestBody(String),252,255
org.jsoup.helper.HttpConnection,userAgent(String),151,155
