File,Signature,StartLine,EndLine
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"getValue(String,Expression)",323,363
org.apache.commons.jxpath.ri.model.NodePointer,"newNodePointer(QName,Object,Locale)",51,77
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"getPointer(String,Expression)",408,423
org.apache.commons.jxpath.ri.model.beans.CollectionPointerFactory,"createNodePointer(QName,Object,Locale)",40,49
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"createPath(String,Expression)",444,468
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"setValue(String,Expression,Object,boolean)",489,520
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getNodePointerFactories(),191,193
org.apache.commons.jxpath.JXPathContext,getContextFactory(),418,426
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,iteratePointers(String),536,544
org.apache.commons.jxpath.JXPathContext,"JXPathContext(JXPathContext,Object)",428,435
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"removeAll(String,Expression)",572,590
org.apache.commons.jxpath.ri.model.jdom.JDOMPointerFactory,getOrder(),37,39
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"JXPathContextReferenceImpl(JXPathContext,Object,Pointer)",127,162
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,"doStepPredicatesStandard(EvalContext,NodePointer,Step[],int)",342,418
org.apache.commons.jxpath.PackageFunctions,"PackageFunctions(String,String)",76,79
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"allocateConditionally(String,String)",706,728
org.apache.commons.jxpath.JXPathContextFactory,"findFactory(String,String)",150,241
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,compilePath(String),204,206
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointerFactory,getOrder(),39,41
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getPointer(String),404,406
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getValue(String),252,291
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,setNamespaceContextPointer(Pointer),674,679
org.apache.commons.jxpath.JXPathContext,getLocale(),537,552
org.apache.commons.jxpath.JXPathContextFactory,newInstance(),62,118
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getAbsoluteRootContext(),615,618
org.apache.commons.jxpath.ri.compiler.Expression,iteratePointers(EvalContext),80,91
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,checkSimplePath(Expression),522,534
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,"doPredicatesStandard(EvalContext,List,Step[],int,Expression,int)",556,615
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"iteratePointers(String,Expression)",546,548
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getRelativeContext(Pointer),592,600
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"getValue(String,Class)",365,372
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"removePath(String,Expression)",554,566
org.apache.commons.jxpath.ri.JXPathContextFactoryReferenceImpl,JXPathContextFactoryReferenceImpl(),31,32
org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory,getOrder(),40,42
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"getValue(String,Expression,Class)",374,389
org.apache.commons.jxpath.ri.JXPathContextFactoryReferenceImpl,"newContext(JXPathContext,Object)",34,40
org.apache.commons.jxpath.ri.EvalContext,toString(),258,266
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,createNodeFactoryArray(),164,177
