File,Signature,StartLine,EndLine
org.apache.commons.math.util.OpenIntToDoubleHashMap,containsKey(int),203,231
org.apache.commons.math.linear.OpenMapRealVector,ebeMultiply(double[]),378,389
org.apache.commons.math.linear.OpenMapRealVector,ebeMultiply(RealVector),366,376
org.apache.commons.math.linear.MatrixUtils,"deserializeRealMatrix(Object,String,ObjectInputStream)",757,809
org.apache.commons.math.MathRuntimeException,createInternalError(Throwable),456,483
org.apache.commons.math.linear.OpenMapRealVector,ebeDivide(double[]),353,364
org.apache.commons.math.linear.MatrixUtils,"deserializeRealVector(Object,String,ObjectInputStream)",652,701
org.apache.commons.math.util.OpenIntToDoubleHashMap,doRemove(int),388,401
org.apache.commons.math.util.OpenIntToDoubleHashMap,remove(int),347,375
org.apache.commons.math.linear.OpenMapRealVector,subtract(double[]),731,744
org.apache.commons.math.linear.OpenMapRealVector,"getSubVector(int,int)",391,406
org.apache.commons.math.util.OpenIntToDoubleHashMap,get(int),173,201
org.apache.commons.math.linear.OpenMapRealVector,"setEntry(int,double)",661,669
org.apache.commons.math.linear.OpenMapRealVector,append(double[]),291,298
org.apache.commons.math.linear.OpenMapRealVector,OpenMapRealVector(OpenMapRealVector),174,183
org.apache.commons.math.linear.OpenMapRealVector,append(OpenMapRealVector),261,274
org.apache.commons.math.linear.OpenMapRealVector,"OpenMapRealVector(int,double)",68,78
org.apache.commons.math.linear.OpenMapRealVector,projection(double[]),654,659
org.apache.commons.math.util.OpenIntToDoubleHashMap,OpenIntToDoubleHashMap(OpenIntToDoubleHashMap),129,145
org.apache.commons.math.linear.OpenMapRealVector,subtract(RealVector),721,729
org.apache.commons.math.linear.OpenMapRealVector,append(RealVector),276,282
org.apache.commons.math.linear.OpenMapRealVector,append(double),284,289
org.apache.commons.math.linear.OpenMapRealVector,getL1Distance(RealVector),512,520
org.apache.commons.math.linear.OpenMapRealVector,copy(),300,307
org.apache.commons.math.linear.OpenMapRealVector,dotProduct(RealVector),331,339
org.apache.commons.math.linear.OpenMapRealVector,getDistance(RealVector),455,463
org.apache.commons.math.linear.OpenMapRealVector,outerProduct(double[]),631,646
org.apache.commons.math.linear.OpenMapRealVector,"OpenMapRealVector(OpenMapRealVector,int)",80,90
org.apache.commons.math.linear.OpenMapRealVector,getEntry(int),477,481
org.apache.commons.math.linear.AbstractRealVector,checkIndex(int),69,81
org.apache.commons.math.util.OpenIntToDoubleHashMap,"put(int,double)",403,430
org.apache.commons.math.linear.OpenMapRealVector,dotProduct(OpenMapRealVector),309,329
org.apache.commons.math.linear.OpenMapRealVector,getLInfDistance(RealVector),563,571
org.apache.commons.math.linear.OpenMapRealVector,getL1Distance(OpenMapRealVector),483,510
org.apache.commons.math.linear.OpenMapRealVector,equals(Object),798,837
org.apache.commons.math.util.OpenIntToDoubleHashMap,hashOf(int),472,480
