File,Signature,StartLine,EndLine
org.mockito.Mockito,spy(Class<T>),1376,1406
org.mockito.internal.creation.instance.ConstructorInstantiator,withOuterClass(Class<T>),20,29
org.mockito.internal.configuration.ClassPathLoader,loadImplementations(Class<T>),135,170
org.mockito.Mockito,spy(T),1291,1374
org.mockito.Mockito,doCallRealMethod(),1755,1788
org.mockito.Mockito,stub(T),1408,1459
org.mockito.internal.creation.instance.InstantationException,"InstantationException(String,Throwable)",5,7
org.mockito.internal.creation.instance.ConstructorInstantiator,newInstance(Class<T>),13,18
org.mockito.internal.creation.instance.ConstructorInstantiator,ConstructorInstantiator(Object),9,11
org.mockito.exceptions.Reporter,cannotCallAbstractRealMethod(),582,589
org.mockito.internal.progress.ArgumentMatcherStorageImpl,validateState(),111,117
org.mockito.Mockito,stubVoid(T),1679,1713
org.mockito.Mockito,"mock(Class<T>,MockSettings)",1264,1289
org.mockito.MockitoAnnotations,"scanDeprecatedWay(AnnotationEngine,Object,Class<?>)",111,117
org.mockito.internal.configuration.DefaultAnnotationEngine,"registerAnnotationProcessor(Class<A>,FieldAnnotationProcessor<A>)",57,59
org.mockito.Mockito,when(T),1461,1525
org.mockito.Mockito,"mock(Class<T>,ReturnValues)",1206,1239
org.mockito.Mockito,verify(T),1527,1556
org.mockito.MockitoAnnotations,initMocks(Object),83,109
org.mockito.internal.progress.ArgumentMatcherStorageImpl,reset(),122,124
org.mockito.Mockito,"mock(Class<T>,Answer)",1241,1262
org.mockito.exceptions.Reporter,"cannotInitializeForSpyAnnotation(String,Exception)",612,621
org.mockito.exceptions.Reporter,atMostAndNeverShouldNotBeUsedWithTimeout(),635,644
org.mockito.Mockito,ignoreStubs(Object),1939,2004
org.mockito.internal.configuration.injection.MockInjectionStrategy,thenTry(MockInjectionStrategy),30,47
org.mockito.exceptions.Reporter,cannotStubVoidMethodWithAReturnValue(String),452,467
org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet,of(Iterable<Object>),149,157
org.mockito.internal.configuration.SpyAnnotationEngine,"process(Class<?>,Object)",45,75
org.mockito.exceptions.Reporter,"wrongTypeOfReturnValue(String,String,String)",481,494
org.mockito.internal.configuration.injection.scanner.MockScanner,"MockScanner(Object,Class<?>)",26,35
org.mockito.Mockito,"verify(T,VerificationMode)",1558,1582
org.mockito.internal.configuration.InjectingAnnotationEngine,"process(Class<?>,Object)",38,57
org.mockito.Mockito,inOrder(Object),1908,1937
org.mockito.internal.configuration.ClassPathLoader,loadConfiguration(),67,88
org.mockito.Mockito,verifyNoMoreInteractions(Object),1615,1658
org.mockito.Mockito,verifyZeroInteractions(Object),1660,1677
org.mockito.internal.configuration.DefaultAnnotationEngine,"process(Class<?>,Object)",61,79
org.mockito.Mockito,mockingDetails(Object),1189,1204
org.mockito.internal.configuration.InjectingAnnotationEngine,"processIndependentAnnotations(Class<?>,Object)",67,77
org.mockito.internal.util.reflection.GenericMetadataSupport,resolveGenericReturnType(Method),204,225
org.mockito.internal.configuration.GlobalConfiguration,createConfig(),36,44
org.mockito.internal.util.reflection.FieldInitializer,checkNotAbstract(Field),112,116
org.mockito.Mockito,reset(T),1584,1613
org.mockito.internal.progress.ThreadSafeMockingProgress,threadSafely(),20,25
org.mockito.Mockito,doAnswer(Answer),1790,1814
org.mockito.Mockito,doReturn(Object),1858,1906
org.mockito.internal.configuration.injection.scanner.InjectMocksScanner,InjectMocksScanner(Class<?>),24,31
org.mockito.internal.configuration.ClassPathLoader,"findPluginImplementation(Class<T>,String)",118,133
org.mockito.Mockito,doNothing(),1816,1856
org.mockito.internal.configuration.GlobalConfiguration,validate(),46,48
org.mockito.internal.configuration.InjectingAnnotationEngine,"processInjectMocks(Class<?>,Object)",59,65
org.mockito.Mockito,doThrow(Throwable),1715,1731
org.mockito.internal.configuration.GlobalConfiguration,GlobalConfiguration(),29,34
org.mockito.exceptions.Reporter,missingMethodInvocation(),94,107
org.mockito.Mockito,withSettings(),2257,2289
